Treatment,Months.in,n,Amax_mean,Amax_sd,Amax_se,Asat_mean,Asat_sd,Asat_se,Vcmax_mean,Vcmax_sd,Vcmax_se,Jmax_mean,Jmax_sd,Jmax_se,TPU_mean,TPU_sd,TPU_se,Rd_mean,Rd_sd,Rd_se,cica_mean,cica_sd,cica_se,lma_mean,lma_sd,lma_se,nmass_mean,nmass_sd,nmass_se,narea_mean,narea_sd,narea_se,pmass_mean,pmass_sd,pmass_se,parea_mean,parea_sd,parea_se,leafnp_mean,leafnp_sd,leafnp_se,pnue_mean,pnue_sd,pnue_se,ppue_mean,ppue_sd,ppue_se
Control,9,35,10.30878788,2.410325131,0.407419308,5.151515152,1.703113181,0.28787867,26.76401025,8.504996978,1.437606876,42.0300609,9.220553681,1.558558035,3.068362632,1.021758908,0.172708778,NA,NA,NA,0.69443044,0.110292477,0.018642831,85.65080283,24.57843807,4.154514301,18.0310727,7.561429962,1.278114941,1.473748382,0.544211378,0.091988512,2.104845153,0.385018638,0.065080028,179.9019544,40.74146076,6.88656378,8.558406918,3.342028195,0.56490587,7.563908379,2.714534029,0.458839997,58.12484993,14.95669373,2.528142669
Control,13,35,14.75485714,5.74842248,0.971660743,7.481142857,2.795663419,0.472553367,41.51567568,12.51353946,2.115174224,62.67019025,21.53173433,3.639527376,4.946175689,1.950988155,0.329777188,NA,NA,NA,0.675846846,0.099302527,0.016785191,77.43061587,24.9339195,4.214601631,19.63646628,6.878827082,1.162733995,1.427973704,0.434286147,0.073407757,0.686825849,0.239650058,0.040508253,49.82481706,16.39500416,2.771261505,30.29658961,9.68676975,1.637362934,11.21127885,4.928556351,0.833078074,329.8181059,178.6688872,30.20055405
Control,22,35,11.55794118,2.845603498,0.480994781,6.159705882,2.357951712,0.398566584,36.65842558,14.38500448,2.431509549,51.17892713,12.99579559,2.196690387,3.872998627,0.969852266,0.163934954,0.4868,2.481324737,0.419420432,0.682020979,0.114583084,0.019368076,83.9248743,21.67292731,3.663393346,19.41639558,7.932999189,1.340921604,1.518528669,0.371678898,0.0628252,0.417172505,0.182894221,0.030914766,32.752014,10.11931635,1.710476654,48.49800069,14.22945227,2.405216425,7.898301198,2.469052003,0.417345961,367.2028249,101.2193902,17.10919966
P,9,35,12.93228571,2.893094299,0.489022191,7.148571429,1.990461287,0.336449365,39.22028709,10.66623256,1.802922366,56.42199216,13.82489187,2.336833237,4.163908674,1.018251018,0.172115836,NA,NA,NA,0.627997671,0.111433408,0.018835684,86.78587312,22.83117434,3.859172827,17.22988197,5.019049051,0.848374132,1.427698476,0.338270257,0.057178109,2.83516211,0.782047503,0.132190155,233.2870744,44.26565776,7.482261799,6.267673533,1.75520367,0.29668357,9.276502928,2.056409787,0.347596696,56.4613392,12.82622022,2.168026919
P,13,35,17.38857143,5.883414946,0.994478635,8.940571429,2.83456288,0.479128576,56.94304749,19.41977941,3.282541839,75.14349046,23.61674954,3.991959271,5.7271214,2.095037067,0.354125898,NA,NA,NA,0.594403044,0.089179662,0.015074114,68.19584572,18.16463937,3.070384449,20.70027174,6.369964305,1.076720487,1.34858168,0.35577949,0.06013771,1.536170391,0.554657004,0.093754145,97.93568938,25.65870818,4.337113277,14.25227719,3.931378767,0.664524298,13.32541464,4.208105529,0.711299658,187.1449119,76.25497648,12.88944356
P,22,35,12.96085714,2.928863835,0.495068346,6.831428571,2.006173036,0.339105135,39.04869197,11.39729266,1.926494078,56.92826971,13.11342456,2.216573312,4.292723555,0.971595066,0.164229541,0.5976,1.928958622,0.326053517,0.720197859,0.082453978,0.013937266,70.14100536,18.68535385,3.158401262,17.47057077,6.188672593,1.046076595,1.144530249,0.242176807,0.040935352,1.462974003,0.798272633,0.134932703,94.57505544,50.989698,8.618832042,14.32222301,5.765912745,0.974617138,11.56502952,2.62188103,0.443178782,161.1581062,61.8727988,10.45841183
