"site","treatment","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"BBR","P","asat",5.42514285714286,5.55685714285714,0.819669736046462,0.8296415749329,0.309806039826413,0.313575040656059,7,7
"BBR","P","E",1.53371428571429,2.00342857142857,0.425809704870503,0.499495364390521,0.160940940703594,0.188791502172415,7,7
"BBR","P","cica",0.566403395285714,0.598424786142857,0.0678011424629555,0.0581875897284831,0.0256264230804345,0.0219928416874032,7,7
"BBR","P","gs",0.0668571428571429,0.0774285714285714,0.0202602120047198,0.0222025309582575,0.00765764035341912,0.00839176791310883,7,7
"BBR","P","iwue",85.2700053,75.3507473628571,18.0491947634626,15.3622009018684,6.82195438701306,5.80636616813657,7,7
"LUE","P","asat",2.788,4.02085714285714,0.738791806487683,0.701986568858082,0.279237055802652,0.265325983558001,7,7
"LUE","P","E",0.734285714285714,0.982857142857143,0.278422768636543,0.258053888798076,0.105233915021481,0.0975352020875463,7,7
"LUE","P","cica",0.471202754571429,0.434704867285714,0.129369534919544,0.110498267097317,0.0488970880893143,0.0417644192918703,7,7
"LUE","P","gs",0.0274285714285714,0.0357142857142857,0.00991391518451284,0.00989468351716021,0.00374710772817257,0.00373983884115655,7,7
"LUE","P","iwue",107.136308437143,116.564889561429,28.4297933441757,19.123918766307,10.7454518590926,7.22816187837848,7,7
