"exp","treatment","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"Fan2024","P","lma",104.152456140351,83.4336923076923,38.645000105387,30.5683432844151,5.11865530783671,3.79153634611424,57,65
"Fan2024","P","nmass",24.830701754386,25.0218461538462,7.75959840171447,5.45323180907079,1.0277839160901,0.676390160091525,57,65
"Fan2024","P","narea",2.48245614035088,2.01030769230769,1.02035582151829,0.724773605235562,0.135149430132066,0.0898971017626567,57,65
"Fan2024","P","pmass",0.715614035087719,2.13492307692308,0.238440001017474,1.02224037516398,0.0315821496566266,0.126793313619837,57,65
"Fan2024","P","parea",0.0692982456140351,0.179230769230769,0.0257640148492599,0.14078249727314,0.00341252713157489,0.0174619196840798,57,65
"Fan2024","P","leafnp",36.8215651776827,13.4781533547134,12.51468741812,4.94368209282965,1.65761084238547,0.613188296277548,57,65
"Fan2024","P","rgr",0.117017543859649,1.00953846153846,1.08569425601495,0.933905493695077,0.143803717197146,0.115836720041873,57,65
"Fan2024","P","amax",8.4375,13.15875,5.26353265216358,6.11647411141056,0.729920648748259,0.76455926392632,52,64
"Fan2024","P","vcmax",31.7592307692308,57.5773015873016,19.5813661769925,19.8356755990839,2.71544691518395,2.49906022486325,52,63
"Fan2024","P","jmax",55.9565384615385,105.153650793651,24.6217666243585,55.2721169365737,3.41442469448586,6.96363218334549,52,63
"Fan2024","P","pnue",3.99769230769231,7.24671875,3.31354416935894,4.0735507909718,0.459505900236092,0.509193848871475,52,64
"Fan2024","P","ppue",134.628461538462,93.52328125,110.759686964212,57.7624724401218,15.3596050232234,7.22030905501523,52,64
"Fan2024","P","pi",0.158245614035088,0.977692307692308,0.101912476577726,0.801513742144297,0.0134986372815831,0.0994155442764711,57,65
"Fan2024","P","esterp",0.107894736842105,0.349692307692308,0.0463194205685316,0.214220747935754,0.00613515713035243,0.026570813613713,57,65
"Fan2024","P","nucleicp",0.199298245614035,0.392769230769231,0.0882136134845979,0.130629577578975,0.0116841785393979,0.0162026049845086,57,65
"Fan2024","P","lipidp",0.178245614035088,0.323846153846154,0.0631359872196952,0.104712288970963,0.00836256579677313,0.0129879609707419,57,65
"Fan2024","P","residualp",0.0721052631578947,0.0903076923076923,0.0190616333156856,0.0249354937018268,0.00252477501051346,0.00309286734315697,57,65
