"exp","Treatm","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"crous2017","HNLP","Asat",12.134502617801,13.0091237113402,5.61800982168704,6.64621617039199,0.406504923925615,0.477170512347007,191,194
"crous2017","LNHP","Asat",12.134502617801,12.1712371134021,5.61800982168704,6.02476878196404,0.406504923925615,0.432553190079653,191,194
"crous2017","HNHP","Asat",12.134502617801,15.587671957672,5.61800982168704,6.64782110186895,0.406504923925615,0.483557831838718,191,189
"crous2017","HNLP","Vcmax",14.4520942408377,15.4879896907216,6.80289743313897,9.36039399440339,0.492240382502836,0.672037123615839,191,194
"crous2017","LNHP","Vcmax",14.4520942408377,14.5569072164948,6.80289743313897,7.36368844286439,0.492240382502836,0.528682019507364,191,194
"crous2017","HNHP","Vcmax",14.4520942408377,18.7833333333333,6.80289743313897,8.91914543659587,0.492240382502836,0.64877236662731,191,189
"crous2017","HNLP","Jmax",73.1523560209424,77.5084536082474,35.2390597759593,68.8475538051556,2.54980887682658,4.94296629552852,191,194
"crous2017","LNHP","Jmax",73.1523560209424,73.4126804123711,35.2390597759593,37.8947198808845,2.54980887682658,2.72068233070148,191,194
"crous2017","HNHP","Jmax",73.1523560209424,95.4457671957672,35.2390597759593,64.1112508719885,2.54980887682658,4.66340730189192,191,189
"crous2017","HNLP","rd",0.741052631578947,0.895103092783505,0.468247828570824,0.556637983108492,0.0339702678793717,0.0399642781369265,190,194
"crous2017","LNHP","rd",0.741052631578947,0.787098445595855,0.468247828570824,0.500617197866448,0.0339702678793717,0.0360352144119945,190,193
"crous2017","HNHP","rd",0.741052631578947,1.06862433862434,0.468247828570824,0.682421542244509,0.0339702678793717,0.0496388630667296,190,189
"crous2017","HNLP","gsw",0.344712041884817,0.329381443298969,0.246704160807014,0.246279315849957,0.0178508865779933,0.0176818244113271,191,194
"crous2017","LNHP","gsw",0.344712041884817,0.352474226804124,0.246704160807014,0.231579532003978,0.0178508865779933,0.0166264414371134,191,194
"crous2017","HNHP","gsw",0.344712041884817,0.390582010582011,0.246704160807014,0.274674236246573,0.0178508865779933,0.0199796107786366,191,189
"crous2017","HNLP","lma",119.863333333333,118.824793814433,88.0443123648872,80.3728647414339,6.1195027346075,5.77043539725924,207,194
"crous2017","LNHP","lma",119.863333333333,109.747853658537,88.0443123648872,81.6949902421486,6.1195027346075,5.70582561977166,207,205
"crous2017","HNHP","lma",119.863333333333,113.178010204082,88.0443123648872,101.069655364543,6.1195027346075,7.21926109746739,207,196
"crous2017","HNLP","Nmass",15.314236453202,22.2105527638191,7.79392317124429,9.03990793932631,0.547026167182663,0.640822083319406,203,199
"crous2017","LNHP","Nmass",15.314236453202,16.4210344827586,7.79392317124429,9.29050262491527,0.547026167182663,0.652065452846453,203,203
"crous2017","HNHP","Nmass",15.314236453202,26.6911616161616,7.79392317124429,11.9815317768614,0.547026167182663,0.85149038595479,203,198
"crous2017","HNLP","Narea",1.47732314307463,2.36423952640722,0.936068046572824,1.57162261678503,0.0660251492795464,0.112835927998897,201,194
"crous2017","LNHP","Narea",1.47732314307463,1.48776302975743,0.936068046572824,0.940549421092683,0.0660251492795464,0.0661768263378309,201,202
"crous2017","HNHP","Narea",1.47732314307463,2.77917248505128,0.936068046572824,2.65656822866737,0.0660251492795464,0.19024080224493,201,195
"crous2017","HNLP","Pmass",1.69458128078818,1.07125628140704,1.76543047145699,1.28871752460752,0.123908927892911,0.0913547631759142,203,199
"crous2017","LNHP","Pmass",1.69458128078818,5.52167487684729,1.76543047145699,4.30203211857108,0.123908927892911,0.301943461490774,203,203
"crous2017","HNHP","Pmass",1.69458128078818,3.87949494949495,1.76543047145699,2.81777817709349,0.123908927892911,0.200250775295846,203,198
"crous2017","HNLP","Parea",0.157724023736318,0.0917417253041237,0.182743090864756,0.0929360165578879,0.0128897037969905,0.00667241713171688,201,194
"crous2017","LNHP","Parea",0.157724023736318,0.645092400420792,0.182743090864756,0.894373031145609,0.0128897037969905,0.0629278668787039,201,202
"crous2017","HNHP","Parea",0.157724023736318,0.439483952635897,0.182743090864756,0.656062881109922,0.0128897037969905,0.0469816387467979,201,195
"crous2017","HNLP","leafnp",14.996157635468,34.5614070351759,12.4642618227839,21.8228155334786,0.874819679623576,1.54697837720469,203,199
"crous2017","LNHP","leafnp",14.996157635468,4.71502463054187,12.4642618227839,3.72645909683448,0.874819679623576,0.261546154884523,203,203
"crous2017","HNHP","leafnp",14.996157635468,8.56580808080808,12.4642618227839,4.14173240483181,0.874819679623576,0.294340105221129,203,198
"crous2017","HNLP","pnue",9.60122483109419,6.96152589850094,4.89436563219171,5.24822418315919,0.359840917866075,0.386904219952214,185,184
"crous2017","LNHP","pnue",9.60122483109419,9.60931449697041,4.89436563219171,4.96621256557556,0.359840917866075,0.361238809507792,185,189
"crous2017","HNHP","pnue",9.60122483109419,8.64672842382218,4.89436563219171,5.61966629540379,0.359840917866075,0.414287295766039,185,184
"crous2017","HNLP","ppue",130.944604347317,195.768618906539,93.5622160086307,121.217170814013,6.87883092850446,8.9362483921902,185,184
"crous2017","LNHP","ppue",130.944604347317,43.7767174497128,93.5622160086307,37.1932792484929,6.87883092850446,2.70541297618808,185,189
"crous2017","HNHP","ppue",130.944604347317,72.9934921296386,93.5622160086307,51.57626646683,6.87883092850446,3.80225280951782,185,184
