treatment,n,lma_mean,lma_sd,lma_se,spad_mean,spad_sd,spad_se,nmass_mean,nmass_sd,nmass_se,narea_mean,narea_sd,narea_se,pmass_mean,pmass_sd,pmass_se,parea_mean,parea_sd,parea_se,rgr_mean,rgr_sd,rgr_se,amax_mean,amax_sd,amax_se,vcmax_mean,vcmax_sd,vcmax_se,jmax_mean,jmax_sd,jmax_se,ppue_mean,ppue_sd,ppue_se,pnue_mean,pnue_sd,pnue_se,pi_mean,pi_sd,pi_se,esterp_mean,esterp_sd,esterp_se,nucleicp_mean,nucleicp_sd,nucleicp_se,lipidp_mean,lipidp_sd,lipidp_se,residualp_mean,residualp_sd,residualp_se
CK,57,104.1524561,38.64500011,5.118655308,38.29122807,9.402018794,1.245327811,24.83070175,7.759598402,1.027783916,2.48245614,1.020355822,0.13514943,0.715614035,0.238440001,0.03158215,0.069298246,0.025764015,0.003412527,0.117017544,1.085694256,0.143803717,8.4375,5.263532652,0.697171931,31.75923077,19.58136618,2.59361531,55.95653846,24.62176662,3.261232658,134.6284615,110.759687,14.67047892,3.997692308,3.313544169,0.438889647,0.158245614,0.101912477,0.013498637,0.107894737,0.046319421,0.006135157,0.199298246,0.088213613,0.011684179,0.178245614,0.063135987,0.008362566,0.072105263,0.019061633,0.002524775
P,65,83.43369231,30.56834328,3.791536346,45.95076923,8.549143288,1.060390719,25.02184615,5.453231809,0.67639016,2.010307692,0.724773605,0.089897102,2.134923077,1.022240375,0.126793314,0.179230769,0.140782497,0.01746192,1.009538462,0.933905494,0.11583672,13.15875,6.116474111,0.758655243,57.57730159,19.8356756,2.460312758,105.1536508,24.62176662,6.855662354,93.52328125,57.76247244,7.164552938,7.24671875,4.073550791,0.505261791,0.977692308,0.801513742,0.099415544,0.349692308,0.214220748,0.026570814,0.392769231,0.130629578,0.016202605,0.323846154,0.104712289,0.012987961,0.090307692,0.024935494,0.003092867
