site_code,treatment_name,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
bogong.au,N,rootshoot,0.595059525,0.851309844,0.074176537,0.145180191,0.042825844,0.083819823,3,3
bogong.au,P,rootshoot,0.595059525,0.597020785,0.074176537,0.160614595,0.042825844,0.092730879,3,3
bogong.au,NP,rootshoot,0.595059525,0.657054025,0.074176537,0.340396822,0.042825844,0.196528197,3,3
burrawan.au,N,rootshoot,0.75090379,0.302863723,0.039480958,0.136913663,0.022794342,0.07904714,3,3
burrawan.au,P,rootshoot,0.75090379,0.472268255,0.039480958,0.517318121,0.022794342,0.298673756,3,3
burrawan.au,NP,rootshoot,0.75090379,1.442511263,0.039480958,1.32587626,0.022794342,0.765495016,3,3
cbgb.us,N,rootshoot,0.391149191,0.454039258,0.181401633,0.358769361,0.074056907,0.146466978,6,6
cbgb.us,P,rootshoot,0.391149191,0.753048539,0.181401633,0.331130765,0.074056907,0.135183569,6,6
cbgb.us,NP,rootshoot,0.391149191,0.530597995,0.181401633,0.4231468,0.074056907,0.172748958,6,6
cdcr.us,N,rootshoot,1.074655862,0.561618165,0.767089807,0.099376403,0.442879506,0.057374993,3,3
cdcr.us,P,rootshoot,1.074655862,2.921645321,0.767089807,2.560058481,0.442879506,1.478050453,3,3
cdcr.us,NP,rootshoot,1.074655862,3.934952347,0.767089807,1.273056303,0.442879506,0.734999399,3,3
cdpt.us,N,rootshoot,4.527101022,2.20971602,2.437450049,0.691226778,1.407262442,0.399079966,3,3
cdpt.us,P,rootshoot,4.527101022,3.770950586,2.437450049,0.788751857,1.407262442,0.455386097,3,3
cdpt.us,NP,rootshoot,4.527101022,2.812448936,2.437450049,1.238975043,1.407262442,0.715322575,3,3
cowi.ca,N,rootshoot,2.197787493,1.1308484,0.162187535,0.325282657,0.093639017,0.18780203,3,3
cowi.ca,P,rootshoot,2.197787493,1.709711079,0.162187535,0.688028268,0.093639017,0.397233306,3,3
cowi.ca,NP,rootshoot,2.197787493,2.04309578,0.162187535,0.303497935,0.093639017,0.175224614,3,3
elliot.us,N,rootshoot,0.508381095,0.588633383,0.367857896,0.67292753,0.212382855,0.388514891,3,3
elliot.us,P,rootshoot,0.508381095,0.282467761,0.367857896,0.047133882,0.212382855,0.02721276,3,3
elliot.us,NP,rootshoot,0.508381095,0.160004727,0.367857896,0.036629365,0.212382855,0.021147974,3,3
frue.ch,N,rootshoot,0.192540628,0.188184153,0.097027993,0.134582107,0.056019138,0.077701016,3,3
frue.ch,P,rootshoot,0.192540628,0.269752596,0.097027993,0.206577642,0.056019138,0.119267657,3,3
frue.ch,NP,rootshoot,0.192540628,0.132195523,0.097027993,0.042679497,0.056019138,0.024641019,3,3
gilb.za,N,rootshoot,5.425377912,3.669895128,0.412850008,3.739354512,0.238359063,2.158917334,3,3
gilb.za,P,rootshoot,5.425377912,2.835776579,0.412850008,1.087183891,0.238359063,0.627685912,3,3
gilb.za,NP,rootshoot,5.425377912,1.230969635,0.412850008,0.522365385,0.238359063,0.301587795,3,3
hall.us,N,rootshoot,0.284852704,0.146545448,0.110229686,0.023044516,0.063641139,0.013304757,3,3
hall.us,P,rootshoot,0.284852704,0.396501761,0.110229686,0.484399197,0.063641139,0.279668007,3,3
hall.us,NP,rootshoot,0.284852704,0.212598157,0.110229686,0.14383523,0.063641139,0.083043309,3,3
hart.us,N,rootshoot,2.844874404,1.23110008,0.630729315,0.66342641,0.36415174,0.383029417,3,3
hart.us,P,rootshoot,2.844874404,3.024371259,0.630729315,1.098697827,0.36415174,0.634333486,3,3
hart.us,NP,rootshoot,2.844874404,0.912247801,0.630729315,0.562377365,0.36415174,0.324688723,3,3
konz.us,N,rootshoot,0.521892784,0.163151477,0.146618078,0.089641281,0.084649987,0.051754418,3,3
konz.us,P,rootshoot,0.521892784,0.516403423,0.146618078,0.142658693,0.084649987,0.082364035,3,3
konz.us,NP,rootshoot,0.521892784,0.344227786,0.146618078,0.217802241,0.084649987,0.125748183,3,3
lancaster.uk,N,rootshoot,5.723582964,2.785273908,1.303151995,2.815906509,0.921467613,1.625764381,2,3
