site_code,treatment_name,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
ukul.za,P,agb,774.4333335,1363.550007,204.1715056,330.2103562,83.35266813,190.647038,6,3
ukul.za,NP,agb,774.4333335,1981.450007,204.1715056,485.4697701,83.35266813,280.2861025,6,3
unc.us,N,agb,317.0756667,403.3301677,154.2934961,155.0010741,89.0813915,89.48991187,3,3
unc.us,P,agb,317.0756667,982.9343366,154.2934961,527.8879985,89.0813915,304.7762781,3,3
unc.us,NP,agb,317.0756667,796.0534987,154.2934961,367.4215789,89.0813915,212.1309475,3,3
valm.ch,N,agb,207.0666666,164.7666665,73.81199667,37.41631751,42.61537615,21.60232099,3,3
valm.ch,P,agb,207.0666666,177.9500001,73.81199667,53.85236791,42.61537615,31.09167911,3,3
valm.ch,NP,agb,207.0666666,197.8999997,73.81199667,6.934695532,42.61537615,4.003748332,3,3
bldr.us,N,bgb,87.43673601,231.0509411,82.99895143,229.4405729,58.68912139,162.238985,2,2
bldr.us,P,bgb,87.43673601,156.954331,82.99895143,50.49020799,58.68912139,35.70196845,2,2
bldr.us,NP,bgb,87.43673601,124.925323,82.99895143,26.40174263,58.68912139,18.66885125,2,2
bnch.us,N,bgb,1263.601043,1153.580087,290.9617787,156.65414,167.9868612,90.44430991,3,3
bnch.us,P,bgb,1263.601043,909.3119989,290.9617787,454.8942145,167.9868612,262.6332972,3,3
bnch.us,NP,bgb,1263.601043,936.0668692,290.9617787,404.8189242,167.9868612,233.7223148,3,3
bogong.au,N,bgb,338.6367943,819.4386142,80.99708521,229.8657536,46.76368895,132.7130547,3,3
bogong.au,P,bgb,338.6367943,400.7156562,80.99708521,136.374851,46.76368895,78.73605694,3,3
bogong.au,NP,bgb,338.6367943,603.3547717,80.99708521,223.7951762,46.76368895,129.2082052,3,3
burrawan.au,N,bgb,136.3438456,25.55078409,58.66164605,4.04855331,33.86831714,2.337433343,3,3
burrawan.au,P,bgb,136.3438456,51.47048453,58.66164605,45.83952204,33.86831714,26.46546039,3,3
burrawan.au,NP,bgb,136.3438456,211.6877611,58.66164605,311.9125522,33.86831714,180.082796,3,3
cbgb.us,N,bgb,106.9374761,102.5057658,36.45383486,39.80016274,14.88221576,16.2483484,6,6
cbgb.us,P,bgb,106.9374761,162.3841376,36.45383486,59.8483428,14.88221576,24.43298363,6,6
cbgb.us,NP,bgb,106.9374761,156.8986941,36.45383486,55.04814362,14.88221576,22.47331052,6,6
cdcr.us,N,bgb,138.9909151,137.4170774,74.08508862,61.75300012,42.77304586,35.65311125,3,3
cdcr.us,P,bgb,138.9909151,589.3584789,74.08508862,504.7197951,42.77304586,291.4001096,3,3
cdcr.us,NP,bgb,138.9909151,815.2485379,74.08508862,456.7264583,42.77304586,263.6911436,3,3
cdpt.us,N,bgb,960.2027432,1138.410493,373.3243383,183.5189516,215.5389072,105.9547161,3,3
cdpt.us,P,bgb,960.2027432,1013.423247,373.3243383,159.1439908,215.5389072,91.88182594,3,3
cdpt.us,NP,bgb,960.2027432,994.78109,373.3243383,268.908766,215.5389072,155.2545484,3,3
cowi.ca,N,bgb,1675.182599,1144.075796,423.4440767,311.5992805,244.4755517,179.9019285,3,3
cowi.ca,P,bgb,1675.182599,2072.808021,423.4440767,1227.690812,244.4755517,708.8076207,3,3
cowi.ca,NP,bgb,1675.182599,2277.253001,423.4440767,322.3300845,244.4755517,186.097361,3,3
elliot.us,N,bgb,128.3828383,137.6237624,78.27002475,71.41764727,45.18921986,41.23299788,3,3
elliot.us,P,bgb,128.3828383,74.58745874,78.27002475,21.17361707,45.18921986,12.22459352,3,3
elliot.us,NP,bgb,128.3828383,67.98679868,78.27002475,9.146142879,45.18921986,5.280528053,3,3
frue.ch,N,bgb,222.3025469,254.4393288,130.0655991,205.6211378,75.09340863,118.7154193,3,3
frue.ch,P,bgb,222.3025469,286.4551557,130.0655991,218.6623765,75.09340863,126.2447819,3,3
frue.ch,NP,bgb,222.3025469,189.1391632,130.0655991,94.11759383,75.09340863,54.33881813,3,3
gilb.za,N,bgb,1203.910981,1495.615775,312.043595,1475.382565,180.1584535,851.8125209,3,3
gilb.za,P,bgb,1203.910981,1056.621219,312.043595,574.5467842,180.1584535,331.7147405,3,3
gilb.za,NP,bgb,1203.910981,652.4623426,312.043595,316.6076879,180.1584535,182.7935339,3,3
hall.us,N,bgb,103.6833899,80.70052989,46.26076437,33.53066122,26.70866476,19.35893628,3,3
hall.us,P,bgb,103.6833899,225.0502785,46.26076437,221.6535916,26.70866476,127.9717608,3,3
hall.us,NP,bgb,103.6833899,88.7371374,46.26076437,29.10232262,26.70866476,16.8022338,3,3
hart.us,N,bgb,127.0943649,136.5101782,41.46000821,68.44158837,23.9369469,39.51476947,3,3
hart.us,P,bgb,127.0943649,116.1971643,41.46000821,55.98585351,23.9369469,32.3234476,3,3
hart.us,NP,bgb,127.0943649,112.4642333,41.46000821,52.74185113,23.9369469,30.45052195,3,3
konz.us,N,bgb,231.6267478,87.5305389,57.04785829,49.08983248,32.93659634,28.342028,3,3
konz.us,P,bgb,231.6267478,201.6090292,57.04785829,19.51350637,32.93659634,11.26612815,3,3
konz.us,NP,bgb,231.6267478,190.273883,57.04785829,99.98073062,32.93659634,57.72390174,3,3
lancaster.uk,N,bgb,545.5625278,587.7121507,150.8247234,451.7450996,106.6491847,260.8151549,2,3
lancaster.uk,P,bgb,545.5625278,383.241012,150.8247234,67.12492928,106.6491847,38.75459599,2,3
lancaster.uk,NP,bgb,545.5625278,577.0748812,150.8247234,327.0824089,106.6491847,188.8411168,2,3
look.us,N,bgb,988.1926351,652.3128396,531.2015367,212.9185375,306.6893502,122.9285749,3,3
look.us,P,bgb,988.1926351,449.3256293,531.2015367,198.4148287,306.6893502,114.5548548,3,3
