Site,full_spp,Treatment,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
NOU,Eugenia_cucullata,P,SPAD,NA,53.92222222,NA,33.64118288,NA,13.7339554,NA,6
NOU,Hirtella_bicornis,P,SPAD,NA,45.26666666,NA,11.61306735,NA,6.704807562,NA,3
NOU,Micropholis_venulosa,P,SPAD,NA,22.41111111,NA,5.71560567,NA,3.299906472,NA,3
NOU,Myrcia_splendens,P,SPAD,NA,48.32222222,NA,7.437542407,NA,4.294067111,NA,3
NOU,Pouteria_retinervis,P,SPAD,NA,33.14444445,NA,0.989013726,NA,0.571007341,NA,3
NOU,Vochysia_sabatieri,P,SPAD,NA,25.87777778,NA,1.184311017,NA,0.683762284,NA,3
NOU,Agonandra_silvatica,NP,SPAD,NA,27.13333333,NA,6.02245797,NA,3.47706773,NA,3
NOU,Aniba_rosaeodora,NP,SPAD,NA,46.82222222,NA,4.283603533,NA,2.473139653,NA,3
NOU,Chimarrhis_turbinata,NP,SPAD,NA,24.58888889,NA,2.751632513,NA,1.588655772,NA,3
NOU,Chrysophyllum_argenteum,NP,SPAD,NA,64.34444444,NA,8.090483666,NA,4.671042923,NA,3
NOU,Ferdinandusa_paraensis,NP,SPAD,NA,50.23333333,NA,5.149217849,NA,2.972902311,NA,3
NOU,Hirtella_bicornis,NP,SPAD,NA,36.6,NA,13.23937729,NA,7.643758043,NA,3
NOU,Lecythis_poiteaui,NP,SPAD,NA,6.533333334,NA,0.518544973,NA,0.366666667,NA,2
NOU,Sterculia_speciosa,NP,SPAD,NA,21.48888889,NA,7.34392165,NA,2.998143459,NA,6
NOU,Capirona_decorticans,NA,lma,78.13420129,NA,7.355908972,NA,4.246936025,NA,3,NA
NOU,Chrysophyllum_sanguinolentum,NA,lma,157.5456734,NA,9.356699547,NA,5.402093002,NA,3,NA
NOU,Couepia_caryophylloides,NA,lma,159.9425414,NA,5.770408513,NA,3.331546909,NA,3,NA
NOU,Dicorynia_guianensis,N,lma,120.0577396,114.3857834,3.33240604,5.160630729,1.923965524,2.97949154,3,3
NOU,Dicorynia_guianensis,P,lma,120.0577396,122.6509869,3.33240604,4.196626896,1.923965524,2.422923668,3,3
NOU,Dicorynia_guianensis,NP,lma,120.0577396,150.9060186,3.33240604,5.271124908,1.923965524,3.043285385,3,3
NOU,Eperua_falcata,N,lma,82.69478266,63.0690414,1.155236503,1.393582087,0.666976106,0.804584993,3,3
NOU,Helicostylis_pedunculata,NA,lma,56.65264349,NA,1.624654077,NA,0.937994469,NA,3,NA
NOU,Lecythis_zabucajo,NA,lma,112.5413745,NA,4.12275965,NA,2.380276394,NA,3,NA
NOU,Licania_alba,N,lma,171.7084798,121.9455512,10.91878059,16.40842093,4.12691115,6.698709794,7,6
NOU,Licania_alba,P,lma,171.7084798,222.3012058,10.91878059,9.262703232,4.12691115,5.347824204,7,3
NOU,Licania_alba,NP,lma,171.7084798,194.8741896,10.91878059,21.35268903,4.12691115,8.717198791,7,6
NOU,Licania_densiflora,NA,lma,105.9750685,NA,4.277415981,NA,2.138707991,NA,4,NA
NOU,Paloue_guianensis,NA,lma,83.14029437,NA,5.01790505,NA,2.897088831,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,lma,139.1880602,NA,18.04697538,NA,10.4194261,NA,3,NA
NOU,Pradosia_ptychandra,NA,lma,126.6049227,NA,8.923899976,NA,5.152216053,NA,3,NA
NOU,Protium_opacum,NA,lma,95.94683661,NA,12.72732078,NA,7.348122077,NA,3,NA
NOU,Sextonia_rubra,P,lma,85.10749997,132.1406308,1.291467081,0.958102114,0.745628867,0.553160513,3,3
NOU,Chrysophyllum_argenteum,N,lma,NA,122.429089,NA,6.269572855,NA,3.619739575,NA,3
NOU,Eschweilera_coriacea,N,lma,NA,112.0010399,NA,20.35810238,NA,8.311160494,NA,6
NOU,Inga_nouragensis,N,lma,NA,73.72853429,NA,3.292711415,NA,1.901047822,NA,3
NOU,Lecythis_idatimon,N,lma,NA,94.30271615,NA,4.768799429,NA,2.753267634,NA,3
NOU,Osteophloeum_platyspermum,N,lma,NA,84.99361253,NA,54.0636683,NA,31.21367344,NA,3
NOU,Protium_decandrum,N,lma,NA,98.88513981,NA,2.975336386,NA,1.717811263,NA,3
NOU,Vouacapoua_americana,N,lma,NA,68.64614378,NA,5.092203134,NA,2.078883224,NA,6
NOU,hymenaea_courbaril,N,lma,NA,169.000627,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,lma,NA,97.58210557,NA,3.009895519,NA,1.737763988,NA,3
NOU,Brosimum_guianense,P,lma,NA,107.0826954,NA,3.41797611,NA,1.973369427,NA,3
NOU,Eugenia_cucullata,P,lma,NA,180.4272807,NA,11.3388257,NA,4.629056208,NA,6
NOU,Hirtella_bicornis,P,lma,NA,109.6823975,NA,15.98802869,NA,9.230692668,NA,3
NOU,Micropholis_venulosa,P,lma,NA,89.13122159,NA,3.762662608,NA,2.17237427,NA,3
NOU,Myrcia_splendens,P,lma,NA,93.00989442,NA,5.17215496,NA,2.986145058,NA,3
NOU,Pouteria_retinervis,P,lma,NA,71.13157811,NA,3.194812611,NA,1.844525921,NA,3
NOU,Vochysia_sabatieri,P,lma,NA,181.8390786,NA,6.89506043,NA,3.980864995,NA,3
NOU,Agonandra_silvatica,NP,lma,NA,79.64999731,NA,9.708253522,NA,5.605062784,NA,3
NOU,Aniba_rosaeodora,NP,lma,NA,124.4369544,NA,6.486524742,NA,3.744996806,NA,3
NOU,Chimarrhis_turbinata,NP,lma,NA,74.61140264,NA,5.805712228,NA,3.351929518,NA,3
NOU,Chrysophyllum_argenteum,NP,lma,NA,99.08456796,NA,13.57686636,NA,7.838607445,NA,3
NOU,Ferdinandusa_paraensis,NP,lma,NA,67.18925903,NA,2.536464497,NA,1.46442846,NA,3
NOU,Hirtella_bicornis,NP,lma,NA,108.3646285,NA,12.75920799,NA,7.366532165,NA,3
NOU,Lecythis_poiteaui,NP,lma,NA,56.73797375,NA,1.273372456,NA,0.900410299,NA,2
NOU,Sterculia_speciosa,NP,lma,NA,137.3223496,NA,30.65119584,NA,12.5132983,NA,6
NOU,Capirona_decorticans,NA,Nmass,2.508063316,NA,0.064207649,NA,0.037070303,NA,3,NA
NOU,Chrysophyllum_sanguinolentum,NA,Nmass,1.131146352,NA,0.124452041,NA,0.071852419,NA,3,NA
NOU,Couepia_caryophylloides,NA,Nmass,1.300474525,NA,0.014935817,NA,0.008623198,NA,3,NA
NOU,Dicorynia_guianensis,N,Nmass,1.974760612,2.044224421,0.090789846,0.063411936,0.052417542,0.036610898,3,3
NOU,Dicorynia_guianensis,P,Nmass,1.974760612,1.982077241,0.090789846,0.020627304,0.052417542,0.011909179,3,3
NOU,Dicorynia_guianensis,NP,Nmass,1.974760612,1.931491772,0.090789846,0.227010203,0.052417542,0.131064402,3,3
NOU,Eperua_falcata,N,Nmass,1.581502597,1.187569698,0.154868494,0.103200111,0.089413367,0.059582612,3,3
NOU,Helicostylis_pedunculata,NA,Nmass,1.567949692,NA,0.20853088,NA,0.12039536,NA,3,NA
NOU,Lecythis_zabucajo,NA,Nmass,2.670158625,NA,0.016805718,NA,0.009702786,NA,3,NA
NOU,Licania_alba,N,Nmass,1.211193059,1.168825468,0.119393854,0.114289272,0.045126635,0.0466584,7,6
NOU,Licania_alba,P,Nmass,1.211193059,0.890529811,0.119393854,0.113633333,0.045126635,0.065606235,7,3
NOU,Licania_alba,NP,Nmass,1.211193059,1.213011404,0.119393854,0.136718743,0.045126635,0.055815193,7,6
NOU,Licania_densiflora,NA,Nmass,1.431809992,NA,0.082747904,NA,0.041373952,NA,4,NA
NOU,Paloue_guianensis,NA,Nmass,2.233953238,NA,0.059383162,NA,0.034284885,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,Nmass,0.892558714,NA,0.088448622,NA,0.051065836,NA,3,NA
NOU,Pradosia_ptychandra,NA,Nmass,1.550983866,NA,0.028257269,NA,0.016314342,NA,3,NA
NOU,Protium_opacum,NA,Nmass,0.855381548,NA,0.063062181,NA,0.036408967,NA,3,NA
NOU,Sextonia_rubra,P,Nmass,1.470113436,1.510233164,0.074655512,0.130619468,0.04310238,0.075413185,3,3
NOU,Chrysophyllum_argenteum,N,Nmass,NA,0.886191646,NA,0.165170222,NA,0.095361072,NA,3
NOU,Eschweilera_coriacea,N,Nmass,NA,1.654516339,NA,0.183064756,NA,0.074735874,NA,6
NOU,Inga_nouragensis,N,Nmass,NA,2.23309803,NA,0.130231329,NA,0.075189093,NA,3
NOU,Lecythis_idatimon,N,Nmass,NA,1.443260988,NA,0.052440561,NA,0.030276572,NA,3
NOU,Osteophloeum_platyspermum,N,Nmass,NA,2.189479589,NA,0.011034705,NA,0.00637089,NA,3
NOU,Protium_decandrum,N,Nmass,NA,1.519994696,NA,0.060118749,NA,0.034709576,NA,3
NOU,Vouacapoua_americana,N,Nmass,NA,1.62594072,NA,0.195932735,NA,0.079989204,NA,6
NOU,hymenaea_courbaril,N,Nmass,NA,0.987130404,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,Nmass,NA,2.674639861,NA,0.153671943,NA,0.088722538,NA,3
NOU,Brosimum_guianense,P,Nmass,NA,1.155071378,NA,0.102415381,NA,0.059129548,NA,3
NOU,Eugenia_cucullata,P,Nmass,NA,0.791892876,NA,0.116147773,NA,0.04741713,NA,6
NOU,Hirtella_bicornis,P,Nmass,NA,1.006558676,NA,0.09217607,NA,0.053217879,NA,3
NOU,Micropholis_venulosa,P,Nmass,NA,1.53642114,NA,0.136758134,NA,0.078957346,NA,3
NOU,Myrcia_splendens,P,Nmass,NA,1.453823368,NA,0.122467905,NA,0.070706878,NA,3
NOU,Pouteria_retinervis,P,Nmass,NA,1.41514194,NA,0.07993813,NA,0.046152301,NA,3
NOU,Vochysia_sabatieri,P,Nmass,NA,1.103106737,NA,0.046375254,NA,0.026774765,NA,3
NOU,Agonandra_silvatica,NP,Nmass,NA,1.54911379,NA,0.33903958,NA,0.195744593,NA,3
NOU,Aniba_rosaeodora,NP,Nmass,NA,1.454586108,NA,0.112003315,NA,0.064665144,NA,3
NOU,Chimarrhis_turbinata,NP,Nmass,NA,2.159349203,NA,0.167041313,NA,0.096441347,NA,3
NOU,Chrysophyllum_argenteum,NP,Nmass,NA,1.527403911,NA,0.156576934,NA,0.090399735,NA,3
NOU,Ferdinandusa_paraensis,NP,Nmass,NA,1.37915198,NA,0.172991588,NA,0.09987674,NA,3
NOU,Hirtella_bicornis,NP,Nmass,NA,1.122898579,NA,0.087617078,NA,0.050585744,NA,3
NOU,Lecythis_poiteaui,NP,Nmass,NA,2.825267673,NA,0.368485682,NA,0.260558725,NA,2
NOU,Sterculia_speciosa,NP,Nmass,NA,1.299440126,NA,0.079684894,NA,0.032531222,NA,6
NOU,Capirona_decorticans,NA,Narea,1.961282156,NA,0.213929303,NA,0.123512141,NA,3,NA
NOU,Chrysophyllum_sanguinolentum,NA,Narea,1.785534933,NA,0.266653567,NA,0.153952508,NA,3,NA
NOU,Couepia_caryophylloides,NA,Narea,2.079589533,NA,0.060142843,NA,0.034723487,NA,3,NA
NOU,Dicorynia_guianensis,N,Narea,2.371689793,2.339794554,0.147141916,0.162930832,0.084952425,0.09406816,3,3
NOU,Dicorynia_guianensis,P,Narea,2.371689793,2.430467176,0.147141916,0.05793136,0.084952425,0.033446686,3,3
NOU,Dicorynia_guianensis,NP,Narea,2.371689793,2.907494924,0.147141916,0.260524337,0.084952425,0.150413796,3,3
NOU,Eperua_falcata,N,Narea,1.308037394,0.749571076,0.131757751,0.075515407,0.076070373,0.043598841,3,3
NOU,Helicostylis_pedunculata,NA,Narea,0.888221079,NA,0.12154441,NA,0.070173698,NA,3,NA
NOU,Lecythis_zabucajo,NA,Narea,3.005387117,NA,0.125504125,NA,0.07245984,NA,3,NA
NOU,Licania_alba,N,Narea,2.074934951,1.416512039,0.193997793,0.150836445,0.073324273,0.061578721,7,6
NOU,Licania_alba,P,Narea,2.074934951,1.986613093,0.193997793,0.33647196,0.073324273,0.194262177,7,3
NOU,Licania_alba,NP,Narea,2.074934951,2.343161226,0.193997793,0.139431544,0.073324273,0.056922689,7,6
NOU,Licania_densiflora,NA,Narea,1.516100195,NA,0.078318405,NA,0.039159202,NA,4,NA
NOU,Paloue_guianensis,NA,Narea,1.857313211,NA,0.122114155,NA,0.07050264,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,Narea,1.233236067,NA,0.093830822,NA,0.05417325,NA,3,NA
NOU,Pradosia_ptychandra,NA,Narea,1.963915589,NA,0.150273532,NA,0.086760464,NA,3,NA
NOU,Protium_opacum,NA,Narea,0.820034455,NA,0.121399129,NA,0.07008982,NA,3,NA
NOU,Sextonia_rubra,P,Narea,1.251567901,1.996208203,0.077137213,0.183483737,0.044535191,0.105934385,3,3
NOU,Chrysophyllum_argenteum,N,Narea,NA,1.085360129,NA,0.218523797,NA,0.126164773,NA,3
NOU,Eschweilera_coriacea,N,Narea,NA,1.850153499,NA,0.388337618,NA,0.158538169,NA,6
NOU,Inga_nouragensis,N,Narea,NA,1.64365777,NA,0.032561096,NA,0.018799157,NA,3
NOU,Lecythis_idatimon,N,Narea,NA,1.359858898,NA,0.047959383,NA,0.027689363,NA,3
NOU,Osteophloeum_platyspermum,N,Narea,NA,1.856974276,NA,1.170985453,NA,0.676068766,NA,3
NOU,Protium_decandrum,N,Narea,NA,1.503662599,NA,0.090824877,NA,0.052437767,NA,3
NOU,Vouacapoua_americana,N,Narea,NA,1.124075566,NA,0.213051367,NA,0.086977856,NA,6
NOU,hymenaea_courbaril,N,Narea,NA,1.668256572,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,Narea,NA,2.608830214,NA,0.139697307,NA,0.080654278,NA,3
NOU,Brosimum_guianense,P,Narea,NA,1.235319143,NA,0.088353799,NA,0.05101109,NA,3
NOU,Eugenia_cucullata,P,Narea,NA,1.432335262,NA,0.252327219,NA,0.103012156,NA,6
NOU,Hirtella_bicornis,P,Narea,NA,1.106410317,NA,0.205817111,NA,0.118828564,NA,3
NOU,Micropholis_venulosa,P,Narea,NA,1.367499717,NA,0.098834554,NA,0.057062156,NA,3
NOU,Myrcia_splendens,P,Narea,NA,1.353993176,NA,0.164320223,NA,0.094870325,NA,3
NOU,Pouteria_retinervis,P,Narea,NA,1.008287638,NA,0.10218029,NA,0.058993818,NA,3
NOU,Vochysia_sabatieri,P,Narea,NA,2.005476131,NA,0.103894802,NA,0.059983692,NA,3
NOU,Agonandra_silvatica,NP,Narea,NA,1.246493129,NA,0.391192414,NA,0.225855046,NA,3
NOU,Aniba_rosaeodora,NP,Narea,NA,1.811702874,NA,0.19392764,NA,0.111964175,NA,3
NOU,Chimarrhis_turbinata,NP,Narea,NA,1.604667696,NA,0.011942034,NA,0.006894737,NA,3
NOU,Chrysophyllum_argenteum,NP,Narea,NA,1.501559302,NA,0.119170618,NA,0.068803188,NA,3
NOU,Ferdinandusa_paraensis,NP,Narea,NA,0.925601349,NA,0.110674943,NA,0.063898208,NA,3
NOU,Hirtella_bicornis,NP,Narea,NA,1.223651013,NA,0.237102578,NA,0.136891237,NA,3
NOU,Lecythis_poiteaui,NP,Narea,NA,1.605345728,NA,0.24504749,NA,0.173274742,NA,2
NOU,Sterculia_speciosa,NP,Narea,NA,1.770982893,NA,0.338859587,NA,0.138338847,NA,6
NOU,Capirona_decorticans,NA,Pmass,0.053079519,NA,0.001984342,NA,0.001145661,NA,3,NA
NOU,Chrysophyllum_sanguinolentum,NA,Pmass,0.038910493,NA,0.000502259,NA,0.000289979,NA,3,NA
NOU,Couepia_caryophylloides,NA,Pmass,0.038673302,NA,0.003306394,NA,0.001908948,NA,3,NA
NOU,Dicorynia_guianensis,N,Pmass,0.062001479,0.066727433,0.003074009,0.002979671,0.00177478,0.001720314,3,3
NOU,Dicorynia_guianensis,P,Pmass,0.062001479,0.075459888,0.003074009,0.00261852,0.00177478,0.001511803,3,3
NOU,Dicorynia_guianensis,NP,Pmass,0.062001479,0.076254858,0.003074009,0.013046235,0.00177478,0.007532247,3,3
NOU,Eperua_falcata,N,Pmass,0.069442072,0.063402062,0.001735587,0,0.001002041,0,3,3
NOU,Helicostylis_pedunculata,NA,Pmass,0.074525418,NA,0.015085862,NA,0.008709826,NA,3,NA
NOU,Lecythis_zabucajo,NA,Pmass,0.085690706,NA,0.001651908,NA,0.000953729,NA,3,NA
NOU,Licania_alba,N,Pmass,0.034116389,0.032257274,0.002840035,0.003930925,0.001073432,0.001604794,7,6
NOU,Licania_alba,P,Pmass,0.034116389,0.026191661,0.002840035,0.001686468,0.001073432,0.000973683,7,3
NOU,Licania_alba,NP,Pmass,0.034116389,0.034687395,0.002840035,0.002454649,0.001073432,0.001002106,7,6
NOU,Licania_densiflora,NA,Pmass,0.034889562,NA,0.000984861,NA,0.00049243,NA,4,NA
NOU,Paloue_guianensis,NA,Pmass,0.065190239,NA,0.000543944,NA,0.000314046,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,Pmass,0.035575344,NA,0.003002473,NA,0.002123069,NA,2,NA
NOU,Pradosia_ptychandra,NA,Pmass,0.045228601,NA,0.000815078,NA,0.000470586,NA,3,NA
NOU,Protium_opacum,NA,Pmass,0.049476856,NA,0.001993602,NA,0.001151006,NA,3,NA
NOU,Sextonia_rubra,P,Pmass,0.060271763,0.066423863,0.000914532,0.002453975,0.000528005,0.001416803,3,3
NOU,Chrysophyllum_argenteum,N,Pmass,NA,0.028846154,NA,0,NA,0,NA,3
NOU,Eschweilera_coriacea,N,Pmass,NA,0.052711935,NA,0.003606854,NA,0.001472492,NA,6
NOU,Inga_nouragensis,N,Pmass,NA,0.054264706,NA,0,NA,0,NA,3
NOU,Lecythis_idatimon,N,Pmass,NA,0.042970264,NA,0.003747938,NA,0.002163873,NA,3
NOU,Osteophloeum_platyspermum,N,Pmass,NA,0.064257945,NA,0.000482772,NA,0.000278729,NA,3
NOU,Protium_decandrum,N,Pmass,NA,0.058215608,NA,0.001191944,NA,0.000688169,NA,3
NOU,Vouacapoua_americana,N,Pmass,NA,0.072538716,NA,0.00096322,NA,0.000393233,NA,6
NOU,hymenaea_courbaril,N,Pmass,NA,0.055871212,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,Pmass,NA,0.198948401,NA,0.020903317,NA,0.012068536,NA,3
NOU,Brosimum_guianense,P,Pmass,NA,0.045419255,NA,0,NA,0,NA,3
NOU,Eugenia_cucullata,P,Pmass,NA,0.034551066,NA,0.012748979,NA,0.005204749,NA,6
NOU,Hirtella_bicornis,P,Pmass,NA,0.030225749,NA,0.000914553,NA,0.000528017,NA,3
NOU,Micropholis_venulosa,P,Pmass,NA,0.048250564,NA,0,NA,0,NA,3
NOU,Myrcia_splendens,P,Pmass,NA,0.043279381,NA,0,NA,0,NA,3
NOU,Pouteria_retinervis,P,Pmass,NA,0.095471818,NA,0,NA,0,NA,3
NOU,Vochysia_sabatieri,P,Pmass,NA,0.041978591,NA,0.005044547,NA,0.002912471,NA,3
NOU,Agonandra_silvatica,NP,Pmass,NA,0.092286915,NA,0,NA,0,NA,3
NOU,Aniba_rosaeodora,NP,Pmass,NA,0.055103923,NA,0.005855019,NA,0.003380397,NA,3
NOU,Chimarrhis_turbinata,NP,Pmass,NA,0.068865381,NA,0.004479851,NA,0.002586443,NA,3
NOU,Chrysophyllum_argenteum,NP,Pmass,NA,0.045961032,NA,0.000241453,NA,0.000139403,NA,3
NOU,Ferdinandusa_paraensis,NP,Pmass,NA,0.059532634,NA,0.005443065,NA,0.003142555,NA,3
NOU,Hirtella_bicornis,NP,Pmass,NA,0.038881521,NA,0.003221528,NA,0.00185995,NA,3
NOU,Lecythis_poiteaui,NP,Pmass,NA,0.238597491,NA,0,NA,0,NA,2
NOU,Sterculia_speciosa,NP,Pmass,NA,0.080250182,NA,0.008611135,NA,0.003515481,NA,6
NOU,Capirona_decorticans,NA,Parea,0.041549679,NA,0.005293881,NA,0.003056424,NA,3,NA
NOU,Chrysophyllum_sanguinolentum,NA,Parea,0.061276586,NA,0.003066957,NA,0.001770708,NA,3,NA
NOU,Couepia_caryophylloides,NA,Parea,0.061755534,NA,0.003905905,NA,0.002255075,NA,3,NA
NOU,Dicorynia_guianensis,N,Parea,0.074415658,0.07636795,0.003585176,0.005657799,0.002069902,0.003266532,3,3
NOU,Dicorynia_guianensis,P,Parea,0.074415658,0.092523152,0.003585176,0.003462577,0.002069902,0.00199912,3,3
NOU,Dicorynia_guianensis,NP,Parea,0.074415658,0.114680144,0.003585176,0.016742593,0.002069902,0.00966634,3,3
NOU,Eperua_falcata,N,Parea,0.057425349,0.039987073,0.001653666,0.00088356,0.000954744,0.000510123,3,3
NOU,Helicostylis_pedunculata,NA,Parea,0.04207325,NA,0.007519916,NA,0.004341626,NA,3,NA
NOU,Lecythis_zabucajo,NA,Parea,0.09641587,NA,0.003085144,NA,0.001781208,NA,3,NA
NOU,Licania_alba,N,Parea,0.058657589,0.038812087,0.007024101,0.001057143,0.002654861,0.000431577,7,6
NOU,Licania_alba,P,Parea,0.058657589,0.058307332,0.007024101,0.005825326,0.002654861,0.003363254,7,3
NOU,Licania_alba,NP,Parea,0.058657589,0.067689908,0.007024101,0.00959936,0.002654861,0.003918922,7,6
NOU,Licania_densiflora,NA,Parea,0.037003711,NA,0.00251361,NA,0.001256805,NA,4,NA
NOU,Paloue_guianensis,NA,Parea,0.054203132,NA,0.003402032,NA,0.001964164,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,Parea,0.053102997,NA,0.002932331,NA,0.002073471,NA,2,NA
NOU,Pradosia_ptychandra,NA,Parea,0.057233834,NA,0.003566237,NA,0.002058968,NA,3,NA
NOU,Protium_opacum,NA,Parea,0.047527094,NA,0.007011507,NA,0.004048095,NA,3,NA
NOU,Sextonia_rubra,P,Parea,0.051300355,0.087783048,0.001389936,0.003697688,0.00080248,0.002134861,3,3
NOU,Chrysophyllum_argenteum,N,Parea,NA,0.035316084,NA,0.001808531,NA,0.001044156,NA,3
NOU,Eschweilera_coriacea,N,Parea,NA,0.059397836,NA,0.013425725,NA,0.005481029,NA,6
NOU,Inga_nouragensis,N,Parea,NA,0.040008572,NA,0.00178678,NA,0.001031598,NA,3
NOU,Lecythis_idatimon,N,Parea,NA,0.040418736,NA,0.001950351,NA,0.001126036,NA,3
NOU,Osteophloeum_platyspermum,N,Parea,NA,0.054789048,NA,0.03530062,NA,0.020380822,NA,3
NOU,Protium_decandrum,N,Parea,NA,0.057586976,NA,0.002808144,NA,0.001621282,NA,3
NOU,Vouacapoua_americana,N,Parea,NA,0.049796892,NA,0.003808997,NA,0.001555017,NA,6
NOU,hymenaea_courbaril,N,Parea,NA,0.094422699,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,Parea,NA,0.193956032,NA,0.018465831,NA,0.010661252,NA,3
NOU,Brosimum_guianense,P,Parea,NA,0.048636162,NA,0.001552419,NA,0.00089629,NA,3
NOU,Eugenia_cucullata,P,Parea,NA,0.061686378,NA,0.020041866,NA,0.008182057,NA,6
NOU,Hirtella_bicornis,P,Parea,NA,0.03321131,NA,0.005417521,NA,0.003127807,NA,3
NOU,Micropholis_venulosa,P,Parea,NA,0.043006317,NA,0.001815506,NA,0.001048183,NA,3
NOU,Myrcia_splendens,P,Parea,NA,0.040254107,NA,0.002238477,NA,0.001292385,NA,3
NOU,Pouteria_retinervis,P,Parea,NA,0.067910611,NA,0.003050146,NA,0.001761002,NA,3
NOU,Vochysia_sabatieri,P,Parea,NA,0.076282533,NA,0.009080281,NA,0.005242502,NA,3
NOU,Agonandra_silvatica,NP,Parea,NA,0.073506525,NA,0.008959448,NA,0.00517274,NA,3
NOU,Aniba_rosaeodora,NP,Parea,NA,0.068454975,NA,0.006381247,NA,0.003684215,NA,3
NOU,Chimarrhis_turbinata,NP,Parea,NA,0.051265144,NA,0.003180982,NA,0.001836541,NA,3
NOU,Chrysophyllum_argenteum,NP,Parea,NA,0.045540645,NA,0.00622966,NA,0.003596696,NA,3
NOU,Ferdinandusa_paraensis,NP,Parea,NA,0.039947707,NA,0.003108036,NA,0.001794425,NA,3
NOU,Hirtella_bicornis,NP,Parea,NA,0.042311554,NA,0.007693818,NA,0.004442028,NA,3
NOU,Lecythis_poiteaui,NP,Parea,NA,0.135375382,NA,0.003038235,NA,0.002148356,NA,2
NOU,Sterculia_speciosa,NP,Parea,NA,0.111629441,NA,0.033615821,NA,0.013723601,NA,6
