Site,full_spp,Treatment,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
NOU,Capirona_decorticans,NA,SPAD,NA,NA,NA,NA,NA,NA,0,NA
NOU,Chrysophyllum_sanguinolentum,NA,SPAD,68.92222222,NA,5.043183884,NA,2.911683573,NA,3,NA
NOU,Couepia_caryophylloides,NA,SPAD,37.71111111,NA,1.912047572,NA,1.103921181,NA,3,NA
NOU,Dicorynia_guianensis,N,SPAD,89.35,75.74444445,NA,2.449792131,NA,1.414388146,1,3
NOU,Dicorynia_guianensis,P,SPAD,89.35,73.67777778,NA,1.895706651,NA,1.094486745,1,3
NOU,Dicorynia_guianensis,NP,SPAD,89.35,89.02777778,NA,12.72155141,NA,7.344791133,1,3
NOU,Eperua_falcata,N,SPAD,45.55555555,13.82222222,2.388475418,1.030821323,1.378986925,0.595144968,3,3
NOU,Helicostylis_pedunculata,NA,SPAD,22.14444444,NA,8.12173581,NA,4.689086356,NA,3,NA
NOU,Lecythis_zabucajo,NA,SPAD,48.9,NA,10.11769627,NA,5.841454663,NA,3,NA
NOU,Licania_alba,N,SPAD,53.40952381,35.97222222,20.50679846,5.405035374,7.750841273,2.206596451,7,6
NOU,Licania_alba,P,SPAD,53.40952381,66.3,20.50679846,8.763624316,7.750841273,5.059680858,7,3
NOU,Licania_alba,NP,SPAD,53.40952381,52.41111111,20.50679846,10.54673549,7.750841273,4.305686736,7,6
NOU,Licania_densiflora,NA,SPAD,44.10833334,NA,5.263879362,NA,2.631939681,NA,4,NA
NOU,Paloue_guianensis,NA,SPAD,32.11111111,NA,1.405281048,NA,0.811339392,NA,3,NA
NOU,Pouteria_eugeniifolia,NA,SPAD,60.06666667,NA,16.96653569,NA,9.795633948,NA,3,NA
NOU,Pradosia_ptychandra,NA,SPAD,66.27777778,NA,6.871546272,NA,3.96728909,NA,3,NA
NOU,Protium_opacum,NA,SPAD,13.83333333,NA,1.134802968,NA,0.655178799,NA,3,NA
NOU,Sextonia_rubra,P,SPAD,44.2,96.80000001,2.635020557,8.43465077,1.521329828,4.869747892,3,3
NOU,Chrysophyllum_argenteum,N,SPAD,NA,51.68888889,NA,12.65132111,NA,7.30424365,NA,3
NOU,Eschweilera_coriacea,N,SPAD,NA,82.92777778,NA,15.95183608,NA,6.51230981,NA,6
NOU,Inga_nouragensis,N,SPAD,NA,61.84444444,NA,9.001872235,NA,5.197233358,NA,3
NOU,Lecythis_idatimon,N,SPAD,NA,55.13333333,NA,6.398524138,NA,3.694189633,NA,3
NOU,Osteophloeum_platyspermum,N,SPAD,NA,58.31111111,NA,3.861826474,NA,2.229626554,NA,3
NOU,Protium_decandrum,N,SPAD,NA,91.81111111,NA,3.667020184,NA,2.11715509,NA,3
NOU,Vouacapoua_americana,N,SPAD,NA,40.54444444,NA,8.592416986,NA,3.507839546,NA,6
NOU,hymenaea_courbaril,N,SPAD,NA,29.9,NA,NA,NA,NA,NA,1
NOU,Alexa_wachenheimii,P,SPAD,NA,51.47777778,NA,5.183985309,NA,2.992975314,NA,3
NOU,Brosimum_guianense,P,SPAD,NA,77.8,NA,3.540872457,NA,2.044323666,NA,3
