"trait","treatment","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"asat","P",11.0686274509804,14.1372549019608,5.25143700444092,5.50396032433925,3.03191856814633,3.17771297486629,3,3
"leaf_lipid_p","P",0.240948275862069,0.337931034482759,0.188706659991505,0.208057135209844,0.108949840943971,0.120121843020226,3,3
"leaf_metabolite_p","P",0.0437611607142857,0.0400111607142857,0.0250031120924667,0.0260313221399831,0.014435553497164,0.0150291908448811,3,3
"leaf_nucleic_p","P",0.493783783783784,0.658783783783784,0.315727519548108,0.33305149071856,0.182285368401673,0.192287367820367,3,3
"leaf_inorganic_p","P",0.894618834080717,2.65470852017937,1.00078740604512,2.58478689101802,0.577804878281738,1.49232740732707,3,3
"leaf_residual_p","P",0.0813202247191011,0.0963202247191011,0.049550539472927,0.0548580591808871,0.0286080173031856,0.0316723152353056,3,3
"lma","P",27.2615606936416,24.5736994219653,14.8441045019144,9.84326237876804,8.57024773005919,5.68301018408584,3,3
"pmass","P",1.74626865671642,3.79850746268657,1.44422196012887,2.79652177875075,0.833821937449972,1.61457260175639,3,3
"ppue","P",326.033834586466,213.251879699248,369.130473468717,228.38094320747,213.117578223258,131.855799038614,3,3
"spad","P",32.7460815047022,30.6771159874608,7.53978214516362,6.43316619248545,4.35309525114135,3.71419023297307,3,3
