db,id,duplicate_id,citation,response,site,study,exp,lat,lon,elevation,mat,map,ecosystem_type,vegetation_type,experiment_type,community_type,dominant_species,growth_form,age,disturbance_type,treatment,npk,w_t1,c_c,c_t,d_t,d_t2,n_c,n_t,p_c,p_t,k_c,k_t,i_c,i_t,i_t2,s_c,s_t,w_t2,w_t3,start_year,duration,treatment_duration,fumigation_type,start_treatment,end_treatment,sampling_year,sampling_depth,aggregation_level,x_c,x_t,x_units,sd_c,sd_t,se_c,se_t,rep_c,rep_t,sampling_date
sichuan,s915,s915,aerts_et_al_2003,agb,51.85_5.62,51.85_5.62,51.85_5.62_fnp,51.85,5.62,NA,9.5,821,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,10,0,5,NA,NA,0,0,0,NA,NA,0,0,NA,11,NA,NA,NA,NA,11,NA,community,285.287,535.787,g_m2,92.045,173.692,53.14220553,100.281123,3,3,NA
sichuan,s918,s918,aerts_et_al_2003,agb,52.07_5.58,52.07_5.58,52.07_5.58_fnp,52.07,5.58,NA,9.3,804,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,10,0,5,NA,NA,0,0,0,NA,NA,0,0,NA,11,NA,NA,NA,NA,11,NA,community,519.911,549.144,g_m2,57.948,119.257,33.4562934,68.85306105,3,3,NA
sichuan,s921,s921,aerts_et_al_2003,soil_total_c,51.85_5.62,51.85_5.62,51.85_5.62_fnp,51.85,5.62,NA,9.5,821,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,10,0,5,NA,NA,0,0,0,NA,NA,0,0,NA,11,NA,NA,NA,NA,11,10,NA,6.1,6.1,NA,1.5,1.5,0.866025404,0.866025404,3,3,NA
sichuan,s924,s924,aerts_et_al_2003,soil_total_c,52.07_5.58,52.07_5.58,52.07_5.58_fnp,52.07,5.58,NA,9.3,804,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,10,0,5,NA,NA,0,0,0,NA,NA,0,0,NA,11,NA,NA,NA,NA,11,10,NA,32,31.9,NA,1.5,0.6,0.866025404,0.346410162,3,3,NA
antwerp,p35809,p35809,arens_et_al_2008,gpp,pituffik,pituffik,pituffik_fnp,76.55,-68.57,200,-11.4,126,tundra,NA,NA,NA,salix_arctica_carex_rupestris_dryas_integrifolia_carex_nardina_festuca_brachyphylla_poa_arctica_cerastium_alpinum_cochlearia_officinalis_var_groenlandica_sagina_intermedia_papaver_radicatum,NA,NA,NA,f,_110,_0000,380,380,0,0,0,5,0,2.5,0,0,0,0,0,NA,NA,0,0,2004,NA,NA,NA,NA,NA,2,NA,NA,0.77821,4.45525,umolco2_m2s,0.142966918,0.762501662,0.058366,0.31129,6,6,07_2005_08_2005
antwerp,p35810,p35810,arens_et_al_2008,gpp,pituffik,pituffik,pituffik_fnp,76.55,-68.57,200,-11.4,126,tundra,NA,NA,NA,salix_arctica_carex_rupestris_dryas_integrifolia_carex_nardina_festuca_brachyphylla_poa_arctica_cerastium_alpinum_cochlearia_officinalis_var_groenlandica_sagina_intermedia_papaver_radicatum,NA,NA,NA,f,_110,_0000,382,382,0,0,0,5,0,2.5,0,0,0,0,0,NA,NA,0,0,2004,NA,NA,NA,NA,NA,3,NA,NA,0.330739,2.27626,umolco2_m2s,0.095312095,0.190643787,0.038911,0.07783,6,6,07_2006_08_2006
sichuan,s384,s384,augustine_et_al_2003,anpp,0.28_37.88,0.28_37.88,0.28_37.88_f,0.28,37.88,NA,16.2,703,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,NA,NA,0,0,NA,40,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,7.17452,7.33439,g_m2d,1.465,0.876,0.7325,0.438,4,4,NA
sichuan,s385,s385,augustine_et_al_2003,anpp,0.28_37.88,0.28_37.88,0.28_37.88_f,0.28,37.88,NA,16.2,703,grassland,NA,NA,NA,NA,NA,NA,NA,f,_010,_0000,NA,NA,0,0,NA,NA,NA,10,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,7.17452,9.60479,g_m2d,1.465,2.151,0.7325,1.0755,4,4,NA
sichuan,s386,s386,augustine_et_al_2003,anpp,0.28_37.88,0.28_37.88,0.28_37.88_f,0.28,37.88,NA,16.2,703,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,7.17452,13.3465,g_m2d,1.465,0.581,0.7325,0.2905,4,4,NA
sichuan,s3057,s3057,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fn2p,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,12,0,2.6,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,3793.94,kg_ha,104.62,415.37,52.31,207.685,4,4,NA
sichuan,s3061,s3061,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fn2p2,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,12,0,5.2,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,3785.17,kg_ha,104.62,52.88,52.31,26.44,4,4,NA
sichuan,s3058,s3058,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fn3p,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,18,0,2.6,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,3999.07,kg_ha,104.62,363.96,52.31,181.98,4,4,NA
sichuan,s3062,s3062,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fn3p2,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,18,0,5.2,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,4845.16,kg_ha,104.62,105.15,52.31,52.575,4,4,NA
sichuan,s3056,s3056,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fnp,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,6,0,2.6,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,2992.76,kg_ha,104.62,208.05,52.31,104.025,4,4,NA
sichuan,s3060,s3060,aydin_and_uzun_2005,agb,41.35_36.25,41.35_36.25,41.35_36.25_fnp2,41.35,36.25,NA,14.1,665,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,6,0,5.2,NA,NA,0,0,0,NA,NA,0,0,NA,3,NA,NA,NA,NA,3,NA,community,1474.43,3631.73,kg_ha,104.62,441.21,52.31,220.605,4,4,NA
sichuan,s3608,s3608,bai_et_al_2014,agb_group,43.53_116.67,43.53_116.67,43.53_116.67_fnp,43.53,116.67,NA,0.3,1224,grassland,NA,NA,NA,leymus,NA,NA,NA,f,_110,_0000,NA,NA,0,0,0,10.5,0,32,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,species,18.3721,18.1395,g_m2,6.76,10.921,3.023163906,4.884019676,5,5,2012
hebei,h1126,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,364,364,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,867,g_m2,54,86,27,43,4,4,1997
hebei,h1127,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,364,364,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,625,g_m2,101.8233765,166.8772004,36,59,8,8,1997
hebei,h1128,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,367,367,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,499,g_m2,75.93418203,93.08061023,31,38,6,6,1998
sichuan,s1789,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,NA,NA,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,430,499,g_m2,75.934,93.081,30.99992569,38.00015912,6,6,NA
sichuan,s1790,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_010,_0000,NA,NA,0,0,NA,NA,NA,2.5,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,430,354,g_m2,75.934,34.293,30.99992569,14.00005862,6,6,NA
sichuan,s1791,dup156,bennett_and_adams_2001,agb,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_110,_0000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,2,NA,NA,NA,NA,2,NA,community,430,532,g_m2,75.934,83.283,30.99992569,34.00014237,6,6,NA
hebei,h2537,h2537,bennett_and_adams_2001,litter_biomass,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,364,364,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16,g_m2,4,10,2,5,4,4,1997
hebei,h2538,h2538,bennett_and_adams_2001,litter_biomass,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,364,364,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,46,g_m2,19.79898987,25.45584412,7,9,8,8,1997
hebei,h2539,h2539,bennett_and_adams_2001,litter_biomass,-22.283_117.666,-22.283_117.666,-22.283_117.666_f,-22.28,117.67,671,25.2,350,grassland,NA,NA,NA,NA,NA,NA,NA,f,_100,_0000,367,367,0,0,NA,5,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,90,g_m2,14.69693846,26.94438717,6,11,6,6,1998
antwerp,p61765,p61765,bi_et_al_2011,soc,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,the_dominant_species_include_stipa_krylovii_artemisia_frigida_potentilla_acaulis_cleistogenes_squarrosa_allium_bidentatum_and_agropyron_cristattum,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,NA,NA,NA,NA,0,0,0,NA,NA,0,0,2005,4,30,0,01_07_2005(to_2008),01_08_2005(to_2008),2_4,20,NA,15.52,15.06,g_kg,0.86,1.1,0.43,0.55,4,4,NA
antwerp,p58366,p58366,bi_et_al_2011,soil_total_c,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,NA,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,30,0,01_07_2005(to_2008),01_08_2005(to_2008),NA,NA,NA,15.48148148,15.01851852,g_kg,1.63,2.222,0.815,1.111,4,4,NA
antwerp,p58368,p58368,bi_et_al_2011,soil_total_c,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,NA,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,30,0,01_07_2005(to_2008),01_08_2005(to_2008),NA,NA,NA,15.48148148,17,g_kg,1.63,3.334,0.815,1.667,4,4,NA
antwerp,p58370,p58370,bi_et_al_2011,soil_total_n,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,NA,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,30,0,01_07_2005(to_2008),01_08_2005(to_2008),NA,NA,NA,1.524528302,1.486792453,g_kg,0.272,0.242,0.136,0.121,4,4,NA
antwerp,p61768,p61768,bi_et_al_2011,soil_total_n,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,the_dominant_species_include_stipa_krylovii_artemisia_frigida_potentilla_acaulis_cleistogenes_squarrosa_allium_bidentatum_and_agropyron_cristattum,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,NA,NA,NA,NA,0,0,0,NA,NA,0,0,2005,4,30,0,01_07_2005(to_2008),01_08_2005(to_2008),2_4,20,NA,1.53,1.48,g_kg,0.12,0.14,0.06,0.07,4,4,NA
antwerp,p61762,p61762,bi_et_al_2011,swc,duolun,duolun1,duolun1_f,42.03,116.28,1324,2.1,385,grassland,NA,field,natural,the_dominant_species_include_stipa_krylovii_artemisia_frigida_potentilla_acaulis_cleistogenes_squarrosa_allium_bidentatum_and_agropyron_cristattum,NA,NA,NA,f,_100,_0000,NA,NA,0,0,2,12,NA,NA,NA,NA,0,0,0,NA,NA,0,0,2005,4,30,0,01_07_2005(to_2008),01_08_2005(to_2008),2_4,NA,NA,0.13,0.13,g_100g,0.02,0.02,0.01,0.01,4,4,NA
antwerp,p36756,dup201,blanke_et_al_2012,agb,alpflix,alpflix,alpflix_fnp,46.53,9.65,2000,1.1,1300,grassland,NA,NA,NA,festuca_nardus_carex,NA,NA,NA,f,_110,_0000,386,386,0,0,0,5,0,6,0,0,0,0,0,NA,NA,0,0,2006,NA,NA,NA,NA,NA,3,NA,NA,125.887,256.206,g_m2,34.40313359,46.61855758,10.87922608,14.74208232,10,10,08_2008
