Fertilisation,Site,n,SPAD_mean,SPAD_sd,SPAD_se,lma_mean,lma_sd,lma_se,Nmass_mean,Nmass_sd,Nmass_se,Narea_mean,Narea_sd,Narea_se,Pmass_mean,Pmass_sd,Pmass_se,Parea_mean,Parea_sd,Parea_se,leafnp_mean,leafnp_sd,leafnp_se,Vcmax_mean,Vcmax_sd,Vcmax_se,Jmax_mean,Jmax_sd,Jmax_se,Rd_mean,Rd_sd,Rd_se
C,NOU,47,46.63849206,19.1266739,2.789912125,117.4155179,36.98277074,5.39449154,1.562058105,0.534395804,0.077949639,1.748220705,0.574717944,0.083831228,0.051673804,0.016737479,0.002441412,0.056529413,0.014795438,0.002158136,31.45729705,8.194548326,1.195297722,25.774,9.595047225,1.399581482,64.38811364,22.93117475,3.34485561,1.028204545,0.411366446,0.060003963
N,NOU,40,55.29083333,23.64497861,3.738599382,98.49846965,29.09161277,4.599787858,1.554857069,0.422317264,0.066774222,1.490733527,0.518745372,0.082020845,0.053424282,0.014744279,0.002331275,0.050397173,0.016541786,0.002615486,30.1369014,7.037147391,1.112670699,16.88045,7.037863097,1.112783862,44.676775,20.62039903,3.26037136,0.859725,0.397237124,0.062808704
P,NOU,36,54.07685185,25.25119871,4.208533118,132.283863,46.58210248,7.763683747,1.359282422,0.538164006,0.089694001,1.663647944,0.533340258,0.088890043,0.061729275,0.046915699,0.007819283,0.072103613,0.042327304,0.007054551,26.05441929,7.590820883,1.265136814,23.7755,11.22743724,1.87123954,62.29552941,21.74102555,3.623504258,1.156735294,0.380402841,0.063400474
NP,NOU,35,42.07761905,22.72893945,3.841891977,120.5538191,47.15026301,7.969849079,1.545635159,0.464101638,0.078447495,1.758830487,0.580991998,0.098205572,0.070785121,0.046373,0.007838468,0.075822484,0.033798629,0.005713011,25.41816516,8.098146033,1.368836515,24.0655,10.58509102,1.789206942,59.94420588,27.79398108,4.698040273,1.073,0.653262536,0.110421522
C,PAR,41,54.34390244,25.13166488,3.924906647,138.029488,40.13395782,6.267871172,0.984297238,0.321032617,0.050136872,1.309901004,0.45840463,0.071590776,0.046782558,0.020221799,0.003158114,0.059791922,0.018515084,0.00289157,22.25070143,6.227771048,0.972614433,23.32730769,11.67345594,1.823087528,57.19553846,14.26596354,2.227969193,1.259243902,0.430301045,0.067201733
N,PAR,37,70.14774775,35.55252031,5.844798335,121.1158111,37.43195265,6.153775109,1.348540812,0.450683803,0.074091961,1.595711992,0.563407939,0.092623695,0.05019167,0.012902979,0.002121237,0.060288185,0.023959715,0.003938953,28.33844427,10.49583374,1.725504438,23.53689189,12.8306249,2.10934174,60.43297297,25.17029796,4.137971495,1.147675676,0.546078192,0.089774702
P,PAR,41,47.5000813,17.12323195,2.67419955,127.4736457,40.32532384,6.297757524,1.225233841,0.325625989,0.050854236,1.491412984,0.402871282,0.062917924,0.053386774,0.018025949,0.00281518,0.064717249,0.019102656,0.002983334,24.20947347,6.851558469,1.070033661,22.12726829,9.203898019,1.437407378,58.77778049,20.38150772,3.183056734,0.89895122,0.227376884,0.035510303
NP,PAR,37,48.47747748,19.91254654,3.273602485,112.3742602,34.86265096,5.731384512,1.431855466,0.457160492,0.075156722,1.547853541,0.50970421,0.083794856,0.071579413,0.025015315,0.004112492,0.07698796,0.024948692,0.00410154,20.83715864,5.610773495,0.922405481,19.86377143,11.17234095,1.836721538,53.46254286,20.36766903,3.348424162,1.211833333,0.425832127,0.07000637
