variable,group_id,mean,sd,se,n
amax,control,1.51,0.56,0.32,3
amax,n,3.03,0.28,0.16,3
amax,p,2.43,1.03,0.59,3
amax,np,2.7,1.78,1.03,3
iwue,control,3.78,4.06,2.34,3
iwue,n,5.54,1.75,1.01,3
iwue,p,4.21,3.41,1.97,3
iwue,np,3.2,0.83,0.48,3
jmax,control,41.59,13.43,7.75,3
jmax,n,61.32,8.55,4.93,3
jmax,p,44.41,9.77,5.64,3
jmax,np,55.68,2.44,1.41,3
leafNP,control,17.27,1.74,1,3
leafNP,n,21.59,2.44,1.41,3
leafNP,p,14.66,1.74,1,3
leafNP,np,18.38,7.31,4.22,3
lma,control,67.76,2.69,1.55,3
lma,n,63.1,3.58,2.07,3
lma,p,64.14,5.38,3.1,3
lma,np,60.52,2.69,1.55,3
nmass,control,12.3,0.68,0.39,3
nmass,n,14.95,1.19,0.69,3
nmass,p,13.28,0.85,0.49,3
nmass,np,14.95,1.53,0.89,3
pmass,control,0.77,0.14,0.08,3
pmass,n,0.73,0.1,0.06,3
pmass,p,0.94,0.12,0.07,3
pmass,np,0.93,0.19,0.11,3
pnue,control,8.39,3.77,2.17,3
pnue,n,12.73,3.23,1.86,3
pnue,p,11.8,4.3,2.48,3
pnue,np,11.8,9.68,5.59,3
ppue,control,131.25,51.96,30,3
ppue,n,262.5,19.49,11.25,3
ppue,p,168.75,84.44,48.75,3
ppue,np,180,110.42,63.75,3
vcmax,control,25,8.04,4.64,3
vcmax,n,27.5,3.09,1.79,3
vcmax,p,23.93,5.57,3.21,3
vcmax,np,28.57,6.19,3.57,3
