"exp","spp","Treatment","Months.in","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"bloomfield_2014","Guioa lasioneura","P",13,"Jmax25Vcmax25",1.88174548969296,1.54691323423212,0.230753054812965,0.271822968451351,0.103195903315505,0.1215629270606,5,5
"bloomfield_2014","Guioa lasioneura","P",22,"Jmax25Vcmax25",4.95266032649385,1.83992926301258,5.29327622817012,0.232501420496411,2.36722509397442,0.103977796219047,5,5
"bloomfield_2014","Hymenosporum flavum","P",9,"Jmax25Vcmax25",1.89684591445807,1.54436801276081,0.380648583879356,0.180114332589299,0.190324291939678,0.0805495782783356,4,5
"bloomfield_2014","Hymenosporum flavum","P",13,"Jmax25Vcmax25",1.71487994127786,1.56018432543762,0.182602242682832,0.39382379952446,0.0816622054965452,0.176123357378789,5,5
"bloomfield_2014","Hymenosporum flavum","P",22,"Jmax25Vcmax25",1.40027903615506,1.70206289471844,0.168011067512422,0.273510955492749,0.0751368335860165,0.122317817814541,5,5
"bloomfield_2014","Neolitsea dealbata","P",9,"Jmax25Vcmax25",1.67540508136968,1.40684914644942,0.435561124594536,0.140068715663905,0.194788856589928,0.0626406339491161,5,5
"bloomfield_2014","Neolitsea dealbata","P",13,"Jmax25Vcmax25",1.67332923786248,1.27377140976161,0.305549201759322,0.0750878180531956,0.136645757120929,0.0335802930898163,5,5
"bloomfield_2014","Neolitsea dealbata","P",22,"Jmax25Vcmax25",1.83940536921104,1.53465369199773,0.310725547283861,0.245037447906119,0.155362773641931,0.109584078110229,4,5
"bloomfield_2014","Syzygium wilsonii","P",9,"Jmax25Vcmax25",2.0615676350985,1.86839606939964,0.313513267183062,0.171434771190193,0.156756633591531,0.0766679604176787,4,5
"bloomfield_2014","Syzygium wilsonii","P",13,"Jmax25Vcmax25",2.03038044600041,1.78273092705421,0.279496538231653,0.234623214111123,0.124994651792369,0.104926691170392,5,5
"bloomfield_2014","Syzygium wilsonii","P",22,"Jmax25Vcmax25",1.76546426729689,2.20090714641394,0.225210635970244,0.0859010055947044,0.100717258257085,0.0384160975690697,5,5
"bloomfield_2014","Auranticarpa ilicifolium","P",9,"TPU",3.4502374788,3.9714721352,0.606077458479897,0.856968895104844,0.271046079358271,0.383248140811464,5,5
"bloomfield_2014","Auranticarpa ilicifolium","P",13,"TPU",4.2290753472,5.284737129,0.904412687195633,2.66109322794415,0.404465649656538,1.19007707042949,5,5
"bloomfield_2014","Auranticarpa ilicifolium","P",22,"TPU",4.255813667,4.7889133542,0.707315245360312,0.774342178757,0.31632099402952,0.346296349909189,5,5
"bloomfield_2014","Cryptocarya triplinervis","P",9,"TPU",3.2080619242,3.9728465334,0.318349321417264,0.546724697254843,0.142370144655986,0.244502717607964,5,5
"bloomfield_2014","Cryptocarya triplinervis","P",13,"TPU",4.0405877436,5.5647524464,1.78163274227791,1.6985159334577,0.796770384534552,0.759599417615586,5,5
"bloomfield_2014","Cryptocarya triplinervis","P",22,"TPU",3.6035341018,3.6010876312,0.312165752644931,0.567392998635467,0.13960476863229,0.25374586298127,5,5
"bloomfield_2014","Flindersia bourjotiana","P",9,"TPU",2.5098379956,4.4531223786,2.23936523661266,0.711680976551049,1.00147457910316,0.318273408372316,5,5
"bloomfield_2014","Flindersia bourjotiana","P",13,"TPU",5.3717117802,6.4069891602,2.08045023770666,2.21454622871913,0.930405631063539,0.990375181346355,5,5
"bloomfield_2014","Flindersia bourjotiana","P",22,"TPU",4.2739214578,3.8259836382,0.979328495368848,0.544143136001512,0.437969017589466,0.243348208317859,5,5
"bloomfield_2014","Guioa lasioneura","P",9,"TPU",3.6643906848,5.231686816,0.868199985610572,1.06521273366737,0.388270837177916,0.476377616595726,5,5
"bloomfield_2014","Guioa lasioneura","P",13,"TPU",4.9054594196,5.531569007,1.49142067346541,1.35156076620621,0.666983601783435,0.604436349791756,5,5
"bloomfield_2014","Guioa lasioneura","P",22,"TPU",4.7500770996,5.57981169,1.2741521365211,1.021129375027,0.569818158187556,0.45666293927645,5,5
"bloomfield_2014","Hymenosporum flavum","P",9,"TPU",3.0587234005,4.2488535094,0.81999278330183,1.39316117685971,0.409996391650915,0.623040619014384,4,5
"bloomfield_2014","Hymenosporum flavum","P",13,"TPU",7.6118351352,6.9460504084,2.30199409727835,3.21519614713527,1.02948305706353,1.43787942919797,5,5
"bloomfield_2014","Hymenosporum flavum","P",22,"TPU",3.7192929968,4.2961008566,0.635413324280157,0.877414390044232,0.284165477379909,0.392391644115084,5,5
"bloomfield_2014","Neolitsea dealbata","P",9,"TPU",2.956983395,3.9686987242,0.415472491272816,0.526693795240089,0.185804946653441,0.235544625896839,5,5
"bloomfield_2014","Neolitsea dealbata","P",13,"TPU",4.8233161474,5.9114390496,1.68193206858629,2.26541596739475,0.752182887779159,1.01312482008162,5,5
"bloomfield_2014","Neolitsea dealbata","P",22,"TPU",2.32260432875,4.0445464208,0.442416777467907,0.9906975594556,0.221208388733953,0.443053417617172,4,5
"bloomfield_2014","Syzygium wilsonii","P",9,"TPU",2.5183789695,3.3006806222,0.324667148245644,1.14479344999269,0.162333574122822,0.511967194876034,4,5
"bloomfield_2014","Syzygium wilsonii","P",13,"TPU",3.6412442498,4.444312602,0.869039389523902,0.53035093389051,0.388646230020073,0.237180148021935,5,5
"bloomfield_2014","Syzygium wilsonii","P",22,"TPU",3.8756678756,3.9126212912,0.399377513580274,0.711294247405178,0.178607053810068,0.318100457840506,5,5
"bloomfield_2014","Auranticarpa ilicifolium","P",9,"Rd",NA,NA,NA,NA,NA,NA,0,0
"bloomfield_2014","Auranticarpa ilicifolium","P",13,"Rd",NA,NA,NA,NA,NA,NA,0,0
"bloomfield_2014","Auranticarpa ilicifolium","P",22,"Rd",2.226,0.5556,3.93850403072029,0.216410027494107,1.7613525484695,0.0967815064978842,5,5
