citation,site,latitude,longitude,elevation,mat_c,map_mm,ecosystem_type,experiment_type,trait,species,treatment,x_c,sd_c,rep_c
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,ampelocalamus_actinotrichus,control,1.826,0.464,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,calamus_tetradactyloides,control,1.361,0.117,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,cryptocarya_chinensis,control,3.897,0.123,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,gironniera_subaequalis,control,3.421,0.752,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,hancea_hookeriana,control,2.54,0.091,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,nephelium_lappaceum,control,3.082,0.725,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,psychotria_asiatica,control,3.08,0.289,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,asat,rhapis_excelsa,control,1.257,0.418,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,ampelocalamus_actinotrichus,control,0.181,0.025,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,calamus_tetradactyloides,control,0.134,0.045,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,cryptocarya_chinensis,control,0.183,0.046,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,gironniera_subaequalis,control,0.203,0.044,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,hancea_hookeriana,control,0.164,0.026,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,nephelium_lappaceum,control,0.188,0.043,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,psychotria_asiatica,control,0.29,0.057,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_metabolic_p,rhapis_excelsa,control,0.112,0.024,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,ampelocalamus_actinotrichus,control,2.44,1.45,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,calamus_tetradactyloides,control,3.41,1.09,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,cryptocarya_chinensis,control,3.45,0.87,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,gironniera_subaequalis,control,4,0.28,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,hancea_hookeriana,control,2.79,0.33,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,nephelium_lappaceum,control,3.2,0.55,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,psychotria_asiatica,control,2.12,1.13,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_n_mass,rhapis_excelsa,control,3.26,0.81,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,ampelocalamus_actinotrichus,control,48.39,11.41,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,calamus_tetradactyloides,control,53.13,8.31,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,cryptocarya_chinensis,control,67,3.26,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,gironniera_subaequalis,control,71.12,17.7,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,hancea_hookeriana,control,54.73,29.27,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,nephelium_lappaceum,control,50.82,21.96,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,psychotria_asiatica,control,42.06,20.42,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_np,rhapis_excelsa,control,54.51,5.09,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,ampelocalamus_actinotrichus,control,0.381,0.063,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,calamus_tetradactyloides,control,0.347,0.008,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,cryptocarya_chinensis,control,0.22,0.01,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,gironniera_subaequalis,control,0.328,0.031,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,nephelium_lappaceum,control,0.27,0.047,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,psychotria_asiatica,control,0.25,0.02,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_nucleic_p,rhapis_excelsa,control,0.277,0.015,9
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,ampelocalamus_actinotrichus,control,0.05,0.02,3
yu_et_al_2022,primary_fnp,18.73,108.895,870,19.7,2198,forest,field,leaf_p_mass,calamus_tetradactyloides,control,0.06,0.02,3
