Site_name,trt,Tree_species,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
Bombuscaro,N,clarisia_racemosa,agb,0.6645,0.4765,0.216975421,0.228165875,0.108487711,0.114082938,4,4
Bombuscaro,P,clarisia_racemosa,agb,0.6645,0.479,0.216975421,0.202875988,0.108487711,0.101437994,4,4
Bombuscaro,NP,clarisia_racemosa,agb,0.6645,0.3545,0.216975421,0.127617919,0.108487711,0.06380896,4,4
Bombuscaro,N,pouteria_torta,agb,1.007,1.215111111,0.379503184,0.588918532,0.189751592,0.340012273,4,3
Bombuscaro,P,pouteria_torta,agb,1.007,1.7805,0.379503184,0.861481476,0.189751592,0.430740738,4,4
Bombuscaro,NP,pouteria_torta,agb,1.007,1.527166667,0.379503184,1.193820059,0.189751592,0.59691003,4,4
Bombuscaro,N,clarisia_racemosa,bgb,0.601625,0.384,0.132195168,0.200046661,0.066097584,0.100023331,4,4
Bombuscaro,P,clarisia_racemosa,bgb,0.601625,0.468625,0.132195168,0.27856339,0.066097584,0.139281695,4,4
Bombuscaro,NP,clarisia_racemosa,bgb,0.601625,0.298916667,0.132195168,0.187383816,0.066097584,0.093691908,4,4
Bombuscaro,N,pouteria_torta,bgb,0.7545,1.113,0.323527948,0.934808537,0.161763974,0.53971196,4,3
Bombuscaro,P,pouteria_torta,bgb,0.7545,1.339,0.323527948,1.236500977,0.161763974,0.618250489,4,4
Bombuscaro,NP,pouteria_torta,bgb,0.7545,0.912083333,0.323527948,0.553193983,0.161763974,0.276596992,4,4
Bombuscaro,N,clarisia_racemosa,rootshoot,0.824813194,1.03733099,0.116194038,0.546945935,0.058097019,0.273472967,4,4
Bombuscaro,P,clarisia_racemosa,rootshoot,0.824813194,1.131453446,0.116194038,0.392258582,0.058097019,0.196129291,4,4
Bombuscaro,NP,clarisia_racemosa,rootshoot,0.824813194,0.825641847,0.116194038,0.106102961,0.058097019,0.053051481,4,4
Bombuscaro,N,pouteria_torta,rootshoot,0.862194024,0.925874172,0.258283236,0.545293604,0.129141618,0.314825409,4,3
Bombuscaro,P,pouteria_torta,rootshoot,0.862194024,0.593842262,0.258283236,0.213776308,0.129141618,0.106888154,4,4
Bombuscaro,NP,pouteria_torta,rootshoot,0.862194024,0.69927888,0.258283236,0.111948123,0.129141618,0.055974062,4,4
Bombuscaro,N,clarisia_racemosa,rmf,0.441860843,0.457564427,0.035580651,0.075335405,0.017790325,0.037667702,4,4
Bombuscaro,P,clarisia_racemosa,rmf,0.441860843,0.491232422,0.035580651,0.075130203,0.017790325,0.037565101,4,4
Bombuscaro,NP,clarisia_racemosa,rmf,0.441860843,0.438342967,0.035580651,0.032044902,0.017790325,0.016022451,4,4
Bombuscaro,N,pouteria_torta,rmf,0.432761682,0.418330094,0.072134075,0.07875338,0.036067037,0.045468285,4,3
Bombuscaro,P,pouteria_torta,rmf,0.432761682,0.351794126,0.072134075,0.089215717,0.036067037,0.044607859,4,4
Bombuscaro,NP,pouteria_torta,rmf,0.432761682,0.400348919,0.072134075,0.03777281,0.036067037,0.018886405,4,4
Bombuscaro,N,clarisia_racemosa,sla,267.01775,279.2945,35.49317082,70.64702754,17.74658541,35.32351377,4,4
Bombuscaro,P,clarisia_racemosa,sla,267.01775,263.494,35.49317082,22.41049129,17.74658541,11.20524565,4,4
Bombuscaro,NP,clarisia_racemosa,sla,267.01775,319.893,35.49317082,51.03788764,17.74658541,25.51894382,4,4
Bombuscaro,N,pouteria_torta,sla,247.692,222.0000556,31.20890659,7.582889402,15.6044533,4.377983237,4,3
Bombuscaro,P,pouteria_torta,sla,247.692,207.807,31.20890659,14.96769762,15.6044533,7.483848809,4,4
Bombuscaro,NP,pouteria_torta,sla,247.692,235.4068333,31.20890659,27.56189095,15.6044533,13.78094548,4,4
Bombuscaro,N,clarisia_racemosa,lma,39.20867635,40.20623361,5.745456047,10.88658878,2.872728023,5.443294388,4,4
Bombuscaro,P,clarisia_racemosa,lma,39.20867635,38.80704419,5.745456047,3.03313632,2.872728023,1.51656816,4,4
Bombuscaro,NP,clarisia_racemosa,lma,39.20867635,34.13024294,5.745456047,6.611113152,2.872728023,3.305556576,4,4
Bombuscaro,N,pouteria_torta,lma,42.35061564,45.4613228,4.481302452,1.210272648,2.240651226,0.698751239,4,3
Bombuscaro,P,pouteria_torta,lma,42.35061564,50.774315,4.481302452,5.421338089,2.240651226,2.710669045,4,4
Bombuscaro,NP,pouteria_torta,lma,42.35061564,44.90711912,4.481302452,1.618624458,2.240651226,0.809312229,4,4
Bombuscaro,N,clarisia_racemosa,nmass,27.4285845,30.185228,2.532667086,2.472837452,1.266333543,1.236418726,4,4
Bombuscaro,P,clarisia_racemosa,nmass,27.4285845,27.04128067,2.532667086,3.328826613,1.266333543,1.664413307,4,4
Bombuscaro,NP,clarisia_racemosa,nmass,27.4285845,32.00634638,2.532667086,2.440101662,1.266333543,1.220050831,4,4
Bombuscaro,N,pouteria_torta,nmass,19.9269805,20.378115,1.495592515,1.247016402,0.747796258,0.719965256,4,3
Bombuscaro,P,pouteria_torta,nmass,19.9269805,20.80359,1.495592515,1.617886614,0.747796258,0.808943307,4,4
Bombuscaro,NP,pouteria_torta,nmass,19.9269805,20.79369783,1.495592515,1.478760286,0.747796258,0.739380143,4,4
Bombuscaro,N,clarisia_racemosa,narea,1.046192647,1.177071123,0.062020633,0.260994224,0.031010316,0.130497112,4,4
Bombuscaro,P,clarisia_racemosa,narea,1.046192647,1.056062375,0.062020633,0.081743045,0.031010316,0.040871522,4,4
Bombuscaro,NP,clarisia_racemosa,narea,1.046192647,1.097263543,0.062020633,0.209459715,0.031010316,0.104729858,4,4
Bombuscaro,N,pouteria_torta,narea,0.830493688,0.929089065,0.064849785,0.036547454,0.032424892,0.021100683,4,3
Bombuscaro,P,pouteria_torta,narea,0.830493688,1.078005747,0.064849785,0.194466929,0.032424892,0.097233465,4,4
