"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"secondary","ppue","cryptocarya_chinensis","p",39.826,24.913,6.697,8.806,2.232,2.935,9,9
"secondary","ppue","cryptocarya_chinensis","np",39.826,96.512,6.697,29.084,2.232,9.695,9,9
"secondary","ppue","psychotria_asiatica","n",47.837,79.647,5.056,13.922,1.685,4.641,9,9
"secondary","ppue","psychotria_asiatica","p",47.837,47.997,5.056,14.029,1.685,4.676,9,9
"secondary","ppue","psychotria_asiatica","np",47.837,125.962,5.056,16.825,1.685,5.608,9,9
"secondary","ppue","nephelium_lappaceum","n",37.059,59.669,31.674,2.725,10.558,0.908,9,9
"secondary","ppue","nephelium_lappaceum","p",37.059,36.066,31.674,5.449,10.558,1.816,9,9
"secondary","ppue","nephelium_lappaceum","np",37.059,97.5,31.674,0.829,10.558,0.276,9,9
"secondary","ppue","ampelocalamus_actinotrichus","n",8.065,32.173,1.509,14.704,0.503,4.901,9,9
"secondary","ppue","ampelocalamus_actinotrichus","p",8.065,16.324,1.509,5.185,0.503,1.728,9,9
"secondary","ppue","ampelocalamus_actinotrichus","np",8.065,19.449,1.509,10.308,0.503,3.436,9,9
"secondary","ppue","rhapis_excelsa","n",21.92,29.6,1.482,4.726,0.494,1.575,9,9
"secondary","ppue","rhapis_excelsa","p",21.92,12.28,1.482,3.899,0.494,1.3,9,9
"secondary","ppue","rhapis_excelsa","np",21.92,55.8,1.482,11.31,0.494,3.77,9,9
"secondary","structuralP","blastus_cochinchinensis","n",0.305,0.314,0.03,0.009,0.01,0.003,9,9
"secondary","structuralP","blastus_cochinchinensis","p",0.305,0.188,0.03,0.061,0.01,0.02,9,9
"secondary","structuralP","blastus_cochinchinensis","np",0.305,0.313,0.03,0.018,0.01,0.006,9,9
"secondary","structuralP","gironniera_subaequalis","n",0.319,0.201,0.042,0.07,0.014,0.023,9,9
"secondary","structuralP","gironniera_subaequalis","p",0.319,0.297,0.042,0.036,0.014,0.012,9,9
"secondary","structuralP","gironniera_subaequalis","np",0.319,0.334,0.042,0.032,0.014,0.011,9,9
"secondary","structuralP","calamus_tetradactyloides","n",0.316,0.36,0.025,0.017,0.008,0.006,9,9
"secondary","structuralP","calamus_tetradactyloides","p",0.316,0.334,0.025,0.013,0.008,0.004,9,9
"secondary","structuralP","calamus_tetradactyloides","np",0.316,0.361,0.025,0.039,0.008,0.013,9,9
"secondary","structuralP","cryptocarya_chinensis","n",0.442,0.485,0.067,0.011,0.022,0.004,9,9
"secondary","structuralP","cryptocarya_chinensis","p",0.442,0.421,0.067,0.007,0.022,0.002,9,9
"secondary","structuralP","cryptocarya_chinensis","np",0.442,0.437,0.067,0.101,0.022,0.034,9,9
"secondary","structuralP","psychotria_asiatica","n",0.323,0.303,0.019,0.043,0.006,0.014,9,9
"secondary","structuralP","psychotria_asiatica","p",0.323,0.261,0.019,0.037,0.006,0.012,9,9
"secondary","structuralP","psychotria_asiatica","np",0.323,0.271,0.019,0.042,0.006,0.014,9,9
"secondary","structuralP","nephelium_lappaceum","n",0.418,0.395,0.078,0.113,0.026,0.038,9,9
"secondary","structuralP","nephelium_lappaceum","p",0.418,0.413,0.078,0.019,0.026,0.006,9,9
"secondary","structuralP","nephelium_lappaceum","np",0.418,0.408,0.078,0.054,0.026,0.018,9,9
"secondary","structuralP","ampelocalamus_actinotrichus","n",0.326,0.352,0.046,0.086,0.015,0.029,9,9
"secondary","structuralP","ampelocalamus_actinotrichus","p",0.326,0.354,0.046,0.08,0.015,0.027,9,9
"secondary","structuralP","ampelocalamus_actinotrichus","np",0.326,0.296,0.046,0.014,0.015,0.005,9,9
"secondary","structuralP","rhapis_excelsa","n",0.357,0.414,0.066,0.028,0.022,0.009,9,9
"secondary","structuralP","rhapis_excelsa","p",0.357,0.446,0.066,0.083,0.022,0.028,9,9
"secondary","structuralP","rhapis_excelsa","np",0.357,0.369,0.066,0.012,0.022,0.004,9,9
"secondary","metabolicP","blastus_cochinchinensis","n",0.32,0.393,0.015,0.047,0.005,0.016,9,9
"secondary","metabolicP","blastus_cochinchinensis","p",0.32,0.469,0.015,0.05,0.005,0.017,9,9
"secondary","metabolicP","blastus_cochinchinensis","np",0.32,0.4,0.015,0.045,0.005,0.015,9,9
"secondary","metabolicP","gironniera_subaequalis","n",0.201,0.355,0.034,0.076,0.011,0.025,9,9
"secondary","metabolicP","gironniera_subaequalis","p",0.201,0.288,0.034,0.036,0.011,0.012,9,9
"secondary","metabolicP","gironniera_subaequalis","np",0.201,0.277,0.034,0.059,0.011,0.02,9,9
"secondary","metabolicP","calamus_tetradactyloides","n",0.129,0.173,0.066,0.058,0.022,0.019,9,9
"secondary","metabolicP","calamus_tetradactyloides","p",0.129,0.259,0.066,0.052,0.022,0.017,9,9
"secondary","metabolicP","calamus_tetradactyloides","np",0.129,0.253,0.066,0.079,0.022,0.026,9,9
"secondary","metabolicP","cryptocarya_chinensis","n",0.177,0.174,0.057,0.02,0.019,0.007,9,9
"secondary","metabolicP","cryptocarya_chinensis","p",0.177,0.272,0.057,0.06,0.019,0.02,9,9
"secondary","metabolicP","cryptocarya_chinensis","np",0.177,0.236,0.057,0.055,0.019,0.018,9,9
"secondary","metabolicP","psychotria_asiatica","n",0.267,0.371,0.038,0.124,0.013,0.041,9,9
"secondary","metabolicP","psychotria_asiatica","p",0.267,0.383,0.038,0.02,0.013,0.007,9,9
"secondary","metabolicP","psychotria_asiatica","np",0.267,0.359,0.038,0.018,0.013,0.006,9,9
"secondary","metabolicP","nephelium_lappaceum","n",0.182,0.238,0.053,0.128,0.018,0.043,9,9
"secondary","metabolicP","nephelium_lappaceum","p",0.182,0.233,0.053,0.036,0.018,0.012,9,9
"secondary","metabolicP","nephelium_lappaceum","np",0.182,0.243,0.053,0.078,0.018,0.026,9,9
"secondary","metabolicP","ampelocalamus_actinotrichus","n",0.193,0.219,0.062,0.068,0.021,0.023,9,9
"secondary","metabolicP","ampelocalamus_actinotrichus","p",0.193,0.269,0.062,0.038,0.021,0.013,9,9
"secondary","metabolicP","ampelocalamus_actinotrichus","np",0.193,0.278,0.062,0.047,0.021,0.016,9,9
"secondary","metabolicP","rhapis_excelsa","n",0.18,0.179,0.042,0.036,0.014,0.012,9,9
"secondary","metabolicP","rhapis_excelsa","p",0.18,0.238,0.042,0.018,0.014,0.006,9,9
"secondary","metabolicP","rhapis_excelsa","np",0.18,0.227,0.042,0.027,0.014,0.009,9,9
"secondary","nucleicP","blastus_cochinchinensis","n",0.294,0.264,0.009,0.027,0.003,0.009,9,9
"secondary","nucleicP","blastus_cochinchinensis","p",0.294,0.298,0.009,0.01,0.003,0.003,9,9
"secondary","nucleicP","blastus_cochinchinensis","np",0.294,0.257,0.009,0.027,0.003,0.009,9,9
"secondary","nucleicP","gironniera_subaequalis","n",0.343,0.303,0.01,0.086,0.003,0.029,9,9
"secondary","nucleicP","gironniera_subaequalis","p",0.343,0.308,0.01,0.009,0.003,0.003,9,9
"secondary","nucleicP","gironniera_subaequalis","np",0.343,0.296,0.01,0.023,0.003,0.008,9,9
"secondary","nucleicP","calamus_tetradactyloides","n",0.319,0.319,0.059,0.033,0.02,0.011,9,9
"secondary","nucleicP","calamus_tetradactyloides","p",0.319,0.308,0.059,0.042,0.02,0.014,9,9
"secondary","nucleicP","calamus_tetradactyloides","np",0.319,0.281,0.059,0.027,0.02,0.009,9,9
"secondary","nucleicP","cryptocarya_chinensis","n",0.242,0.237,0.025,0.014,0.008,0.005,9,9
"secondary","nucleicP","cryptocarya_chinensis","p",0.242,0.229,0.025,0.033,0.008,0.011,9,9
"secondary","nucleicP","cryptocarya_chinensis","np",0.242,0.222,0.025,0.031,0.008,0.01,9,9
"secondary","nucleicP","psychotria_asiatica","n",0.284,0.224,0.015,0.05,0.005,0.017,9,9
"secondary","nucleicP","psychotria_asiatica","p",0.284,0.253,0.015,0.042,0.005,0.014,9,9
"secondary","nucleicP","psychotria_asiatica","np",0.284,0.282,0.015,0.026,0.005,0.009,9,9
"secondary","nucleicP","nephelium_lappaceum","n",0.263,0.259,0.043,0.018,0.014,0.006,9,9
"secondary","nucleicP","nephelium_lappaceum","p",0.263,0.252,0.043,0.037,0.014,0.012,9,9
"secondary","nucleicP","nephelium_lappaceum","np",0.263,0.254,0.043,0.045,0.014,0.015,9,9
"secondary","nucleicP","ampelocalamus_actinotrichus","n",0.376,0.33,0.021,0.03,0.007,0.01,9,9
"secondary","nucleicP","ampelocalamus_actinotrichus","p",0.376,0.315,0.021,0.045,0.007,0.015,9,9
"secondary","nucleicP","ampelocalamus_actinotrichus","np",0.376,0.368,0.021,0.027,0.007,0.009,9,9
"secondary","nucleicP","rhapis_excelsa","n",0.309,0.27,0.017,0.009,0.006,0.003,9,9
"secondary","nucleicP","rhapis_excelsa","p",0.309,0.243,0.017,0.076,0.006,0.025,9,9
"secondary","nucleicP","rhapis_excelsa","np",0.309,0.274,0.017,0.023,0.006,0.008,9,9
"secondary","residualP","blastus_cochinchinensis","n",0.093,0.06,0.025,0,0.008,0,9,9
"secondary","residualP","blastus_cochinchinensis","p",0.093,0.06,0.025,0.003,0.008,0.001,9,9
"secondary","residualP","blastus_cochinchinensis","np",0.093,0.059,0.025,0.01,0.008,0.003,9,9
"secondary","residualP","gironniera_subaequalis","n",0.139,0.124,0.019,0.028,0.006,0.009,9,9
"secondary","residualP","gironniera_subaequalis","p",0.139,0.11,0.019,0.01,0.006,0.003,9,9
"secondary","residualP","gironniera_subaequalis","np",0.139,0.1,0.019,0.007,0.006,0.002,9,9
"secondary","residualP","calamus_tetradactyloides","n",0.22,0.149,0.072,0.007,0.024,0.002,9,9
"secondary","residualP","calamus_tetradactyloides","p",0.22,0.107,0.072,0.014,0.024,0.005,9,9
"secondary","residualP","calamus_tetradactyloides","np",0.22,0.103,0.072,0.018,0.024,0.006,9,9
"secondary","residualP","cryptocarya_chinensis","n",0.116,0.111,0.027,0.008,0.009,0.003,9,9
"secondary","residualP","cryptocarya_chinensis","p",0.116,0.083,0.027,0.023,0.009,0.008,9,9
"secondary","residualP","cryptocarya_chinensis","np",0.116,0.106,0.027,0.015,0.009,0.005,9,9
"secondary","residualP","psychotria_asiatica","n",0.123,0.103,0.009,0.036,0.003,0.012,9,9
"secondary","residualP","psychotria_asiatica","p",0.123,0.094,0.009,0.013,0.003,0.004,9,9
"secondary","residualP","psychotria_asiatica","np",0.123,0.099,0.009,0.015,0.003,0.005,9,9
"secondary","residualP","nephelium_lappaceum","n",0.113,0.103,0.018,0.012,0.006,0.004,9,9
"secondary","residualP","nephelium_lappaceum","p",0.113,0.101,0.018,0.008,0.006,0.003,9,9
"secondary","residualP","nephelium_lappaceum","np",0.113,0.087,0.018,0.023,0.006,0.008,9,9
"secondary","residualP","ampelocalamus_actinotrichus","n",0.113,0.074,0.006,0.024,0.002,0.008,9,9
"secondary","residualP","ampelocalamus_actinotrichus","p",0.113,0.058,0.006,0.009,0.002,0.003,9,9
"secondary","residualP","ampelocalamus_actinotrichus","np",0.113,0.07,0.006,0.023,0.002,0.008,9,9
"secondary","residualP","rhapis_excelsa","n",0.148,0.139,0.022,0.011,0.007,0.004,9,9
"secondary","residualP","rhapis_excelsa","p",0.148,0.07,0.022,0.004,0.007,0.001,9,9
"secondary","residualP","rhapis_excelsa","np",0.148,0.133,0.022,0.016,0.007,0.005,9,9
