"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"primary","pnue","calamus_tetradactyloides","np",0.399,0.354,0.026,0.048,0.009,0.016,9,9
"primary","pnue","cryptocarya_chinensis","n",1.155,1.216,0.096,0.102,0.032,0.034,9,9
"primary","pnue","cryptocarya_chinensis","p",1.155,0.891,0.096,0.082,0.032,0.027,9,9
"primary","pnue","cryptocarya_chinensis","np",1.155,1.109,0.096,0.278,0.032,0.093,9,9
"primary","pnue","psychotria_asiatica","n",1.618,1.614,0.374,0.231,0.125,0.077,9,9
"primary","pnue","psychotria_asiatica","p",1.618,1.452,0.374,0.121,0.125,0.04,9,9
"primary","pnue","psychotria_asiatica","np",1.618,1.289,0.374,0.115,0.125,0.038,9,9
"primary","pnue","nephelium_lappaceum","n",0.945,1.343,0.175,0.355,0.058,0.118,9,9
"primary","pnue","nephelium_lappaceum","p",0.945,0.759,0.175,0.354,0.058,0.118,9,9
"primary","pnue","nephelium_lappaceum","np",0.945,0.44,0.175,0.319,0.058,0.106,9,9
"primary","pnue","ampelocalamus_actinotrichus","n",0.808,0.242,0.192,0.179,0.064,0.06,9,9
"primary","pnue","ampelocalamus_actinotrichus","p",0.808,0.866,0.192,0.065,0.064,0.022,9,9
"primary","pnue","ampelocalamus_actinotrichus","np",0.808,0.431,0.192,0.24,0.064,0.08,9,9
"primary","pnue","rhapis_excelsa","n",0.406,0.501,0.155,0.103,0.052,0.034,9,9
"primary","pnue","rhapis_excelsa","p",0.406,0.446,0.155,0.021,0.052,0.007,9,9
"primary","pnue","rhapis_excelsa","np",0.406,0.162,0.155,0.012,0.052,0.004,9,9
"primary","ppue","hancea_hookeriana","n",49.866,15.357,15.26,3.86,5.087,1.287,9,9
"primary","ppue","hancea_hookeriana","p",49.866,16.25,15.26,3.308,5.087,1.103,9,9
"primary","ppue","hancea_hookeriana","np",49.866,4.509,15.26,1.87,5.087,0.623,9,9
"primary","ppue","gironniera_subaequalis","n",63.842,55.282,13.084,8.935,4.361,2.978,9,9
"primary","ppue","gironniera_subaequalis","p",63.842,45.113,13.084,5.295,4.361,1.765,9,9
"primary","ppue","gironniera_subaequalis","np",63.842,44.124,13.084,12.66,4.361,4.22,9,9
"primary","ppue","calamus_tetradactyloides","n",21.192,18.935,1.986,1.175,0.662,0.392,9,9
"primary","ppue","calamus_tetradactyloides","p",21.192,18.796,1.986,3.472,0.662,1.157,9,9
"primary","ppue","calamus_tetradactyloides","np",21.192,12.164,1.986,3.558,0.662,1.186,9,9
"primary","ppue","cryptocarya_chinensis","n",76.615,83.882,6.617,11.383,2.206,3.794,9,9
"primary","ppue","cryptocarya_chinensis","p",76.615,47.686,6.617,7.293,2.206,2.431,9,9
"primary","ppue","cryptocarya_chinensis","np",76.615,59.845,6.617,17.588,2.206,5.863,9,9
"primary","ppue","psychotria_asiatica","n",61.367,66.974,7.622,13.156,2.541,4.385,9,9
"primary","ppue","psychotria_asiatica","p",61.367,40.129,7.622,9.195,2.541,3.065,9,9
"primary","ppue","psychotria_asiatica","np",61.367,46.963,7.622,5.627,2.541,1.876,9,9
"primary","ppue","nephelium_lappaceum","n",48.978,60.787,17.491,19.628,5.83,6.543,9,9
"primary","ppue","nephelium_lappaceum","p",48.978,34.62,17.491,14.721,5.83,4.907,9,9
"primary","ppue","nephelium_lappaceum","np",48.978,17.838,17.491,13.019,5.83,4.34,9,9
"primary","ppue","ampelocalamus_actinotrichus","n",38.683,14.936,5.199,9.047,1.733,3.016,9,9
"primary","ppue","ampelocalamus_actinotrichus","p",38.683,26.019,5.199,9.552,1.733,3.184,9,9
"primary","ppue","ampelocalamus_actinotrichus","np",38.683,17.484,5.199,9.552,1.733,3.184,9,9
"primary","ppue","rhapis_excelsa","n",21.786,29.452,7.53,5.729,2.51,1.91,9,9
"primary","ppue","rhapis_excelsa","p",21.786,18.682,7.53,1.548,2.51,0.516,9,9
"primary","ppue","rhapis_excelsa","np",21.786,8.892,7.53,0.521,2.51,0.174,9,9
"primary","structuralP","hancea_hookeriana","n",0.381,0.385,0.059,0,0.02,0,9,9
"primary","structuralP","hancea_hookeriana","p",0.381,0.401,0.059,0.069,0.02,0.023,9,9
"primary","structuralP","hancea_hookeriana","np",0.381,0.45,0.059,0.04,0.02,0.013,9,9
"primary","structuralP","gironniera_subaequalis","n",0.351,0.332,0.03,0.032,0.01,0.011,9,9
