"variable","spp","nut_add","mean","sd","se","n"
"sla","cConcinna","control",71.429,12.99,7.5,3
"sla","cConcinna","n",64.777,18.403,10.625,3
"sla","cConcinna","p",69.869,16.238,9.375,3
"sla","cConcinna","np",61.776,20.568,11.875,3
"sla","rCanthioides","control",61.069,4.33,2.5,3
"sla","rCanthioides","n",50.633,30.311,17.5,3
"sla","rCanthioides","p",55.556,23.816,13.75,3
"sla","rCanthioides","np",44.693,7.578,4.375,3
"leaf_n_mass","cConcinna","control",10.5,0.928,0.536,3
"leaf_n_mass","cConcinna","n",11.443,0.334,0.193,3
"leaf_n_mass","cConcinna","p",9.964,0.445,0.257,3
"leaf_n_mass","cConcinna","np",11.764,0.928,0.536,3
"leaf_n_mass","rCanthioides","control",9.964,0.371,0.214,3
"leaf_n_mass","rCanthioides","n",11.936,0.631,0.364,3
"leaf_n_mass","rCanthioides","p",9.171,0.26,0.15,3
"leaf_n_mass","rCanthioides","np",10.414,0.557,0.321,3
"leaf_p_mass","cConcinna","control",0.9,0.071,0.041,3
"leaf_p_mass","cConcinna","n",0.679,0.058,0.033,3
"leaf_p_mass","cConcinna","p",0.962,0.053,0.031,3
"leaf_p_mass","cConcinna","np",0.872,0.089,0.051,3
"leaf_p_mass","rCanthioides","control",0.69,0.022,0.013,3
"leaf_p_mass","rCanthioides","n",0.851,0.089,0.051,3
"leaf_p_mass","rCanthioides","p",0.962,0.031,0.018,3
"leaf_p_mass","rCanthioides","np",1.113,0.036,0.021,3
"leaf_np","cConcinna","control",12.539,1.185,0.684,3
"leaf_np","cConcinna","n",17.016,1.723,0.995,3
"leaf_np","cConcinna","p",10.611,0.862,0.497,3
"leaf_np","cConcinna","np",11.233,0.754,0.435,3
"leaf_np","rCanthioides","control",14.342,0.215,0.124,3
"leaf_np","rCanthioides","n",14.902,2.046,1.181,3
"leaf_np","rCanthioides","p",9.554,0.538,0.311,3
"leaf_np","rCanthioides","np",9.741,1.508,0.87,3
"asat","cConcinna","control",2.144,0.043,0.025,3
"asat","cConcinna","n",2.753,0.348,0.201,3
"asat","cConcinna","p",2.891,0.272,0.157,3
"asat","cConcinna","np",2.835,0.272,0.157,3
"asat","rCanthioides","control",2.584,0.38,0.22,3
"asat","rCanthioides","n",2.715,0.37,0.213,3
"asat","rCanthioides","p",3.098,0.304,0.176,3
"asat","rCanthioides","np",2.54,0.152,0.088,3
"gs","cConcinna","control",0.151,0.075,0.043,3
"gs","cConcinna","n",0.177,0.078,0.045,3
"gs","cConcinna","p",0.294,0.062,0.036,3
"gs","cConcinna","np",0.333,0.131,0.076,3
"gs","rCanthioides","control",0.265,0.034,0.02,3
"gs","rCanthioides","n",0.243,0.028,0.016,3
"gs","rCanthioides","p",0.314,0.028,0.016,3
"gs","rCanthioides","np",0.2,0.019,0.011,3
"leaf_pnue","cConcinna","control",4.699,1.068,0.616,3
"leaf_pnue","cConcinna","n",4.863,0.498,0.288,3
"leaf_pnue","cConcinna","p",6.384,1.566,0.904,3
"leaf_pnue","cConcinna","np",4.904,0.925,0.534,3
"leaf_pnue","rCanthioides","control",6.301,0.925,0.534,3
"leaf_pnue","rCanthioides","n",4.575,0.925,0.534,3
"leaf_pnue","rCanthioides","p",9.425,0.854,0.493,3
"leaf_pnue","rCanthioides","np",5.603,0.569,0.329,3
"leaf_ppue","cConcinna","control",53.913,4.518,2.609,3
"leaf_ppue","cConcinna","n",104.783,21.086,12.174,3
"leaf_ppue","cConcinna","p",59.13,15.061,8.696,3
"leaf_ppue","cConcinna","np",74.348,10.543,6.087,3
"leaf_ppue","rCanthioides","control",92.609,12.802,7.391,3
"leaf_ppue","rCanthioides","n",89.13,30.123,17.391,3
"leaf_ppue","rCanthioides","p",71.304,7.531,4.348,3
"leaf_ppue","rCanthioides","np",48.696,3.012,1.739,3
