Spname,Treatment,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
clerodendrum_cyrtophyllum,N,anet,7.020,9.016,4.729,3.873,2.730,1.732,3,5
clerodendrum_cyrtophyllum,P,anet,7.020,12.031,4.729,3.467,2.730,1.551,3,5
clerodendrum_cyrtophyllum,NP,anet,7.020,5.047,4.729,3.762,2.730,1.683,3,5
psychotria_rubra,N,anet,3.408,4.645,2.441,1.633,0.923,0.667,7,6
psychotria_rubra,P,anet,3.408,5.327,2.441,2.991,0.923,1.221,7,6
psychotria_rubra,NP,anet,3.408,5.388,2.441,4.620,0.923,1.746,7,7
syzygium_bullockii,N,anet,9.476,7.974,2.129,4.625,0.805,2.068,7,5
syzygium_bullockii,P,anet,9.476,9.931,2.129,5.659,0.805,2.531,7,5
syzygium_bullockii,NP,anet,9.476,9.895,2.129,5.369,0.805,2.401,7,5
schefflera_octophylla,N,anet,12.355,8.592,5.531,2.984,2.473,1.492,5,4
schefflera_octophylla,P,anet,12.355,3.580,5.531,1.808,2.473,0.809,5,5
schefflera_octophylla,NP,anet,12.355,8.432,5.531,3.824,2.473,1.912,5,4
uvaria_microcarpa,N,anet,10.632,7.496,4.907,1.965,2.833,0.879,3,5
uvaria_microcarpa,P,anet,10.632,9.067,4.907,2.126,2.833,1.063,3,4
uvaria_microcarpa,NP,anet,10.632,11.528,4.907,1.826,2.833,0.913,3,4
clerodendrum_cyrtophyllum,N,lma,40.143,38.817,8.756,7.154,5.055,3.199,3,5
clerodendrum_cyrtophyllum,P,lma,40.143,29.398,8.756,4.900,5.055,2.191,3,5
clerodendrum_cyrtophyllum,NP,lma,40.143,27.995,8.756,6.105,5.055,2.730,3,5
psychotria_rubra,N,lma,65.682,64.041,8.413,6.310,3.180,2.576,7,6
psychotria_rubra,P,lma,65.682,57.229,8.413,12.892,3.180,5.263,7,6
psychotria_rubra,NP,lma,65.682,66.004,8.413,8.662,3.180,3.274,7,7
syzygium_bullockii,N,lma,70.715,74.774,7.752,8.064,2.930,3.606,7,5
syzygium_bullockii,P,lma,70.715,75.487,7.752,9.676,2.930,4.327,7,5
syzygium_bullockii,NP,lma,70.715,69.186,7.752,5.412,2.930,2.420,7,5
schefflera_octophylla,N,lma,58.944,65.063,10.752,10.553,4.809,5.276,5,4
schefflera_octophylla,P,lma,58.944,50.176,10.752,9.905,4.809,4.044,5,6
schefflera_octophylla,NP,lma,58.944,46.737,10.752,11.773,4.809,5.887,5,4
uvaria_microcarpa,N,lma,71.053,70.687,7.197,13.375,4.155,5.982,3,5
uvaria_microcarpa,P,lma,71.053,71.880,7.197,11.656,4.155,5.828,3,4
uvaria_microcarpa,NP,lma,71.053,65.628,7.197,7.896,4.155,3.948,3,4
clerodendrum_cyrtophyllum,N,leaf_n_mass,37.366,40.488,4.844,4.741,2.797,2.120,3,5
clerodendrum_cyrtophyllum,P,leaf_n_mass,37.366,39.437,4.844,5.131,2.797,2.295,3,5
clerodendrum_cyrtophyllum,NP,leaf_n_mass,37.366,49.019,4.844,4.424,2.797,1.978,3,5
psychotria_rubra,N,leaf_n_mass,21.293,23.599,2.551,2.626,0.964,1.072,7,6
psychotria_rubra,P,leaf_n_mass,21.293,22.850,2.551,2.179,0.964,0.890,7,6
psychotria_rubra,NP,leaf_n_mass,21.293,21.172,2.551,2.277,0.964,0.861,7,7
syzygium_bullockii,N,leaf_n_mass,14.201,15.184,0.846,0.804,0.320,0.359,7,5
syzygium_bullockii,P,leaf_n_mass,14.201,14.714,0.846,0.973,0.320,0.435,7,5
