Site,Treatment,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
cdcr.us,NP,Nmass,0.014306818,0.023508,0.005035771,0.00833831,0.00107363,0.001864503,22,20
churn.us,N,Nmass,0.01526375,0.023358125,0.004174645,0.007402737,0.001043661,0.001850684,16,16
churn.us,P,Nmass,0.01526375,0.014681875,0.004174645,0.004159146,0.001043661,0.001039787,16,16
churn.us,NP,Nmass,0.01526375,0.021268824,0.004174645,0.007366024,0.001043661,0.001786523,16,17
kbs.us,N,Nmass,0.019846667,0.023728,0.003982181,0.006337696,0.001028195,0.002004156,15,10
kbs.us,P,Nmass,0.019846667,0.02138,0.003982181,0.007512075,0.001028195,0.001878019,15,16
kbs.us,NP,Nmass,0.019846667,0.023198235,0.003982181,0.004792017,0.001028195,0.001162235,15,17
konz.us,N,Nmass,0.013960909,0.024377826,0.005919224,0.009460512,0.001261983,0.001972653,22,23
konz.us,P,Nmass,0.013960909,0.013123846,0.005919224,0.004669458,0.001261983,0.001295075,22,13
konz.us,NP,Nmass,0.013960909,0.019930769,0.005919224,0.006606224,0.001261983,0.001295587,22,26
spin.us,N,Nmass,0.025046,0.033681538,0.010401768,0.010870643,0.002080354,0.003014974,25,13
spin.us,P,Nmass,0.025046,0.035674706,0.010401768,0.010300224,0.002080354,0.002498171,25,17
spin.us,NP,Nmass,0.025046,0.034438182,0.010401768,0.008095479,0.002080354,0.001725962,25,22
cbgb.us,N,Pmass,0.00173875,0.001425385,0.000735916,0.000307507,0.000183979,8.53E-05,16,13
cbgb.us,P,Pmass,0.00173875,0.002105714,0.000735916,0.000842147,0.000183979,0.000225073,16,14
cbgb.us,NP,Pmass,0.00173875,0.001851667,0.000735916,0.000603442,0.000183979,0.000174199,16,12
cdcr.us,N,Pmass,0.001570769,0.002868125,0.00019285,0.001481802,5.35E-05,0.00037045,13,16
cdcr.us,P,Pmass,0.001570769,0.0026,0.00019285,0.000701555,5.35E-05,0.000211527,13,11
cdcr.us,NP,Pmass,0.001570769,0.003529231,0.00019285,0.001414493,5.35E-05,0.00039231,13,13
churn.us,N,Pmass,0.001404444,0.00137875,0.000316785,0.000395526,0.000105595,0.00013984,9,8
churn.us,P,Pmass,0.001404444,0.002492727,0.000316785,0.000652688,0.000105595,0.000196793,9,11
churn.us,NP,Pmass,0.001404444,0.002359,0.000316785,0.000705871,0.000105595,0.000223216,9,10
kbs.us,N,Pmass,0.002218,0.00208625,0.00092882,0.000646373,0.000293719,0.000228527,10,8
kbs.us,P,Pmass,0.002218,0.00369,0.00092882,0.001270105,0.000293719,0.000480055,10,7
kbs.us,NP,Pmass,0.002218,0.003379,0.00092882,0.000869642,0.000293719,0.000275005,10,10
konz.us,N,Pmass,0.001192727,0.000900714,0.000249363,0.000137699,7.52E-05,3.68E-05,11,14
konz.us,P,Pmass,0.001192727,0.002445714,0.000249363,0.000414884,7.52E-05,0.000156811,11,7
konz.us,NP,Pmass,0.001192727,0.002409231,0.000249363,0.00047377,7.52E-05,0.0001314,11,13
spin.us,N,Pmass,0.004734615,0.00586,0.001211972,0.000804529,0.000336141,0.000304083,13,7
spin.us,P,Pmass,0.004734615,0.007345714,0.001211972,0.000951277,0.000336141,0.000359549,13,7
spin.us,NP,Pmass,0.004734615,0.005943571,0.001211972,0.001381413,0.000336141,0.000369198,13,14
cbgb.us,N,iWUE,3.348525181,3.336932359,2.069506174,1.710491602,0.391099905,0.329184262,28,27
cbgb.us,P,iWUE,3.348525181,3.170090037,2.069506174,1.913691774,0.391099905,0.368290154,28,27
cbgb.us,NP,iWUE,3.348525181,3.898533819,2.069506174,1.825360399,0.391099905,0.36507208,28,25
cdcr.us,N,iWUE,3.872692437,2.97260991,2.326215976,1.930123356,0.495950913,0.39398478,22,24
cdcr.us,P,iWUE,3.872692437,3.887244025,2.326215976,2.189826255,0.495950913,0.502380597,22,19
cdcr.us,NP,iWUE,3.872692437,4.576311393,2.326215976,2.430493269,0.495950913,0.543474817,22,20
churn.us,N,iWUE,2.462661675,2.909831885,1.24459878,1.570924968,0.311149695,0.392731242,16,16
churn.us,P,iWUE,2.462661675,2.608255399,1.24459878,1.175056895,0.311149695,0.284993158,16,17
churn.us,NP,iWUE,2.462661675,3.12938075,1.24459878,1.148594991,0.311149695,0.278575204,16,17
kbs.us,N,iWUE,1.328907147,2.302619647,0.866607813,1.597798469,0.223757175,0.50526824,15,10
kbs.us,P,iWUE,1.328907147,1.671677703,0.866607813,1.020396208,0.223757175,0.240509693,15,18
kbs.us,NP,iWUE,1.328907147,2.175555346,0.866607813,1.521002222,0.223757175,0.368897225,15,17
konz.us,N,iWUE,2.373742701,2.804070217,1.31741562,1.45824076,0.263483124,0.291648152,25,25
konz.us,P,iWUE,2.373742701,2.030710283,1.31741562,1.444442097,0.263483124,0.361110524,25,16
konz.us,NP,iWUE,2.373742701,3.209273272,1.31741562,1.554342749,0.263483124,0.293743169,25,28
spin.us,N,iWUE,1.452821412,1.04496286,1.215785128,1.160223269,0.238435081,0.321788038,26,13
spin.us,P,iWUE,1.452821412,0.853280404,1.215785128,0.412051701,0.238435081,0.099937217,26,17
spin.us,NP,iWUE,1.452821412,1.897574026,1.215785128,1.420435807,0.238435081,0.29618134,26,23
cbgb.us,N,leafnp,7.233278817,12.13922336,1.912028379,3.307019149,0.478007095,0.917202085,16,13
cbgb.us,P,leafnp,7.233278817,5.008485694,1.912028379,1.655570761,0.478007095,0.442469898,16,14
cbgb.us,NP,leafnp,7.233278817,7.543056854,1.912028379,1.377286563,0.478007095,0.397588384,16,12
cdcr.us,N,leafnp,8.757492068,9.382219797,2.357636265,3.246577725,0.65389065,0.811644431,13,16
cdcr.us,P,leafnp,8.757492068,6.439608989,2.357636265,4.177956793,0.65389065,1.25970137,13,11
cdcr.us,NP,leafnp,8.757492068,7.068698678,2.357636265,2.801493684,0.65389065,0.776994548,13,13
churn.us,N,leafnp,10.52831643,17.08799722,2.093744068,6.709134837,0.697914689,2.37203737,9,8
churn.us,P,leafnp,10.52831643,6.19728622,2.093744068,3.024764149,0.697914689,0.912000705,9,11
churn.us,NP,leafnp,10.52831643,9.675804781,2.093744068,2.199089692,0.697914689,0.695413221,9,10
kbs.us,N,leafnp,9.689254872,12.13107721,4.026534612,2.922045077,1.273302045,1.033098944,10,8
kbs.us,P,leafnp,9.689254872,6.038542777,4.026534612,0.721374044,1.273302045,0.272653761,10,7
kbs.us,NP,leafnp,9.689254872,7.506228801,4.026534612,1.868660683,1.273302045,0.590922393,10,10
konz.us,N,leafnp,10.5952027,27.97331773,1.433331473,7.917885808,0.4321657,2.116143994,11,14
konz.us,P,leafnp,10.5952027,5.287054542,1.433331473,1.019364118,0.4321657,0.385283422,11,7
konz.us,NP,leafnp,10.5952027,9.702576259,1.433331473,3.494119934,0.4321657,0.969094507,11,13
spin.us,N,leafnp,5.199766648,5.596301007,2.576668651,0.646706459,0.714639303,0.244432066,13,7
spin.us,P,leafnp,5.199766648,4.792572661,2.576668651,2.355743492,0.714639303,0.890387348,13,7
spin.us,NP,leafnp,5.199766648,6.404654638,2.576668651,2.152858303,0.714639303,0.575375584,13,14
