"trait","spp","treatment","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"asat","ss","n",2.27557411273486,4.50939457202505,0.723194491678029,0.578555593342422,0.417536534446765,0.334029227557411,3,3
"asat","ss","p",2.27557411273486,3.65344467640918,0.723194491678029,1.30175008502045,0.417536534446765,0.751565762004176,3,3
"asat","ss","np",2.27557411273486,4.02922755741127,0.723194491678029,1.44638898335606,0.417536534446765,0.835073068893529,3,3
"asat","cc","n",2.1294363256785,2.83924843423799,0.25311807208731,0.542395868758521,0.146137787056368,0.313152400835073,3,3
"asat","cc","p",2.1294363256785,4.27974947807933,0.25311807208731,0.542395868758521,0.146137787056368,0.313152400835073,3,3
"asat","cc","np",2.1294363256785,2.83924843423799,0.25311807208731,0.867833390013633,0.146137787056368,0.501043841336116,3,3
"leaf_np","ss","n",17.4155495978552,21.7050938337802,3.26907176549194,3.26907176549194,1.88739946380698,1.88739946380698,3,3
"leaf_np","ss","p",17.4155495978552,14.8418230563003,3.26907176549194,1.63453588274597,1.88739946380698,0.943699731903486,3,3
"leaf_np","ss","np",17.4155495978552,18.3592493297587,3.26907176549194,4.90360764823789,1.88739946380698,2.83109919571045,3,3
"leaf_np","cc","n",18.8739946380697,19.9034852546917,3.26907176549193,3.41766593665065,1.88739946380697,1.97319034852547,3,3
"leaf_np","cc","p",18.8739946380697,15.5281501340483,3.26907176549193,2.52610090969831,1.88739946380697,1.45844504021448,3,3
"leaf_np","cc","np",18.8739946380697,26.5951742627346,3.26907176549193,6.83533187330131,1.88739946380697,3.94638069705094,3,3
"lma","ss","p",78.1016949152543,73.2203389830509,4.22737824220199,3.52281520183501,2.44067796610169,2.03389830508475,3,3
"lma","ss","n",78.1016949152543,70.7796610169492,4.22737824220199,2.818252161468,2.44067796610169,1.62711864406779,3,3
"lma","ss","np",78.1016949152543,82.5762711864407,4.22737824220199,9.86388256513801,2.44067796610169,5.69491525423729,3,3
"lma","cc","n",78.5084745762712,79.3220338983051,3.52281520183501,2.11368912110101,2.03389830508475,1.22033898305085,3,3
"lma","cc","p",78.5084745762712,81.3559322033898,3.52281520183501,2.818252161468,2.03389830508475,1.62711864406779,3,3
