"exp","Treatment","Months.in","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"bloomfield2014","P",9,"Amax",10.3087878787879,12.9322857142857,2.41032513052669,2.89309429881723,0.419583748813197,0.489022191195239,33,35
"bloomfield2014","P",13,"Amax",14.7548571428571,17.3885714285714,5.74842247998556,5.88341494614917,0.97166074338737,0.994478634814263,35,35
"bloomfield2014","P",22,"Amax",11.5579411764706,12.9608571428571,2.84560349823411,2.92886383455164,0.488016973823724,0.495068346258359,34,35
"bloomfield2014","P",9,"Asat",5.15151515151515,7.14857142857143,1.70311318108215,1.99046128685131,0.296473950390032,0.336449365090957,33,35
"bloomfield2014","P",13,"Asat",7.48114285714286,8.94057142857143,2.79566341850728,2.83456288035547,0.47255336658806,0.479128575725588,35,35
"bloomfield2014","P",22,"Asat",6.15970588235294,6.83142857142857,2.35795171165777,2.00617303643052,0.404385382383664,0.339105135492176,34,35
"bloomfield2014","P",9,"Vcmax",26.7640102536364,39.2202870891429,8.50499697802165,10.666232562758,1.4805299378443,1.80292236646776,33,35
"bloomfield2014","P",13,"Vcmax",41.5156756848571,56.9430474894286,12.5135394625565,19.4197794117279,2.11517422369857,3.28254183914222,35,35
"bloomfield2014","P",22,"Vcmax",36.6584255810294,39.0486919677143,14.3850044846095,11.3972926647311,2.46700791637918,1.92649407759671,34,35
"bloomfield2014","P",9,"Jmax",42.0300608987879,56.421992158,9.22055368112536,13.8248918722661,1.60509237142398,2.33683323740147,33,35
"bloomfield2014","P",13,"Jmax",62.6701902471429,75.1434904594286,21.5317343263835,23.61674953696,3.63952737552541,3.9919592708039,35,35
"bloomfield2014","P",22,"Jmax",51.1789271335294,56.9282697128571,12.995795590347,13.1134245566532,2.22876055654577,2.21657331162337,34,35
"bloomfield2014","P",9,"TPU",3.06836263248485,4.16390867414286,1.02175890767843,1.01825101844287,0.177865395600515,0.172115836123727,33,35
"bloomfield2014","P",13,"TPU",4.946175689,5.72712140037143,1.95098815517237,2.0950370665848,0.329777188053774,0.354125898127619,35,35
