site_code,year,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
mtca.au,2011,3,P,lma,205.0931598,666.4124871,117.7209366,1872.477257,31.4622437,468.1193143,14,16
mtca.au,2011,3,NP,lma,205.0931598,157.3691404,117.7209366,102.4930814,31.4622437,24.15785096,14,18
sage.us,2011,4,N,lma,49.90159319,47.82239226,14.831788,12.85848528,4.943929333,4.28616176,9,9
sage.us,2011,4,P,lma,49.90159319,42.83893032,14.831788,16.41745888,4.943929333,5.472486295,9,9
sage.us,2011,4,NP,lma,49.90159319,35.65452523,14.831788,14.63837028,4.943929333,4.87945676,9,9
sgs.us,2011,4,N,lma,112.4989549,104.1631854,18.75455403,16.42975684,6.25151801,5.808796236,9,8
sgs.us,2011,4,P,lma,112.4989549,108.4538417,18.75455403,7.719667608,6.25151801,3.151541104,9,6
sgs.us,2011,4,NP,lma,112.4989549,104.1863969,18.75455403,14.70723527,6.25151801,4.902411758,9,9
shps.us,2011,4,N,lma,66.7175877,49.77891383,22.7810631,21.87401707,10.18800114,8.267601334,5,7
shps.us,2011,4,P,lma,66.7175877,61.56518956,22.7810631,18.84991931,10.18800114,7.124599816,5,7
shps.us,2011,4,NP,lma,66.7175877,52.12524866,22.7810631,24.75193116,10.18800114,8.751129187,5,8
sier.us,2011,4,N,lma,73.54624251,71.32534781,25.47929637,29.05087143,8.493098791,11.8599686,9,6
sier.us,2011,4,P,lma,73.54624251,74.37514562,25.47929637,26.5285401,8.493098791,9.379255299,9,8
sier.us,2011,4,NP,lma,73.54624251,65.75600096,25.47929637,27.0766483,8.493098791,11.05399538,9,6
smith.us,2011,4,N,lma,92.52686108,77.99582671,34.87133758,35.97557533,11.62377919,12.71928664,9,8
smith.us,2011,4,P,lma,92.52686108,96.13752621,34.87133758,44.13226841,11.62377919,14.71075614,9,9
smith.us,2011,4,NP,lma,92.52686108,93.72404402,34.87133758,34.97482615,11.62377919,12.36546837,9,8
summ.za,2012,2,N,lma,507.6822627,497.1312025,354.2831676,364.3131872,102.2727411,115.2059453,12,10
