"Treatment","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"N","anet",8.19677301608,7.386826667,4.82428415367051,3.33580655809399,0.964856830734102,0.667161311618798,25,25
"P","anet",8.19677301608,7.83764040012,4.82428415367051,4.52721923713534,0.964856830734102,0.905443847427068,25,25
"NP","anet",8.19677301608,7.6907999994,4.82428415367051,4.61580505851286,0.964856830734102,0.923161011702571,25,25
"N","lma",63.3232925248,62.6355377104,12.6048784363427,15.3384365438433,2.52097568726853,3.06768730876866,25,25
"P","lma",63.3232925248,56.01429784,12.6048784363427,18.8234686417288,2.52097568726853,3.69158591991065,25,26
"NP","lma",63.3232925248,55.8959293288,12.6048784363427,17.7062854538729,2.52097568726853,3.54125709077458,25,25
"N","Nmass",20.910971402,23.884880236,7.34569432460479,9.3292224582619,1.46913886492096,1.86584449165238,25,25
"P","Nmass",20.910971402,23.3872523623077,7.34569432460479,8.84404915969963,1.46913886492096,1.7344607401724,25,26
"NP","Nmass",20.910971402,25.4899553408,7.34569432460479,12.412034496522,1.46913886492096,2.48240689930439,25,25
"N","Narea",1.25740832322521,1.3772192332887,0.259019580155428,0.233649338561687,0.0518039160310855,0.0467298677123375,25,25
"P","Narea",1.25740832322521,1.19473452542669,0.259019580155428,0.294598820004342,0.0518039160310855,0.0577755819955211,25,26
"NP","Narea",1.25740832322521,1.25841509568625,0.259019580155428,0.292666958352481,0.0518039160310855,0.0585333916704962,25,25
"N","Pmass",0.86724548552,0.95435852756,0.205578390789482,0.280018794411165,0.0411156781578965,0.0560037588822331,25,25
"P","Pmass",0.86724548552,1.40900637092308,0.205578390789482,0.658626141025778,0.0411156781578965,0.129167213278952,25,26
"NP","Pmass",0.86724548552,1.43712672112,0.205578390789482,0.69727531444432,0.0411156781578965,0.139455062888864,25,25
"N","Parea",0.0535503755463527,0.0569832528591434,0.0108552018194149,0.0142537042174067,0.00217104036388299,0.00285074084348134,25,25
"P","Parea",0.0535503755463527,0.0720212304808416,0.0108552018194149,0.0224600218054477,0.00217104036388299,0.00440477267160375,25,26
"NP","Parea",0.0535503755463527,0.0707655793704116,0.0108552018194149,0.0162543566318522,0.00217104036388299,0.00325087132637045,25,25
"N","leafnp",23.9268817114531,24.8782599084099,5.09465562603012,4.56874565144179,1.01893112520602,0.913749130288358,25,25
"P","leafnp",23.9268817114531,17.3977972891634,5.09465562603012,4.22383008334431,1.01893112520602,0.828361231425879,25,26
"NP","leafnp",23.9268817114531,18.1203612397624,5.09465562603012,3.64094441411998,1.01893112520602,0.728188882823996,25,25
"N","pnue",96.30088272,75.852582724,60.3578094002054,34.7971190155407,12.0715618800411,6.95942380310815,25,25
"P","pnue",96.30088272,95.4110713753846,60.3578094002054,54.5216199872898,12.0715618800411,10.69256939338,25,26
"NP","pnue",96.30088272,92.7710615764,60.3578094002054,61.9727366852309,12.0715618800411,12.3945473370462,25,25
"N","ppue",4914.516581276,4233.91599564,3159.28902482139,2216.76833821772,631.857804964278,443.353667643544,25,25
"P","ppue",4914.516581276,3550.4643655,3159.28902482139,1978.66229196759,631.857804964278,388.047601444345,25,26
"NP","ppue",4914.516581276,3515.011503076,3159.28902482139,2184.31123960837,631.857804964278,436.862247921673,25,25
"N","structuralp",0.23340528716,0.24529967732,0.0965655611569171,0.109919023811808,0.0193131122313834,0.0219838047623615,25,25
"P","structuralp",0.23340528716,0.323880772692308,0.0965655611569171,0.173785348466547,0.0193131122313834,0.0340821108849017,25,26
"NP","structuralp",0.23340528716,0.2944106422,0.0965655611569171,0.153797667355904,0.0193131122313834,0.0307595334711808,25,25
"N","metabolicp",0.20628136812,0.26461363064,0.148847419412748,0.155291423445575,0.0297694838825495,0.0310582846891151,25,25
"P","metabolicp",0.20628136812,0.543312735884615,0.148847419412748,0.43506353658161,0.0297694838825495,0.0853229793339353,25,26
"NP","metabolicp",0.20628136812,0.52532618176,0.148847419412748,0.478510867376556,0.0297694838825495,0.0957021734753112,25,25
"N","nucleicp",0.20960656456,0.21943533288,0.0618591366353957,0.069337356204844,0.0123718273270791,0.0138674712409688,25,25
"P","nucleicp",0.20960656456,0.293702194576923,0.0618591366353957,0.0975087246928368,0.0123718273270791,0.0191230342290124,25,26
"NP","nucleicp",0.20960656456,0.29041953448,0.0618591366353957,0.111565603961754,0.0123718273270791,0.0223131207923507,25,25
"N","residualp",0.24913363512,0.23500988664,0.128105160097313,0.137616685787401,0.0256210320194625,0.0275233371574802,25,25
"P","residualp",0.24913363512,0.268184134576923,0.128105160097313,0.166379052398244,0.0256210320194625,0.0326296167242971,25,26
"NP","residualp",0.24913363512,0.34631456224,0.128105160097313,0.17249112799647,0.0256210320194625,0.0344982255992941,25,25
