Site,Topo,Treat,Plot_n,Date,Season,N_treat,P_treat,mean_finerootstocks_Mg_ha,mean_Cstock_Mg_ha,mean_Nstock_kg_ha,mean_Castock_kg_ha,mean_Mgstock_kg_ha,mean_Kstock_kg_ha,mean_Pstock_kg_ha,mean_diam_mm,mean_SRL_m_g,mean_SRA_cm2_g,mean_RTD_g_cm3,mean_C_root_%,mean_N_root_%,mean_Ca_root_mg_kg,mean_Mg_root_mg_kg,mean_K_root_mg_kg,mean_P_root_mg_kg,NP_ratio_root,CP_ratio_root,mean_Csoil_%,mean_Nsoil_%,mean_Psoil_mg_kg,Pstock_soil_kg_ha,mean_bulk_g_cm3
Paracou,Bottom,C,4,201905,Wet,0,0,5.531,2418.744,69.465,11.359,7.572,9.565,1.2,0.883,5.245,128.362,0.394,43.789,1.278,2161.276,1396.648,1799.386,224.703,56.888,1948.731,1.605,0.115,NA,NA,1.409
Paracou,Bottom,C,4,201909,Dry,0,0,5.927,2530.629,76.87,12.007,8.646,11.463,1.37,0.85,2.877,85.282,0.498,42.835,1.351,2158.082,1444.697,1904.55,229.308,58.935,1868.007,1.926,0.126,56.746,119.85,1.408
Paracou,Bottom,N,1,201905,Wet,1,0,5.112,2229.152,58.222,8.641,6.425,7.765,1.344,0.871,4.864,125.172,0.396,43.536,1.14,1761.477,1290.368,1502.899,261.349,43.605,1665.83,1.998,0.142,83.364,151.465,1.211
Paracou,Bottom,N,1,201909,Dry,1,0,4.5,1970.606,60.38,7.337,6.855,6.545,1.106,0.796,3.653,97.234,0.486,43.796,1.328,1677.228,1524.579,1481.505,246.412,53.885,1777.337,2.097,0.157,71.443,129.806,1.211
Paracou,Bottom,NP,2,201905,Wet,1,1,6.163,2717.118,70.313,15.058,6.728,6.787,4.024,0.78,5.699,136.813,0.394,43.987,1.141,2430.201,1080.263,1104.759,665.099,17.162,661.368,1.937,0.138,162.245,297.587,1.223
Paracou,Bottom,NP,2,201909,Dry,1,1,6.37,2821.627,85.956,13.811,6.87,7.86,5.049,0.708,5.047,122.394,0.422,44.075,1.362,2123.515,1093.616,1282.236,815.18,16.702,540.681,2.012,0.147,148.026,271.508,1.223
Paracou,Bottom,P,3,201905,Wet,0,1,8.063,3567.625,79.869,17.265,11.091,11.918,5.659,0.781,4.856,116.37,0.453,44.311,0.994,2179.169,1404.218,1535.025,721.044,13.787,614.546,1.558,0.102,98.149,216.902,1.473
Paracou,Bottom,P,3,201909,Dry,0,1,8.671,3855.838,94.279,22.014,14.914,19.559,9.245,0.654,4.673,106.455,0.52,44.604,1.094,2455.632,1722.237,2280.06,1031.071,10.613,432.595,1.465,0.108,133.467,294.952,1.473
Paracou,Slope,C,4,201905,Wet,0,0,5.674,2572.187,63.072,9.711,10.627,8.538,1.311,0.694,6.404,133.719,0.451,45.477,1.133,2073.846,1980.09,1743.506,241.03,47.005,1886.777,2.095,0.134,106.326,222.334,1.394
Paracou,Slope,C,4,201909,Dry,0,0,6.321,2728.228,78.716,8.458,13.158,10.616,1.493,0.688,5.339,118.77,0.468,43.902,1.296,1485.176,2198.35,1468.064,238.689,54.316,1839.317,1.631,0.101,61.094,133.434,1.456
