Harvest,Months.in,Pot,Species,Spp,Treatment,Classification,Adult stature, Vcmax.a , Jmax.a, TPU.a, Rlight.a, Vomax25.a, avgTleaf ,Amax.a,Asat.a,  Rdark.a  ,PAR,MinCond, MaxCond , Ci.Ca ,Start,Leaf.thickness,LDMC,LMA,FMA,LeafN,LeafP,N.area,P.area, Vcmax.m, Jmax.m,TPU.m,  Rlight.m ,Amax.m,Asat.m, Rdark.m ,PNUE,PPUE,RatioNP
1,9,Pot 11,Flindersia bourjotiana,Fb,Minus P,Light demanding,Canopy,34.8304508,50.20146676,3.972348842,0.942046657,6.200224633,27.18044444,12.3,6.83,NA,500,0.0741,0.131,0.734806849,4755,NA,0.24324123,64.07690799,263.4294683,NA,NA,NA,NA,0.54357259,0.783456448,61.99345391,14.70181204,191.9568279,106.5906614,NA,NA,NA,NA
1,9,Pot 12,Cryptocarya triplinervis,Ct,Minus P,Light demanding,Canopy,20.24836116,35.72717797,2.853038139,0.61911476,3.599390461,27.19666667,8.21,4.27,NA,500,0.0193,0.0946,0.731679278,4523,NA,0.244585512,42.53246753,173.8961039,26.31129032,NA,1.119084101,NA,0.476068339,0.839997772,67.07906465,14.55628595,193.0290076,100.3938931,NA,7.33635657,NA,NA
1,9,Pot 13,Hymenosporum flavum,Hf,Minus P,Light demanding,Small tree,34.02406467,53.58128454,3.917353931,0.65006179,6.388595655,26.56477778,12.7,7.23,NA,500,0.0664,0.203,0.809677458,2935,NA,0.309343434,76.7724246,248.1786134,16.88252033,2.856707317,1.296112019,219.3163471,0.443180802,0.697923568,51.0255336,8.467386483,165.4239796,94.17443878,NA,9.798535788,57.90722018,5.909782995
1,9,Pot 14,Auranticarpa ilicifolium,Ai,Control,Light demanding,Small tree,47.71204573,50.0233821,3.443114965,0.671847075,8.72725823,26.86655556,11.1,8.7,NA,500,0.0796,0.118,0.654253163,2717,NA,0.397003745,114.801444,289.1696751,13.39830376,2.127635699,1.538144619,244.2556507,0.415604927,0.435738265,29.99191338,5.852252825,96.68867925,75.78301887,NA,7.216486579,45.44418919,6.29727343
1,9,Pot 15,Neolitsea dealbata,Nd,Control,Pioneer,Small tree,33.32955135,42.94900163,3.351889159,0.417667393,6.145475151,26.77422222,11.1,7.61,NA,500,0.0853,0.132,0.720967554,3283,NA,0.399902296,67.95616802,169.9319276,27.63709128,2.136989101,1.878110819,145.2215904,0.490456603,0.632010351,49.32428147,6.14612926,163.3405815,111.9839482,NA,5.910194377,76.43491556,12.93272449
1,9,Pot 16,Flindersia bourjotiana,Fb,Control,Light demanding,Canopy,42.54761273,56.25329535,4.042937371,0.878812588,7.827407353,26.80033333,12.5,8.03,NA,500,0.0567,0.1,0.634239349,4460,NA,0.329344643,83.83241229,254.5431179,19.12581301,1.996747967,1.603363041,167.3921988,0.507531772,0.671020836,48.22642294,10.4829691,149.107006,95.78634064,NA,7.796113343,74.67492563,9.57848127
1,9,Pot 17,Hymenosporum flavum,Hf,Minus P,Light demanding,Small tree,14.51944016,28.71243552,2.473603602,0.545768972,2.641394155,26.92944444,7.84,4.23,NA,500,0.0899,0.215,0.860944606,2643,NA,0.325568679,58.63699035,180.106362,23.41243473,1.750848564,1.372834709,102.6644903,0.247615713,0.489664209,42.18503691,9.307588422,133.7039973,72.13876386,NA,5.710811322,76.36525515,13.37205011
1,9,Pot 18,Guioa lasioneura,Gl,Control,Shade tolerant,Understory shrub,40.46243729,60.43775141,3.962702684,0.688099479,7.371327585,26.91322222,11.9,6.59,NA,500,0.0135,0.0721,0.516897131,4680,NA,0.406302021,82.75611528,203.6812788,15.19802807,2.771691176,1.257729763,229.3743945,0.488935919,0.730311605,47.88410706,8.31478709,143.7960199,79.63157741,NA,9.461491925,51.88024594,5.483304996
1,9,Pot 19,Auranticarpa ilicifolium,Ai,Control,Light demanding,Small tree,45.52601494,56.96735183,4.06219176,0.486575105,8.389470942,26.78088889,16.1,10.3,NA,500,0.0484,0.138,0.58455529,4865,NA,0.441186198,120.9063444,274.0483384,13.02965177,1.965514553,1.575367564,237.6431795,0.376539504,0.471169252,33.5978379,4.024396792,133.1609195,85.18990505,NA,10.21983718,67.74863068,6.629130142
1,9,Pot 20,Syzygium wilsonii,Sw,Control,Shade tolerant,Understory shrub,32.1802173,55.40520639,5.32623699,1.078711117,5.968884614,26.70577778,16.3,5.1,NA,500,0.0138,0.0687,0.467777936,5340,NA,0.410728477,83.20364905,202.5757982,11.21449468,3.055950798,0.93308688,254.2662577,0.386764495,0.665898756,64.01446391,12.96470923,195.9048694,61.29538858,NA,17.46889851,64.10602865,3.669723573
