site,tree_number,plot,fert,family,genera,species,dbh_cm,height_m,leafn_percent,leafp_percent,leafk_percent
WA,51,7F,N0,CUNONIACEAE,Weinmannia,crassifolia,8.1,8,1.32,0.11,0.73
WA,52,7F,N0,CUNONIACEAE,Weinmannia,crassifolia,7.2,7.5,1.27,0.08,1.02
WA,53,7F,N0,CLUSIACEAE,Clusia,sp,14.4,8,1.51,0.12,0.61
WA,54,7F,N0,THEACEAE,Freziera,parva,16.6,11.5,1.86,0.13,0.79
WA,55,7F,N0,CLUSIACEAE,Clusia,sp,6.2,6,1.8,0.18,0.94
WA,32,9F,NP0,CUNONIACEAE,Weinmannia,bangii,10.6,10,1.85,0.19,0.83
WA,33,9F,NP0,CUNONIACEAE,Weinmannia,bangii,15.6,11,1.47,0.16,0.58
WA,34,9F,NP0,CUNONIACEAE,Weinmannia,crassifolia,14.8,12,1.19,0.12,0.41
WA,35,9F,NP0,CUNONIACEAE,Weinmannia,reticulata,3.2,4.5,1.95,0.17,0.99
WA,11,11F,P0,CLETHRACEAE,Clethra,sp,10.4,7.5,1.22,0.1,0.81
WA,12,11F,P0,CLUSIACEAE,Cusia,sp,21.4,12,1.31,0.38,1
WA,13,11F,P0,CLUSIACEAE,Clusia,sp,12.4,9,1.35,0.23,0.73
WA,14,11F,P0,CUNONIACEAE,Weinmannia,crassifolia,11.3,8,1.17,0.12,0.55
WA,15,11F,P0,CUNONIACEAE,Weinmannia,crassifolia,11.2,8,1.2,0.09,0.66
WA,36,8/9C,C,CUNONIACEAE,Weinmannia,bangii,12.2,11,1.49,0.12,0.61
WA,37,8/9C,C,MYRSINACEAE,Myrsine,coriacea,8,8.3,2.17,0.17,2.59
WA,38,8/9C,C,CUNONIACEAE,Weinmannia,crassifolia,12.7,12,1.18,0.1,0.9
WA,39,8/9C,C,CUNONIACEAE,Weinmannia,latifolia,9.8,10,1.68,0.11,1.25
WA,40,8/9C,C,ARALIACEAE,Oreopanax,microcephalus,4.7,7,2.6,0.28,2.1
,,,,,,,,,,,
SP,312,1F,N0,LAURACEAE,Endlicheria,griseo-sericea,8.9,9.2,1.9,0.26,0.62
SP,313,1F,N0,MELASTOMATACEAE,Miconia,sp,7.8,7,2.22,0.23,0.73
SP,314,1F,N0,EUPHORBIACEAE,Acalypha,,5.5,6,2.39,0.36,1.01
SP,315,1F,N0,EUPHORBIACEAE,Hyeronima,alchorneiodes,42.8,17,2.24,0.2,0.63
SP,316,1F,N0,ROSACEAE,Prunus,herthae,4.9,5.1,2.14,0.22,1.25
SP,291,3F,NP0,ANNONACEAE,Guatteria,duodecima,8.9,8.8,2.23,0.13,0.73
SP,292,3F,NP0,SAPOTACEAE,Sarcaulus,sp,15.8,15,1.87,0.29,0.48
SP,293,3F,NP0,SAPOTACEAE,Sarcaulus,sp,17.4,15,1.74,0.18,0.33
SP,294,3F,NP0,FABACEAE,Inga ,,16,13,2.72,0.21,0.77
SP,295,3F,NP0,SAPINDACEAE,Paullinia,,2.5,3,1.82,0.15,0.65
SP,271,5F,P0,ARECACEAE,Euterpe,sp,17.9,13.8,2.01,0.13,0.36
SP,273,5F,P0,FABACEAE,Inga ,sp,20.5,12.5,3.15,0.16,0.64
SP,274,5F,P0,RUBIACEAE,,,5,5,3,0.16,0.91
SP,275,5F,P0,ACTINIDIACEAE,Saurauia,sp,15.8,11.3,2.1,0.2,1.7
SP,286,3/4C,C,PROTEACEAE,,,3.9,5.9,2.25,0.29,1.37
SP,287,3/4C,C,MONIMIACEAE,Mollinedia,sp,6.5,7,2.14,0.27,1.41
SP,288,3/4C,C,MORACEAE,Pseudolmedia,sp,17.1,12.3,2.45,0.18,1.44
SP,289,3/4C,C,SABIACEAE,Meliosma,sp,28.8,12,1.52,0.1,0.72
SP,290,3/4C,C,ANNONACEAE,Annona,sp,10.5,7.5,2.2,0.12,0.79
,,,,,,,,,,,
TO,426,1F,N0,FABACEAE,Tachigali,,13,8.7,2.4,0.14,0.9
