site,tree_number,plot,fert,family,genera,species,dbh_cm,height_m,leafn_percent,leafp_percent,leafk_percent
TO,427,1F,N0,LAURACEAE,,,6.5,6.3,1.81,0.1,1.15
TO,428,1F,N0,EUPHORBIACEAE,Alchornea,,15.5,11.1,3.07,0.24,1.22
TO,429,1F,N0,RUBIACEAE,Palicourea,,6,5,2.96,0.15,1.68
TO,431,1F,N0,LAURACEAE,Ocotea,,11.6,6.1,2.03,0.11,0.8
TO,406,3F,NP0,LACISTEMATACEAE,Lacistema,,22.5,18,2.56,0.18,1.58
TO,407,3F,NP0,MYRISTICACEAE,Virola,mollissima,32.2,17,2.34,0.13,0.7
TO,408,3F,NP0,LECYTHIDACEAE,Eschweilera,,9.1,6,2.11,0.09,0.72
TO,409,3F,NP0,MORACEAE,Pseudolmedia,macrophylla,23.9,16,2.39,0.12,1.04
TO,410,3F,NP0,RUBIACEAE,Elaeagia,,6,4.3,2.04,0.08,1.5
TO,441,5F,P0,CHRYSOBALANACEAE,Licania,,14.7,11.5,1.76,0.1,0.84
TO,442,5F,P0,RUBIACEAE,Elaeagia,,17.9,8.5,1.9,0.08,0.59
TO,443,5F,P0,VOCHYSIACEAE,Vochysia ,sp,31,15.5,1.76,0.09,0.68
TO,444,5F,P0,FLACOURTIACEAE,,,6.2,4.5,2.49,0.11,1.17
TO,445,5F,P0,RUBIACEAE,,,5.6,6.2,1.67,0.11,0.63
TO,401,3/4C,C,MYRISTICACEAE,Virola ,calophylla,44.7,22,2.22,0.09,0.71
TO,402,3/4C,C,FLACOURTIACEAE,Carpotroche,longifolia,2.4,3,2.28,0.14,0.78
TO,403,3/4C,C,FABACEAE,Inga,,20.7,13,3.47,0.15,0.82
TO,404,3/4C,C,MORACEAE,Brosimum,utile,5.5,6,2.1,0.11,0.99
TO,405,3/4C,C,FLACOURTIACEAE,Banara,,3.8,5.6,2.27,0.1,0.67
,,,,,,,,,,,
TA,1,1F,N0,BURSERACEAE,Tetragastris,panamensis,21.1,14.5,1.76,0.08,0.8
TA,2,1F,N0,BIXACEAE,Bixa,arborea,18.5,13.5,3,0.13,1.05
TA,3,1F,N0,FABACEAE,,,6.4,8.3,3.22,0.14,0.82
TA,4,1F,N0,MORACEAE,Helicostylis,tomentosa,10.8,12,2.47,0.11,1.27
TA,5,1F,N0,MYRISTICACEAE,Virola,,5.1,7.4,2.74,0.11,0.82
TA,21,3F,NP0,EUPHORBIACEAE,Conceveiba,guianensis,9.5,12.2,2.05,0.13,0.84
TA,22,3F,NP0,FABACEAE,,,16.6,15.8,1.83,0.07,0.55
TA,23,3F,NP0,LECYTHIDACEAE,,,10.7,11,4.34,0.18,0.73
TA,24,3F,NP0,MORACEAE,Helicostylis,tomentosa,8.9,11,2.9,0.1,1.28
TA,25,3F,NP0,BOMBACACEAE,Quararibea,witti,4.8,7,2.72,0.11,0.89
TA,41,5F,P0,MELIACEAE,Trichilia,sp,30,18.5,1.91,0.08,0.65
TA,42,5F,P0,MYRISTICACEAE,Iryanthera,,6.5,4.6,1.95,0.1,0.83
TA,43,5F,P0,LAURACEAE,,,7.8,10.9,2.03,0.07,0.44
TA,44,5F,P0,,,,3.2,4.2,2.92,0.13,1.02
TA,45,5F,P0,FABACEAE,Tachigalli,poliphylla,21.3,19,2.67,0.11,0.79
TA,27,3/4C,C,,,,35,24.5,3.08,0.14,0.82
TA,28,3/4C,C,SIPARUNACEAE,Siparuna,decipiens,9,9,2.55,0.1,2.09
TA,29,3/4C,C,CLUSIACEAE,Calophyllum,brasiliensis,7.5,8,2.21,0.08,1.47
TA,30,3/4C,C,FABACEAE,,,6,8,1.78,0.07,0.74
