Idref,Functional.Group,FunctGr.symbol,PFT.group,Species,Family,Site,N.Treat,P.Treat,Treatm,Date,Replicate,low_breakpoint,high_breakpoint,avgTleaf,theta,Amax,QY,Rl,Rd.apparent,Rd.actual,satPAR,PSsat,Jsat,Vcsat,Vosat,Gssat,Cisat,PARactual100,PS100,J100,Vc100,Vo100,Gs100,Ci100,PARactualdark,Rdark,LI_ratio,Positive.Rlight.actual,Positive.Rdark,Rlight.Asat,Rdark.Asat,Amax.mb,Asat.mb,Jsat.mb,Vcsat.mb,Vosat.mb,A100.mb,J100.mb,Vc100.mb,Vo100.mb,Rlight.mb,Rdark.mb,Amax.Nb,Asat.Nb,Rlight.Nb,Rdark.Nb,Amax.Pb,Asat.Pb,Rlight.Pb,Rdark.Pb,Nmass,Pmass,N.P,Narea,Parea,LMA,FMA,DMC,Glucose.mb,Fructose.mb,Sucrose.mb,TotalSugars.mb,Starch.mb,TNC.mb,logPm,logNm,logLMA,logRd.m,logAsat.m
95,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,29/06/2009,1,20,60,24.2,0.7,21.39,0.05,-0.53,-0.53,-0.53,1892,19.22,110.71,22.4,5.28,0.8,319,99,3.75,22.55,4.73,0.91,0.55,375,0.86,-0.68,0.79,0.53,0.68,0.028,0.035,285.36,256.51,1477.25,298.83,70.48,563,435,654,99,7.08,9.08,6.9,6.2,0.17,0.22,78.15,70.25,1.94,2.49,41.36,3.65,11.33,3.099621252,0.273638981,74.94,214.02,0.35,12.66,1.16,22.95,36.76,34.89,71.65,0.562292864,1.61658053,1.874713689,0.958085849,2.409104301
96,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,29/06/2009,2,20,60,23.83,0.7,12.38,0.04,-0.24,-0.23,-0.24,1799.25,11.32,63.42,12.99,2.86,0.47,328.5,100,3.31,18.67,3.92,0.75,0.29,368,-0.88,-0.57,0.43,0.24,0.57,0.021,0.05,141.58,129.41,725.2,148.55,32.75,460,296,510,667,2.77,6.5,3.3,3.01,0.06,0.15,42.23,38.6,0.83,1.94,42.97,3.35,12.81,3.75776257,0.29324218,87.46,229.77,0.38,12.22,0.57,11.05,23.83,25.08,48.91,0.525044807,1.633165354,1.941809473,0.812913357,2.111967837
97,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,29/06/2009,3,20,60,24.75,0.7,11.66,0.05,-0.62,-0.58,-0.62,1801,10.34,64.29,12.67,3.41,0.21,287.25,100,3.07,19.85,4.12,0.84,0.17,355,0,-0.64,1.03,0.62,0.64,0.06,0.062,66.99,59.39,369.33,72.76,19.57,181,41,265,497,3.59,3.68,3.2,2.84,0.17,0.18,39.97,35.44,2.14,2.19,20.91,1.68,12.48,3.639551858,0.29173806,174.07,326.76,0.53,NA,NA,NA,NA,NA,NA,0.225309282,1.320354033,2.240723929,0.565847819,1.773713325
98,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,4,20,60,22.86,0.7,11.08,0.03,0.18,0.18,0.18,1799.75,10.16,55.21,11.26,2.55,0.23,309,99,2.69,13.14,2.77,0.51,0.19,366,0,-0.47,-0.38,-0.18,0.47,-0.017,0.046,69.69,63.88,347.17,70.78,16.01,162,796,181,393,-1.1,2.95,2.9,2.66,-0.05,0.12,28.04,25.7,-0.44,1.19,24.04,2.49,9.67,3.823426773,0.395206791,159.02,366.17,0.43,NA,NA,NA,NA,NA,NA,0.396199347,1.380934463,2.201451749,0.469822016,1.805364907
99,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,5,20,60,23.7,0.7,7.37,0.02,-0.2,-0.19,-0.2,1799.25,6.63,37.69,7.69,1.73,0.23,332.75,100,1.55,9.1,1.92,0.35,0.21,377,0,-0.58,0.35,0.2,0.58,0.03,0.088,105.68,94.99,540.24,110.22,24.84,258,101,326,513,2.8,8.36,3.1,2.78,0.08,0.25,21.74,19.54,0.58,1.72,34.12,4.86,7.02,2.380597767,0.339186412,69.77,235.67,0.3,15.27,0.67,13.6,29.54,30.36,59.89,0.686636269,1.533009022,1.843668723,0.922206277,1.977677888
100,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,BLUE,low N,hi P,LNHP,30/06/2009,6,20,60,24.02,0.7,16.54,0.04,-0.15,-0.16,-0.15,1799,15.31,86.7,17.53,4.14,0.4,313.75,99,3.65,20.12,4.21,0.82,0.31,368,0,-0.73,0.34,0.15,0.73,0.01,0.048,236.05,218.48,1237.31,250.19,59.14,592,413,633,84,2.14,10.47,7.56,6.99,0.07,0.34,64.17,59.4,0.58,2.85,31.24,3.68,8.49,2.188679603,0.257741904,70.07,203.69,0.34,NA,NA,NA,NA,NA,NA,0.565847819,1.494711025,1.845532117,1.019946682,2.339411687
101,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,16/06/2009,1,20,60,24.91,0.7,5.8,0.06,-0.95,-0.86,-0.95,1799.75,4.64,39.11,6.98,2.79,0.04,195,99,2.33,19,3.77,0.98,0.04,284,0,-0.79,1.2,0.95,0.79,0.205,0.171,39.5,31.57,266.3,47.56,19.01,143,100,296,587,6.48,5.4,1.56,1.25,0.26,0.21,123.03,98.33,20.2,16.84,25.3,0.32,78.81,3.71533709,0.047145088,146.85,299.65,0.49,NA,NA,NA,NA,NA,NA,-0.494850022,1.403120521,2.166873951,0.73239376,1.499274582
102,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,16/06/2009,2,20,60,24.77,0.7,7.02,0.04,-0.44,-0.43,-0.44,1800.67,6.24,41.14,7.88,2.4,0.08,250,100,2.41,15.62,3.2,0.7,0.07,330,-1,-0.46,0.99,0.44,0.46,0.07,0.074,47.36,42.11,277.41,53.16,16.19,154,21,238,495,2.95,3.11,2.33,2.08,0.15,0.15,88.12,78.36,5.49,5.78,20.29,0.54,37.75,3.008867902,0.079696458,148.29,328.77,0.45,28.61,0.71,10.84,40.16,22.94,63.11,-0.26760624,1.307282047,2.171111865,0.492760389,1.624385241
103,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,16/06/2009,3,20,60,25.26,0.7,8.03,0.03,-0.37,-0.34,-0.37,1807,7.17,43.41,8.64,2.21,0.18,315,100,1.81,11.77,2.43,0.51,0.19,371,0,-0.86,0.43,0.37,0.86,0.051,0.12,83.37,74.4,450.46,89.68,22.93,198,65,288,522,3.82,8.89,2.94,2.62,0.13,0.31,110,98.16,5.04,11.73,28.38,0.76,37.44,2.734698565,0.073033493,96.36,283.33,0.34,26.41,2.73,14.88,44.02,22.39,66.41,-0.119186408,1.453012391,1.983896791,0.948901761,1.871572936
104,Broadleaved tree,BLT,woody,Acacia decora,Fabaceae,GREEN,hi N,low P,HNLP,17/06/2009,4,20,60,23.63,0.7,12.55,0.04,-0.25,-0.22,-0.25,1799.6,11.65,66.4,13.46,3.13,0.39,319.4,100,1.71,10.13,2.15,0.38,0.27,377,0,-0.66,0.37,0.25,0.66,0.021,0.057,139.74,129.73,739.33,149.92,34.91,203,37,268,466,2.74,7.36,4.3,3.99,0.08,0.23,139.09,129.12,2.73,7.33,32.52,1,32.37,2.920955325,0.090229971,89.81,294.82,0.3,14.67,2.39,13.05,30.11,20.28,50.4,0,1.512150537,1.953324696,0.866877814,2.113040418
