Species,Treatment(CO2_P),Individual,Asat,Amax,A400,gs,Vcmax,Jmax,Vcmax:Jmax,Cit,Ci/Ca
HolcusLanatus,AmbientC_highP,green3a,8.83,17.01,8.65,0.2,35.09,79.24,0.443,706.25,0.789
HolcusLanatus,AmbientC_highP,green7a,9.21,16.54,9.18,0.179,34.09,76.91,0.443,605.32,0.761
HolcusLanatus,AmbientC_highP,green9a,9.27,14.29,9.45,0.268,35.51,67.36,0.527,406.57,0.828
HolcusLanatus,AmbientC_highP,grey1a,10.34,20,10.43,0.204,26.05,92.1,0.283,526.98,0.76
HolcusLanatus,AmbientC_highP,grey3a,8.39,16.49,10,0.107,41.58,77.14,0.539,390.18,0.647
HolcusLanatus,AmbientC_highP,grey7a,10.31,17.69,10.53,0.237,40.33,81.98,0.492,585.32,0.79
HolcusLanatus,HighC_lowP,green1h,2.53,4.66,2.02,0.022,10.42,26.79,0.389,812.07,0.75
HolcusLanatus,HighC_lowP,green3h,5.48,9.23,3.99,0.025,19.29,45.89,0.42,717.23,0.542
HolcusLanatus,HighC_lowP,green7h,4.4,9.92,4.04,0.019,24.05,49.4,0.487,550.98,0.504
HolcusLanatus,HighC_lowP,grey10h,4.71,5.89,2.84,0.04,18.24,31.62,0.577,845.76,0.737
HolcusLanatus,HighC_lowP,grey12h,1.75,7.24,2.39,0.017,15.91,37.52,0.424,766.19,0.767
HolcusLanatus,HighC_lowP,grey6h,3.65,7.03,2.5,0.022,13.6,36.49,0.373,1280.83,0.652
HolcusLanatus,HighC_lowP,grey8h,3.23,5.6,2.22,0.024,11.91,30.64,0.389,982.55,0.702
HolcusLanatus,HighC_highP,green10h,10.41,14.3,6.3,0.132,28.64,67.44,0.425,1143.93,0.813
HolcusLanatus,HighC_highP,green2h,10.49,13.8,7.3,0.058,32.03,65.47,0.489,531.36,0.611
HolcusLanatus,HighC_highP,green4h,12.03,15.04,7.66,0.1,28.59,71.88,0.398,759.55,0.623
HolcusLanatus,HighC_highP,green6h,7.43,7.02,4.05,0.093,21.2,36.93,0.574,743.79,0.814
HolcusLanatus,HighC_highP,grey11h,11.16,13.72,7.21,0.089,32.03,65.15,0.492,501.4,0.716
HolcusLanatus,HighC_highP,grey1h,12.06,14.17,7.44,0.138,32.03,67.06,0.478,585.9,0.794
HolcusLanatus,HighC_highP,grey7h,10.75,12.87,5.91,0.154,24.93,61.35,0.406,746.98,0.832
35,,,,,,,,,,,
SolanumDulcamara,LowC_lowP,purple12l,8.52,22.8,15.41,0.43,61.52,103.61,0.594,398.51,0.805
SolanumDulcamara,LowC_lowP,purple2l,8.96,21,15.46,0.74,61.42,95.95,0.64,267.08,0.863
SolanumDulcamara,LowC_lowP,purple9l,8.24,19.64,15.11,0.431,61.47,90.17,0.682,280.73,0.81
SolanumDulcamara,LowC_lowP,white3l,7.14,19.52,13.03,0.302,63.34,90.1,0.703,341.84,0.765
SolanumDulcamara,LowC_lowP,white6l,10.49,22.5,17.56,0.49,92.71,102.66,0.903,201.04,0.784
SolanumDulcamara,LowC_lowP,white8l,8.7,21.69,16,0.51,66.57,99.06,0.672,350.59,0.823
