,,,eref,,eref,,^e,,^e,,cref,,cref,,^c,,^c,,,ci,,ci,,E,,E,,gs,,gs,,,,,,,,A,A
BBR,YES,12.78,,,,6.94,,,,380.2,,,,20,,,,,234,,,,2.232,,,,0.09,,,,6.308,,,,,,,,
BBR,YES,13.32,,,,4.44,,,,379.6,,,,13.6,,,,,224.2,,,,1.426,,,,0.052,,,,4.332,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,eref,eref,,,^e,^e,,,cref,cref,,,^c,^c,,,ci,ci,,,E,E,,,gs,gs,,,,,,,,,,,,
Site,Fertilized,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,,,,,,,,,,
BBR,YES,13.53142857,0.19831947,14.52,0.076469726,6.228571429,0.58630168,4.751428571,0.500815661,379.6,0.169030851,378.6857143,0.137023758,17.37142857,0.976318226,16.85714286,0.947894193,227.1714286,8.389384287,214.4857143,9.694166841,2.003428571,0.188791502,1.533714286,0.160940941,0.077428571,0.008391768,0.066857143,0.00765764,,,,,,,,,,
LUE,YES,14.29428571,0.086488566,14.19142857,0.237280511,3.054285714,0.302677395,2.288571429,0.326156759,383.5142857,0.292304938,381.3142857,0.55524708,12.6,0.85857024,8.657142857,0.896250694,166.6857143,15.95821073,179.8,18.77343615,0.982857143,0.097535202,0.734285714,0.105233915,0.035714286,0.003739839,0.027428571,0.003747108,,,,,,,,,,
