Blk,Plot,Rx,N,P,Species,Leaf C,Leaf N,Leaf P,Leaf Pi,Leaf Po,%Pi,Leaf 13C,Leaf 15N,Litter 15N,Litter N,Litter N corr,Litter C,Litter 13C,Litter P,Litter P corr,Leaf - Litter15N,Leaf - LitterN,leaf C:N,litter C:N,Leaf - Litterfall P,leaf N:P,litter N:P,Litter organic P,N res,N_res_corr,P res,P_res_corr,N:P res,logN:P_res_cor,N:P_res_corr,transformed_P,N_resorp,P_resorp,N:P_resorp
one,one,P,0,1,ALSEBL,46.09,36.49,1.51,0.52,0.99,0.344,-31.17,1.65,0.67,30.14,23.62976,43.98,-30.91,1.52,1.19168,0.98,6.35,12.63085777,14.59190445,-0.01,24.16556291,19.82894737,0.99,17.40202795,35.24,-0.662251656,21.08,-26.27706221,0.513909894,1.672,0.819061207,17.40202795,0,NA
one,one,P,0,1,HEISCO,52.46,19.39,NA,0.82,NA,NA,-28.85,1.22,1.035060042,17.13,13.42992,50.43,-29.93,NA,,0.184939958,2.26,27.05518308,29.43957968,NA,5.492917847,NA,2.71,11.65549252,30.74,NA,,NA,,,0.971529412,11.65549252,NA,NA
one,one,P,0,1,OENOMA,52.24,17.69,0.97,0.19,0.78,0.196,-31.54,-0.91,-0.29,12.9,10.1136,50.16,-33.53,0.37,0.29008,-0.62,4.79,29.53080837,38.88372093,0.6,18.2371134,34.86486486,0.78,27.07744488,42.83,61.8556701,70.09,0.437752026,-0.492640428,0.611,0.725119498,27.07744488,61.8556701,0.437752026
one,one,P,0,1,TET2PA,49.79,20.42,1.45,0.48,0.97,0.331,-31.08,2,NA,NA,,NA,NA,0.55,0.4312,NA,NA,24.38295788,NA,0.9,14.08275862,NA,0.97,NA,,62.06896552,70.26,NA,,,0.809998434,NA,62.06896552,NA
one,three,NP,1,1,ALSEBL,47.03,25.52,1.12,0.24,0.88,0.214,-30.07,2.17,-0.5,23.82,18.67488,47.25,-30.01,1.65,1.2936,2.67,1.7,18.42868339,19.83627204,-0.53,22.78571429,14.43636364,0.88,6.661442006,26.82,-47.32142857,,-0.140770095,,,0.753988716,6.661442006,NA,NA
one,three,NP,1,1,HEISCO,51.5,26.22,1.89,0.78,1.11,0.413,-31.5,0.7,0.84,19.41,15.21744,50.97,-31.68,1.58,1.23872,-0.14,6.81,19.64149504,26.25965997,0.31,13.87301587,12.28481013,1.11,25.97254005,41.96,16.4021164,34.46,1.583487119,0.196997945,1.218,0.868755531,25.97254005,16.4021164,1.583487119
one,three,NP,1,1,OENOMA,51.98,18.44,1.06,0.22,0.84,0.208,-32.74,-2.34,-0.92,13,10.192,48.52,-31.84,0.61,0.47824,-1.42,5.44,28.18872017,37.32307692,0.45,17.39622642,21.31147541,0.84,29.5010846,44.73,42.45283019,54.88,0.694914437,-0.204585276,0.815,0.742690545,29.5010846,42.45283019,0.694914437
one,three,NP,1,1,TET2PA,45.23,18.04,1.01,0.46,0.55,0.455,-31.41,1.01,0.83,13.02,10.20768,41.77,-30.61,0.54,0.42336,0.18,5.02,25.07206208,32.08141321,0.47,17.86138614,24.11111111,0.55,27.827051,43.42,46.53465347,58.08,0.597985564,-0.291038486,0.747,0.733020149,27.827051,46.53465347,0.597985564
one,four,N,1,0,ALSEBL,47.73,38.89,1.28,0.35,0.93,0.273,-30.97,2.06,NA,NA,,NA,NA,NA,,NA,NA,12.27307791,NA,NA,30.3828125,NA,0.93,NA,,NA,,NA,,,0.782449776,NA,NA,NA
one,four,N,1,0,HEISCO,53.12,22.21,0.73,0.23,0.5,0.315,-32.32,0.46,0.892797912,19.35,15.1704,53.13,-30.68,0.63,0.49392,-0.432797912,2.86,23.91715443,27.45736434,0.1,30.42465753,30.71428571,0.5,12.8770824,31.7,13.69863014,32.34,0.940027015,-0.020117484,0.98,0.674805273,12.8770824,13.69863014,0.940027015
one,four,N,1,0,OENOMA,52.54,18.62,0.91,0.17,0.74,0.187,-32.46,-1.66,-0.71,14.2,11.1328,50.3,-32.4,0.53,0.41552,-0.95,4.42,28.216971,35.42253521,0.38,20.46153846,26.79245283,0.74,23.73791622,40.21,41.75824176,54.34,0.568460625,-0.301103482,0.74,0.713000163,23.73791622,41.75824176,0.568460625
one,four,N,1,0,TET2PA,47.53,10.68,0.59,0.07,0.52,0.119,-32.59,1.16,1.127282158,11.15,8.7416,42.23,-30.84,0.38,0.29792,0.032717842,-0.47,44.50374532,37.87443946,0.21,18.10169492,29.34210526,0.52,-4.400749064,18.15,35.59322034,49.51,-0.123640093,-1.003415143,0.367,0.643365146,NA,35.59322034,NA
one,six,C,0,0,ALSEBL,46.19,29.07,0.89,0.16,0.73,0.18,-31.71,0.3,NA,NA,,NA,NA,NA,,NA,NA,15.88923289,NA,NA,32.66292135,NA,0.73,NA,,NA,,NA,,,0.708890173,NA,NA,NA
