site,treatment,ci,ca,ci.ca,E,gs,anet,iwue
LUE,P,163.6,383.6,0.426485923,0.924,0.03,3.826,127.5333333
LUE,P,92.8,383.6,0.241918665,0.52,0.02,2.824,141.2
LUE,P,171.4,383.8,0.446586764,1.05,0.036,4.318,119.9444444
LUE,P,133,384,0.346354167,0.824,0.03,4,133.3333333
LUE,P,191.8,384.6,0.498699948,1.256,0.046,4.896,106.4347826
LUE,P,197.8,382.6,0.516989022,1.252,0.048,4.69,97.70833333
LUE,P,216.4,382.4,0.565899582,1.054,0.04,3.592,89.8
LUE,C,217.6,382.8,0.568443051,1.066,0.04,3.542,88.55
LUE,C,172.4,382.2,0.451072737,0.786,0.028,3.31,118.2142857
LUE,C,218.6,381.4,0.573151547,1.012,0.038,3.2,84.21052632
LUE,C,190.2,380.2,0.500263019,0.878,0.032,3.294,102.9375
LUE,C,174.8,380.6,0.459274829,0.608,0.022,2.32,105.4545455
LUE,C,209.2,383,0.546214099,0.46,0.018,1.538,85.44444444
LUE,C,75.8,379,0.2,0.33,0.014,2.312,165.1428571
BBR,C,226.4,378.8,0.597676874,1.372,0.066,5.156,78.12121212
BBR,C,234.6,378.4,0.619978858,1.838,0.09,6.332,70.35555556
BBR,C,165,378.8,0.435586061,0.986,0.04,4.764,119.1
BBR,C,205.6,379.2,0.542194093,1.456,0.062,5.76,92.90322581
BBR,C,202.6,378.2,0.535695399,1.156,0.046,4.326,94.04347826
BBR,C,233,378.4,0.615750529,1.69,0.07,5.088,72.68571429
BBR,C,234.2,379,0.617941953,2.238,0.094,6.55,69.68085106
BBR,P,182.2,379.4,0.480231945,1.184,0.042,4.402,104.8095238
BBR,P,236.6,379.6,0.623287671,2.238,0.088,5.918,67.25
BBR,P,220.4,378.8,0.581837381,2.066,0.076,5.992,78.84210526
BBR,P,247.8,379.6,0.652792413,2.412,0.094,5.792,61.61702128
BBR,P,245,380,0.644736842,2.466,0.1,6.154,61.54
BBR,P,234,380.2,0.615465544,2.232,0.09,6.308,70.08888889
BBR,P,224.2,379.6,0.590621707,1.426,0.052,4.332,83.30769231
