Site_name,numex_block,PlotID,PlotTreat,plant_id,Tree_species,LeaveNo,seedling_height,seedling_length,seedling_diameter,hole_area,leaf_area,specific_leaf_area,biomass_root,biomass_shoot,biomass_leaf,leaf_N,leaf_P
Bombuscaro,1,1,NP,CR-np-01,Clarisia racemosa,4,35,35,4.77,0.79,42.85,323.54,1.58,1.2,0.13,34.75588,2.191947472
Bombuscaro,1,1,NP,CR-np-02,Clarisia racemosa,2,29,29,3.3,0,18.23,364.6,0.16,0.17,0.05,33.29755,2.137061223
Bombuscaro,1,1,NP,CR-np-03,Clarisia racemosa,4,28,30,3.54,0.15,68.17,283.42,0.4,0.38,0.24,25.96262,1.245338561
Bombuscaro,1,1,NP,CR-np-04,Clarisia racemosa,3,15,15,1.71,0.48,17.28,420,0.05,0.06,0.04,45.88939,2.824536666
Bombuscaro,1,1,NP,CR-np-05,Clarisia racemosa,2,20,20,2.39,1.53,19.56,257.57,0.29,0.17,0.07,31.36584,1.673427345
Bombuscaro,1,1,NP,PT-np-01,Pouteria torta,4,19.5,19.5,2.77,2.27,103.67,220.43,0.51,0.49,0.46,20.36803,0.735032631
Bombuscaro,1,1,NP,PT-np-02,Pouteria torta,5,19,20,2.92,4.9,68.96,200.19,0.64,0.41,0.32,19.92656,0.734338998
Bombuscaro,1,1,NP,PT-np-03,Pouteria torta,8,23,23,3.25,2.2,196.41,242.76,0.35,0.36,0.8,20.936,0.920160163
Bombuscaro,1,1,NP,PT-np-04,Pouteria torta,3,23,23,3.31,0,44.99,236.79,0.49,0.22,0.19,21.09167,0.815389201
Bombuscaro,1,1,NP,PT-np-05,Pouteria torta,5,15,15,3.15,0.58,119.8,220.78,0.48,0.23,0.54,21.53672,0.849377761
Bombuscaro,1,2,P,CR-p-01,Clarisia racemosa,4,17,28,2.44,1.64,79.52,259.6,0.94,0.33,0.3,22.46333,1.430296885
Bombuscaro,1,2,P,CR-p-02,Clarisia racemosa,3,15.5,17,3.11,0.42,74.61,285.35,1.43,0.39,0.26,26.12998,1.391099917
