Site,Taxa,Photosynthesis-Pathway,Lifeform,Block,Plot,MAT_v2,MAP_v2,Stand_MAT,Stand_MAP,Treatment,GS-pg,Log_GS+1,Avg_StomataSize-um2,Stomata_Density,SQRT_StomataDensity,Cmg/mgleaftissue,Nmg/mgleaftissue,Pmg/mgleaftissue,CellDensity2_mgDRY,C_PerCell_mg,N_PerCell_mg,P_PerCell_mg,C_PerCell_ng,N_PerCell_ng,P_PerCell_ng,SQRT_C_PerCell_ng,SQRT_N_PerCell_ng,SQRT_ P_PerCell_ng,Amax_(µmolCO2m⁻²s⁻¹),E_(mmolH2Om⁻²s⁻¹),SQRT_Amax,SQRT_E,Instant_WUE(µmolCO2mmolH2O⁻¹),DryMass2_mg,NumCellsIn500ulSoln
cdcr.us,Achillea_millefolium,C3,allforb,1,2,6.337500023,740,-0.853471586,-1.185753888,NP,10.6,2.451005098,,,,0.45361,0.01692,0.0039,1836.538462,0.000246992,9.21E-06,2.12E-06,246.9918325,9.212984293,2.123560209,15.7159738,3.03528982,1.457244046,5.626082319,3.701911,2.371936407,1.924035083,1.519777844,1.3,2387.5
cdcr.us,Achillea_millefolium,C3,allforb,2,16,6.337500023,740,-0.853471586,-1.185753888,NP,10.6,2.451005098,,,,0.45361,0.01692,0.0039,1836.538462,0.000246992,9.21E-06,2.12E-06,246.9918325,9.212984293,2.123560209,15.7159738,3.03528982,1.457244046,8.71252286,2.203319,2.951698301,1.48435811,3.954272105,1.3,2387.5
cdcr.us,Achillea_millefolium,C3,allforb,2,24,6.337500023,740,-0.853471586,-1.185753888,N,10.6,2.451005098,,,,0.45487,0.01527,0.00164,1836.538462,0.000247678,8.31E-06,8.93E-07,247.6779058,8.314554974,0.892984293,15.73778592,2.883497004,0.944978462,17.72060666,7.287152,4.209585094,2.699472541,2.431760262,1.3,2387.5
cdcr.us,Achillea_millefolium,C3,allforb,1,8,6.337500023,740,-0.853471586,-1.185753888,P,10.6,2.451005098,,,,0.44439,0.01217,0.0029,1836.538462,0.000241972,6.63E-06,1.58E-06,241.9715183,6.626596859,1.579057592,15.55543372,2.574217718,1.256605583,19.51421157,18.439287,4.417489284,4.294099091,1.058295344,1.3,2387.5
cdcr.us,Achillea_millefolium,C3,allforb,3,32,6.337500023,740,-0.853471586,-1.185753888,N,10.6,2.451005098,,,,0.45487,0.01527,0.00164,1836.538462,0.000247678,8.31E-06,8.93E-07,247.6779058,8.314554974,0.892984293,15.73778592,2.883497004,0.944978462,22.35115799,10.901751,4.727701132,3.301779974,2.050235599,1.3,2387.5
churn.us,Achillea_millefolium,C3,allforb,3,17,4.825000058,810,-1.167135345,-0.638654636,N,10.586,2.449797473,,,,0.46717,0.01511,,2229.166667,0.000209572,6.78E-06,,209.5715888,6.778317757,,14.47658761,2.603520262,,12.30050318,20.281287,3.507207319,4.503474992,0.606495198,1.8,4012.5
kbs.us,Achillea_millefolium,C3,allforb,2,6,8.795833436,903,-0.34365994,0.088205798,P,11.35102049,2.51373869,,,,0.45887,0.01943,0.00355,1862.5,0.000246373,1.04E-05,1.91E-06,246.3731544,10.43221477,1.906040268,15.69627836,3.229893925,1.380594172,0.266282217,1.304333,0.516025403,1.142073991,0.20415202,0.8,1862.5
kbs.us,Achillea_millefolium,C3,allforb,1,3,8.795833436,903,-0.34365994,0.088205798,C,11.35102049,2.51373869,,,,0.45771,0.01537,0.0019,1862.5,0.00024575,8.25E-06,1.02E-06,245.7503356,8.252348993,1.020134228,15.67642611,2.872690201,1.010016945,0.98981603,1.651099,0.994894984,1.284950972,0.599489207,0.8,1862.5
kbs.us,Achillea_millefolium,C3,allforb,2,3,8.795833436,903,-0.34365994,0.088205798,C,11.35102049,2.51373869,,,,0.45771,0.01537,0.0019,1862.5,0.00024575,8.25E-06,1.02E-06,245.7503356,8.252348993,1.020134228,15.67642611,2.872690201,1.010016945,1.273284994,1.779359,1.128399306,1.33392616,0.71558634,0.8,1862.5
kbs.us,Achillea_millefolium,C3,allforb,3,1,8.795833436,903,-0.34365994,0.088205798,N,11.35102049,2.51373869,,,,0.46041,0.0205,0.00184,1862.5,0.0002472,1.10E-05,9.88E-07,247.2,11.00671141,0.987919463,15.72259521,3.317636419,0.993941378,2.311636484,1.076958,1.520406684,1.03776587,2.146449986,0.8,1862.5
