source,citation,response,site,exp,latitude,longitude,elevation,mat,map,ecosystem_type,experiment_type,species,growth_form,treatment,npk,n_c,n_t,n_units,p_c,p_t,p_units,duration,aggregation,x_c,x_t,x_units,sd_c,sd_t,se_c,se_t,rep_c,rep_t,doi
nutnet,cleland_et_al_2019,agb,bldr.us,cleland2019_bldr.us_fnp,39.97,-105.23,1633,9.7,425,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,95.2,143,g_m2,61.2,25.5,43.2,18,2,2,
nutnet,cleland_et_al_2019,agb,bldr.us,cleland2019_bldr.us_fnp,39.97,-105.23,1633,9.7,425,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,95.2,116,g_m2,61.2,82,43.2,58,2,2,
nutnet,cleland_et_al_2019,agb,bldr.us,cleland2019_bldr.us_fnp,39.97,-105.23,1633,9.7,425,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,95.2,334.7,g_m2,61.2,27.2,43.2,19.3,2,2,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bnch.us,cleland2019_bnch.us_fnp,44.28,-121.97,1318,5.5,1647,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,142.4,168.2,g_m2,47,60.9,27.1,35.2,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bnch.us,cleland2019_bnch.us_fnp,44.28,-121.97,1318,5.5,1647,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,142.4,165.6,g_m2,47,62.7,27.1,36.2,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bnch.us,cleland2019_bnch.us_fnp,44.28,-121.97,1318,5.5,1647,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,142.4,164.7,g_m2,47,51.1,27.1,29.5,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bogong.au,cleland2019_bogong.au_fnp,-36.87,147.24,1760,5.7,1592,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,573.2,953.1,g_m2,148.2,127,85.6,73.3,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bogong.au,cleland2019_bogong.au_fnp,-36.87,147.24,1760,5.7,1592,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,573.2,663.2,g_m2,148.2,95.7,85.6,55.3,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,bogong.au,cleland2019_bogong.au_fnp,-36.87,147.24,1760,5.7,1592,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,573.2,970.3,g_m2,148.2,162,85.6,93.5,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,burrawan.au,cleland2019_burrawan.au_fnp,-27.73,151.14,425,18.4,683,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,179.9,97.2,g_m2,71.5,42.6,41.3,24.6,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,burrawan.au,cleland2019_burrawan.au_fnp,-27.73,151.14,425,18.4,683,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,179.9,128.9,g_m2,71.5,29.3,41.3,16.9,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,burrawan.au,cleland2019_burrawan.au_fnp,-27.73,151.14,425,18.4,683,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,179.9,94.4,g_m2,71.5,85.5,41.3,49.4,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cbgb.us,cleland2019_cbgb.us_fnp,41.79,-93.39,275,9,855,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,311.9,362,g_m2,118.5,288.1,48.4,117.6,6,6,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cbgb.us,cleland2019_cbgb.us_fnp,41.79,-93.39,275,9,855,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,311.9,226.3,g_m2,118.5,51,48.4,20.8,6,6,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cbgb.us,cleland2019_cbgb.us_fnp,41.79,-93.39,275,9,855,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,311.9,395.8,g_m2,118.5,193.5,48.4,79,6,6,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cdcr.us,cleland2019_cdcr.us_fnp,45.4,-93.2,270,6.4,750,grassland,field,NA,NA,fnp,_100,0,10,g_m2,0,0,g_m2,,community,191.7,238.5,g_m2,139.4,73.9,80.5,42.7,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cdcr.us,cleland2019_cdcr.us_fnp,45.4,-93.2,270,6.4,750,grassland,field,NA,NA,fnp,_010,0,0,g_m2,0,10,g_m2,,community,191.7,221.7,g_m2,139.4,98,80.5,56.6,3,3,https://doi.org/10.1007/s10021-019-00350-4
nutnet,cleland_et_al_2019,agb,cdcr.us,cleland2019_cdcr.us_fnp,45.4,-93.2,270,6.4,750,grassland,field,NA,NA,fnp,_110,0,10,g_m2,0,10,g_m2,,community,191.7,202.3,g_m2,139.4,61.5,80.5,35.5,3,3,https://doi.org/10.1007/s10021-019-00350-4
