source,citation,response,site,exp,latitude,longitude,elevation,mat,map,ecosystem_type,experiment_type,species,growth_form,treatment,_npk,n_c,n_t,n_units,p_c,p_t,p_units,duration,aggregation,x_c,x_t,x_units,sd_c,sd_t,se_c,se_t,n_c,n_t,doi
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_decora,,_fnp,_100,0.277,3.3,g_yr,0.003,0.003,g_yr,1,species,14.578,8.618,umol_m2_s,2.127,3.726,0.868,1.666,6,5,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_decora,,_fnp,_010,0.277,0.277,g_yr,0.003,0.153,g_yr,1,species,14.578,12.163,umol_m2_s,2.127,4.435,0.868,1.811,6,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_decora,,_fnp,_110,0.277,3.3,g_yr,0.003,0.153,g_yr,1,species,14.578,8.898,umol_m2_s,2.127,3.395,0.868,1.386,6,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_melanoxylon,,_fnp,_100,0.277,3.3,g_yr,0.003,0.003,g_yr,1,species,14.678,14.205,umol_m2_s,3.363,5.201,1.504,2.123,5,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_melanoxylon,,_fnp,_010,0.277,0.277,g_yr,0.003,0.153,g_yr,1,species,14.678,17.875,umol_m2_s,3.363,4.701,1.504,1.919,5,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,acacia_melanoxylon,,_fnp,_110,0.277,3.3,g_yr,0.003,0.153,g_yr,1,species,14.678,14.475,umol_m2_s,3.363,6.151,1.504,2.511,5,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,allocasuarina_luehmannii,,_fnp,_100,0.277,3.3,g_yr,0.003,0.003,g_yr,1,species,18.178,21.903,umol_m2_s,6.998,5.127,2.857,2.093,6,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,allocasuarina_luehmannii,,_fnp,_010,0.277,0.277,g_yr,0.003,0.153,g_yr,1,species,18.178,18.1,umol_m2_s,6.998,5.835,2.857,2.382,6,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,allocasuarina_luehmannii,,_fnp,_110,0.277,3.3,g_yr,0.003,0.153,g_yr,1,species,18.178,24.313,umol_m2_s,6.998,2.751,2.857,1.123,6,6,https://doi.org/10.1111/nph.14591
eap,crous_et_al_2017,asat,ANUglass,ANUglass_fnp,NA,NA,NA,NA,NA,NA,chamber,atriplex_nummularia,,_fnp,_100,0.277,3.3,g_yr,0.003,0.003,g_yr,1,species,11.88,8.398,umol_m2_s,5.12,5.229,2.29,2.135,5,6,https://doi.org/10.1111/nph.14591
