trait,nut_add,mod,comp,k,estimate,z,p,lowerCL,upperCL,ci.range
jmax,int,photo,C3,40,0.012,0.535,0.593,-0.364,0.387,"[-0.364, 0.387]"
jmax,int,photo,C4,40,0.262,0.535,0.593,-0.706,1.231,"[-0.706, 1.231]"
jmax,int,myc_nas,Mining,40,0.439,-2.103,0.035,-0.061,0.939,"[-0.061, 0.939]"
jmax,int,myc_nas,Scavenging,40,-0.061,-2.103,0.035,-0.418,0.296,"[-0.418, 0.296]"
jmax,int,nfix,No,40,0.073,-1.268,0.205,-0.306,0.452,"[-0.306, 0.452]"
jmax,int,nfix,Yes,40,-0.415,-1.268,0.205,-1.205,0.376,"[-1.205, 0.376]"
jmax_vcmax,int,photo,C3,32,0.079,0.426,0.67,-0.156,0.314,"[-0.156, 0.314]"
jmax_vcmax,int,photo,C4,32,0.267,0.426,0.67,-0.563,1.097,"[-0.563, 1.097]"
jmax_vcmax,int,myc_nas,Mining,32,-0.194,1.477,0.14,-0.628,0.239,"[-0.628, 0.239]"
jmax_vcmax,int,myc_nas,Scavenging,32,0.202,1.477,0.14,-0.072,0.476,"[-0.072, 0.476]"
jmax_vcmax,int,nfix,No,32,0.051,0.999,0.318,-0.186,0.288,"[-0.186, 0.288]"
jmax_vcmax,int,nfix,Yes,32,0.473,0.999,0.318,-0.315,1.261,"[-0.315, 1.261]"
pnue,int,photo,C3,65,0.052,0.681,0.496,-0.531,0.635,"[-0.531, 0.635]"
pnue,int,photo,C4,65,0.384,0.681,0.496,-0.727,1.494,"[-0.727, 1.494]"
pnue,int,myc_nas,Mining,65,0.382,-1.495,0.135,-0.343,1.108,"[-0.343, 1.108]"
pnue,int,myc_nas,Scavenging,65,-0.004,-1.495,0.135,-0.593,0.585,"[-0.593, 0.585]"
pnue,int,nfix,No,65,0.111,-1.77,0.077,-0.474,0.696,"[-0.474, 0.696]"
pnue,int,nfix,Yes,65,-0.604,-1.77,0.077,-1.562,0.354,"[-1.562, 0.354]"
ppue,int,photo,C3,66,-0.314,1.29,0.197,-0.805,0.176,"[-0.805, 0.176]"
ppue,int,photo,C4,66,0.266,1.29,0.197,-0.724,1.256,"[-0.724, 1.256]"
ppue,int,myc_nas,Mining,66,-0.26,-0.131,0.896,-0.921,0.401,"[-0.921, 0.401]"
ppue,int,myc_nas,Scavenging,66,-0.294,-0.131,0.896,-0.789,0.201,"[-0.789, 0.201]"
ppue,int,nfix,No,66,-0.309,0.742,0.458,-0.801,0.184,"[-0.801, 0.184]"
ppue,int,nfix,Yes,66,0.037,0.742,0.458,-0.961,1.035,"[-0.961, 1.035]"
