"source","citation","response","site","exp","latitude","longitude","elevation","gs_mat","gs_map","gs_par","gs_ai","ecosystem_type","experiment_type","species","family","growth_form","growth_duration","photo_path","n_fixer","myc_assoc","myc_nas","treatment","npk","fert","n_c","n_t","n_units","p_c","p_t","p_units","duration","aggregation","x_c","x_t","sd_c","sd_t","rep_c","rep_t","background_n_mgkg","myvar","logr","logr_var","logr_se","manip_type"
"mesi","aerts2003","agb_n","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",5.8,6.4,2.3,0.2,3,3,69,"agb_n",0.0984400728132525,0.0527432774722552,0.132593712108651,"n"
"mesi","aerts2003","agb_n","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",9.2,10.8,1.6,0.8,3,3,71.1,"agb_n",0.160342650075179,0.0119109050472676,0.0630103299659869,"n"
"mesi","aerts2003","agb_p","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",0.99,1.13,0.56,0.39,3,3,69,"agb_p",0.13226796857775,0.146361320270512,0.220878035931229,"n"
"mesi","aerts2003","agb_p","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",0.6,0.7,0.03,0.1,3,3,71.1,"agb_p",0.154150679827258,0.00763605442176871,0.0504514764295645,"n"
"mesi","aerts2003","agb","bovenpolder","bovenpolder_fnp",51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",282.7,402,96.5,60.3,3,3,69,"agb",0.352065823919476,0.046340226600278,0.124284923462553,"n"
"mesi","aerts2003","agb","bethunepolder","bethunepolder_fnp",52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",11,"community",517.3,670,59,40.2,3,3,71.1,"agb",0.258654735375542,0.00553608524646435,0.0429576739223791,"n"
"mesi","augustine2003","anpp","mpalaRanch","mpalaRanch_fnp",0.28,37.88,1775,18.58333317,169.4166667,868.2025463,1.287475,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,40,"g_m2",0,0,"g_m2",2,"community",7.17452,7.33439,1.465,0.876,4,4,66.8,"agb",0.022038384766053,0.0139902029754196,0.05914009421581,"n"
"mesi","aydin2005","agb","ondokuz","ondokuz_fnp",41.35,36.25,4,14.09999986,57.16666667,697.5127315,0.750391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,18,"g_m2",0,0,"g_m2",3,"community",1465.5,3297.4,118.5,280.2,4,4,0,"agb",0.810937797976131,0.00343980771303907,0.0293249369694083,"n"
"mesi","bennett2001","agb","hamersley","hamersley_fnp",-22.28,117.67,606,24.5,33.91666667,1078.457755,0.130541667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",430,499,76,93,6,6,13.6,"agb",0.148820887063911,0.010995551260515,0.0428087827058012,"n"
"mesi","blanke2012","agb","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",287.7,382.3,82.9,78.6,10,9,126.6,"agb",0.284287370144865,0.0129996036235747,0.0380052680903505,"n"
"mesi","blanke2012","agb_n_mass","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",18.11,19.03,1.39,0.93,10,9,126.6,"agb_n_mass",0.0495524094127361,0.000854471313542175,0.00974378042959926,"n"
"mesi","blanke2012","agb_n","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",4.75,6.53,1.42,1.59,10,9,126.6,"agb_n",0.31826232524179,0.015524524934506,0.0415324838523428,"n"
"mesi","blanke2012","agb_p_mass","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",1.06,1.05,0.06,0.15,10,9,126.6,"agb_p_mass",-0.00947874395454377,0.00258797241455025,0.0169573727477338,"n"
"mesi","blanke2012","agb_p","alpflix","alpflix_fnp",46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,5,"g_m2",0,0,"g_m2",2,"community",0.28,0.37,0.13,0.15,10,9,126.6,"agb_p",0.27871340246902,0.0398176271969708,0.0665145157064488,"n"
"mesi","boeye1997","agb","buitengoor","buitengoor1992_fnp",51.2,5.17,36,10.2833334,67,480.7274306,1.455125,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",82,54,47,27,5,5,54.7,"agb",-0.417735200699979,0.11570493753718,0.152121620775733,"n"
"mesi","boeye1997","agb_n_mass","buitengoor","buitengoor1992_fnp",51.2,5.17,36,10.2833334,67,480.7274306,1.455125,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",12.3,14.7,1.7,1.8,5,5,54.7,"agb_n_mass",0.178248231406319,0.00681922774977895,0.036930279581338,"n"
"mesi","boeye1997","agb_p_mass","buitengoor","buitengoor1992_fnp",51.2,5.17,36,10.2833334,67,480.7274306,1.455125,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",0.49,0.52,0.11,0.1,5,5,54.7,"agb_p_mass",0.0594234204708008,0.0174755833984361,0.059119511835664,"n"
"mesi","boeye1997","agb","goorken","goorken1993_fnp",51.32,5.12,27,10.09166684,65.75,479.7390046,1.50735,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",2,"community",851,990,206,135,5,5,63.7,"agb",0.151292814555261,0.0154384066082928,0.055566908512698,"n"
"mesi","boeye1997","agb_n_mass","goorken","goorken1993_fnp",51.32,5.12,27,10.09166684,65.75,479.7390046,1.50735,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",2,"community",12.2,12.1,1.1,0.9,5,5,63.7,"agb_n_mass",-0.00823049913651548,0.0027323888119349,0.0233768638270188,"n"
"mesi","boeye1997","agb_p_mass","goorken","goorken1993_fnp",51.32,5.12,27,10.09166684,65.75,479.7390046,1.50735,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",2,"community",0.88,0.85,0.12,0.14,5,5,63.7,"agb_p_mass",-0.0346855579878901,0.00914461380079499,0.0427659065162776,"n"
"mesi","boeye1997","agb","zwarteBeek","zwarteBeek1992_fnp",51.08,5.3,56,10.0999999,68.83333333,483.3038194,1.552766667,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",698,826,52,83,5,5,73.4,"agb",0.168375670758606,0.0031294246688895,0.0250176924151269,"n"
"mesi","boeye1997","agb_n_mass","zwarteBeek","zwarteBeek1992_fnp",51.08,5.3,56,10.0999999,68.83333333,483.3038194,1.552766667,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",12.1,12.8,1.3,1,5,5,73.4,"agb_n_mass",0.0562397183228761,0.00352928860413394,0.0265679830026065,"n"
"mesi","boeye1997","agb_p_mass","zwarteBeek","zwarteBeek1992_fnp",51.08,5.3,56,10.0999999,68.83333333,483.3038194,1.552766667,"wetland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,20,"g_m2",0,0,"g_m2",1,"community",1.62,1.51,0.29,0.17,5,5,73.4,"agb_p_mass",-0.0703164984174598,0.00894406051721728,0.0422943507272952,"n"
"mesi","borer2013","agb","sedgwick","sedgwick2013_fnp",34.7,-119.88,1122,12.75833329,49.75,883.3084491,0.490516667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",578,555.9,43.6,85.9,3,3,51.8,"agb",-0.0389854467129538,0.00985593093718413,0.0573176265418825,"n"
"mesi","bowman1993","leaf_n_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","kobresia_myosuroides","cyperaceae","graminoid","perennial","c3","no","EcM","mining","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",2.71,3.56,0.19,0.19,15,15,75.8,"leaf_n_mass",0.27281190997233,0.000517596750876283,0.00587421910200997,"n"
"mesi","bowman1993","leaf_n_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","carex_scopulorum","cyperaceae","graminoid","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",3.02,3.46,0.23,0.31,15,15,75.8,"leaf_n_mass",0.136011757682855,0.000921834370220732,0.00783936379315197,"n"
"mesi","bowman1993","leaf_n_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","bistorta_bisotortoides","polygonaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",4.21,4.8,0.43,0.27,15,15,75.8,"leaf_n_mass",0.131153270219555,0.000906412399524753,0.00777351228864084,"n"
"mesi","bowman1993","leaf_n_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","caltha_leptosepala","ranunculaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",3.6,3.66,0.23,0.54,15,15,75.8,"leaf_n_mass",0.0165293019512105,0.00172334213113648,0.0107186508203737,"n"
"mesi","bowman1993","leaf_p_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","kobresia_myosuroides","cyperaceae","graminoid","perennial","c3","no","EcM","mining","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",0.217,0.195,0.012,0.008,15,15,75.8,"leaf_p_mass",-0.106897794976713,0.000316076150269013,0.00459039686206623,"n"
"mesi","bowman1993","leaf_p_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","carex_scopulorum","cyperaceae","graminoid","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",0.135,0.144,0.023,0.008,15,15,75.8,"leaf_p_mass",0.064538521137571,0.00214083219021491,0.0119466374354597,"n"
"mesi","bowman1993","leaf_p_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","bistorta_bisotortoides","polygonaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",0.25,0.271,0.012,0.039,15,15,75.8,"leaf_p_mass",0.0806579030174545,0.00153430015386501,0.0101136876026667,"n"
"mesi","bowman1993","leaf_p_mass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","caltha_leptosepala","ranunculaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",0.356,0.362,0.019,0.05,15,15,75.8,"leaf_p_mass",0.0167134809737405,0.00146173350589449,0.00987162096076253,"n"
"mesi","bowman1993","anet","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","carex_scopulorum","cyperaceae","graminoid","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",11.4,11.9,2.3,1.5,15,15,75.8,"asat",0.0429250447170338,0.00377290271204167,0.0158595979605236,"n"
"mesi","bowman1993","anet","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","bistorta_bisotortoides","polygonaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",17.3,16.4,5.8,3.9,15,15,75.8,"asat",-0.0534251666735807,0.0112633670093714,0.0274023928509555,"n"
"mesi","bowman1993","anet","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field","caltha_leptosepala","ranunculaceae","herb","perennial","c3","no","NM-AM","scavenging","fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"species",10.9,12,2.7,1.9,15,15,75.8,"asat",0.0961438605529023,0.00576186106357178,0.019599083420017,"n"
"mesi","bowman1993","total_biomass","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"community",299,427,27,139,5,5,75.8,"total_biomass",0.356340439837938,0.0228244109434485,0.0675639118811936,"n"
"mesi","bowman1993","bgb","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"community",3300,3980,1176,859,5,5,75.8,"bgb",0.187359350823912,0.034715452293654,0.0833252090230249,"n"
"mesi","bowman1993","rootshoot","niwotRidge","niwotRidge_fnp",40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,"tundra","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,25,"g_m2",0,0,"g_m2",2,"community",11.03,9.7,3.8,2.7,5,5,75.8,"rootshoot",-0.128492947756074,0.0392339133146211,0.088582067389084,"n"
"mesi","craine2008","agb_n_mass","pretoriuskop","pretoriuskop_fnp",-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",7.8,9.1,2,3.1,8,8,31.1,"agb_n_mass",0.154150679827258,0.0227243757463538,0.0532967819694043,"n"
"mesi","craine2008","agb_p_mass","pretoriuskop","pretoriuskop_fnp",-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",0.9,0.6,0.3,0.3,8,8,31.1,"agb_p_mass",-0.405465108108164,0.0451388888888889,0.0751156515721664,"n"
"mesi","craine2008","agb","pretoriuskop","pretoriuskop_fnp",-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",362.4,455.9,180.7,198,8,8,31.1,"agb",0.229524913050572,0.0546554641773276,0.0826555081175232,"n"
"mesi","craine2008","bnpp","pretoriuskop","pretoriuskop_fnp",-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",267.3,287.5,99.6,193.5,8,8,31.1,"bgb",0.0728512370925317,0.0739786863910496,0.0961630687888089,"n"
"mesi","craine2008","agb_n_mass","letaba","letaba_fnp",-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",9.6,15.6,1.4,2,8,8,20.7,"agb_n_mass",0.485507815781701,0.00471298950115056,0.0242718702955462,"n"
"mesi","craine2008","agb_p_mass","letaba","letaba_fnp",-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",1.5,1.4,0.3,0.3,8,8,20.7,"agb_p_mass",-0.0689928714869516,0.0107397959183673,0.03663979380122,"n"
"mesi","craine2008","agb","letaba","letaba_fnp",-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",105.9,134,49.5,71.6,8,8,20.7,"agb",0.23534454734355,0.0629987763139898,0.0887403349061109,"n"
"mesi","craine2008","bnpp","letaba","letaba_fnp",-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",231.6,219.1,76.4,71.8,8,8,20.7,"bgb",-0.0554834990974193,0.0270262867279304,0.0581230233297555,"n"
"mesi","craine2008","agb_n_mass","makhohlola","makhohlola_fnp",-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",9.1,13,2.3,4,8,8,24.3,"agb_n_mass",0.356674943938732,0.0198194662480377,0.0497738212417402,"n"
"mesi","craine2008","agb_p_mass","makhohlola","makhohlola_fnp",-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",2.8,2.3,0.3,0.3,8,8,24.3,"agb_p_mass",-0.196710294246054,0.00356160304386405,0.021099772048129,"n"
"mesi","craine2008","agb","makhohlola","makhohlola_fnp",-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",321.2,368.2,123.6,162.6,8,8,24.3,"agb",0.136562286726371,0.0428867344286011,0.0732177697254918,"n"
"mesi","craine2008","bnpp","makhohlola","makhohlola_fnp",-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",208.3,231.6,92.8,206.8,8,8,24.3,"bgb",0.106032397431914,0.124473041407176,0.124736242431368,"n"
"mesi","craine2008","agb_n_mass","satara","satara_fnp",-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",6.9,11,1.1,2,8,8,19.1,"agb_n_mass",0.466373861195157,0.00730908500714309,0.0302264061028248,"n"
"mesi","craine2008","agb_p_mass","satara","satara_fnp",-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",1.8,1.7,0.3,0.3,8,8,19.1,"agb_p_mass",-0.0571584138399486,0.00736495578623606,0.0303417117724018,"n"
"mesi","craine2008","agb","satara","satara_fnp",-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",294.2,352.7,175.6,159,8,8,19.1,"agb",0.181358029074669,0.0699356411901546,0.093498423242156,"n"
"mesi","craine2008","bnpp","satara","satara_fnp",-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",296.9,225.6,209.3,139.7,8,8,19.1,"bgb",-0.27463186214581,0.110051416501967,0.117287795881523,"n"
"mesi","craine2008","agb_n_mass","nwashitsumbe","nwashitsumbe_fnp",-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",9.9,14.1,1.7,3.4,8,8,21.4,"agb_n_mass",0.353640040243578,0.0109540944468994,0.0370035377479292,"n"
"mesi","craine2008","agb_p_mass","nwashitsumbe","nwashitsumbe_fnp",-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",2.3,2.1,0.6,0.6,8,8,21.4,"agb_p_mass",-0.0909717782057266,0.0187106978897419,0.048361526404961,"n"
"mesi","craine2008","agb","nwashitsumbe","nwashitsumbe_fnp",-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",247.8,253.2,199.4,205.1,8,8,21.4,"agb",0.0215577210749791,0.162957876329148,0.142722578946513,"n"
"mesi","craine2008","bnpp","nwashitsumbe","nwashitsumbe_fnp",-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",110.4,144.5,52,42.4,8,8,21.4,"bgb",0.269169373709492,0.0384941547960395,0.069366918264436,"n"
"mesi","dantonio2006","bgb","volcanoNP","volcanoNP_fnp",19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,"forest","field","melinis_minutiflora","poaceae","graminoid","perennial","c4","no","AM","scavenging","fnp","_100","n",0,10,"g_m2",0,0,"g_m2",1.5,"species",176.9,336.6,66.6,102.4,5,5,67.4,"bgb",0.643310680590966,0.0468578220387007,0.0968068407073599,"n"
"mesi","dantonio2006","leaf_n_mass","volcanoNP","volcanoNP_fnp",19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,"forest","field","melinis_minutiflora","poaceae","graminoid","perennial","c4","no","AM","scavenging","fnp","_100","n",0,10,"g_m2",0,0,"g_m2",1.5,"species",0.345,0.435,0.056,0.034,5,5,67.4,"leaf_n_mass",0.231801614057324,0.00649130707010313,0.0360313948386768,"n"
"mesi","dantonio2006","leaf_p_mass","volcanoNP","volcanoNP_fnp",19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,"forest","field","melinis_minutiflora","poaceae","graminoid","perennial","c4","no","AM","scavenging","fnp","_100","n",0,10,"g_m2",0,0,"g_m2",1.5,"species",0.152,0.102,0.029,0.022,5,5,67.4,"leaf_p_mass",-0.398907707562005,0.0165842384561233,0.0575920801085068,"n"
"mesi","dantonio2006","sla","volcanoNP","volcanoNP_fnp",19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,"forest","field","melinis_minutiflora","poaceae","graminoid","perennial","c4","no","AM","scavenging","fnp","_100","n",0,10,"g_m2",0,0,"g_m2",1.5,"species",135.9,154.8,13.2,16.3,5,5,67.4,"lma",-0.130214639998529,0.00410435509495787,0.0286508467412671,"n"
"mesi","davidson2004","agb","fazendaVitoria","fazendaVitoria_fnp",-2.98,-47.52,136,25.9416666,165.5833333,770.6197917,1.617808333,"forest","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,10,"g_m2",0,0,"g_m2",2,"community",19.99,23.76,0.89,0.21,4,4,33.4,"agb",0.172771345982136,0.000515087191263212,0.0113477662037867,"n"
"mesi","dong2016a","agb","baingoin","baingoin_fnp",31.433,90.033,4705,6.433333288,67.16666667,930.7488426,0.520733333,"grassland","field",NA,NA,NA,NA,NA,NA,NA,NA,"fnp","_100","n",0,15,"g_m2",0,0,"g_m2",1,"community",34.6,40.9,14.6,10.9,4,4,38.8,"agb",0.167276380985077,0.0622697335769307,0.124769521094828,"n"
"mesi","eller2017","bgb","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","fraxinus_excelsior","oleaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",58.2,91.3,19,46.7,5,5,NA,"bgb",0.450265432863531,0.0736418511922166,0.121360497026188,"n"
"mesi","eller2017","rootshoot","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","fraxinus_excelsior","oleaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",1.86,1.49,0.25,0.31,5,5,NA,"rootshoot",-0.221800367767742,0.0122704021570569,0.0495386761168622,"n"
"mesi","eller2017","rmf","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","fraxinus_excelsior","oleaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",0.64,0.59,0.04,0.04,5,5,NA,"rmf",-0.0813456394539525,0.0017005260700948,0.0184419417095641,"n"
"mesi","eller2017","gsw","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","fraxinus_excelsior","oleaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",185.4,376.4,37.1,99.7,5,5,NA,"gsw",0.70813675457947,0.0220406809997549,0.0663937963965835,"n"
"mesi","eller2017","bgb","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","ulmus_laevis","ulmaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",32.3,64,11.4,14.5,5,5,NA,"bgb",0.683815853131061,0.0351796080909386,0.0838804006797042,"n"
"mesi","eller2017","rootshoot","flottbek","flottbek_fnp",NA,NA,NA,NA,NA,NA,NA,NA,"greenhouse","ulmus_laevis","ulmaceae","tree","perennial","c3","no","AM","scavenging","fnp","_100","n",0,1.3,"g_pot",0,0,"g_pot",0.5,"species",1.57,1.21,0.2,0.13,5,5,NA,"rootshoot",-0.260455259751567,0.00555415325064597,0.0333291261530991,"n"
