trait,nut_add,moderator_group,moderator,estimate,p_value,lower_ci,upper_ci
narea,n,myc,mining,0.034,0.004,-0.083,0.152
narea,n,myc,scavenging,0.155,0.004,0.063,0.246
narea,p,photo,c3,0.028,0.850,-0.058,0.114
narea,p,photo,c4,0.019,0.850,-0.094,0.131
narea,p,nfix,n_fixer,0.094,0.238,-0.045,0.233
narea,p,nfix,non_fixer,0.022,0.238,-0.062,0.107
narea,p,myc,mining,0.028,0.964,-0.081,0.138
narea,p,myc,scavenging,0.026,0.964,-0.058,0.111
narea,np,photo,c3,0.189,<0.001,0.095,0.283
narea,np,photo,c4,-0.070,<0.001,-0.186,0.046
narea,np,nfix,n_fixer,0.138,0.722,-0.008,0.285
narea,np,nfix,non_fixer,0.159,0.722,0.066,0.253
narea,np,myc,mining,0.107,0.174,-0.012,0.226
narea,np,myc,scavenging,0.167,0.174,0.073,0.262
pmass,n,photo,c3,-0.098,0.379,-0.164,-0.031
pmass,n,photo,c4,-0.024,0.379,-0.184,0.136
pmass,n,nfix,n_fixer,0.041,0.006,-0.072,0.155
pmass,n,nfix,non_fixer,-0.100,0.006,-0.165,-0.035
pmass,n,myc,mining,-0.233,<0.001,-0.312,-0.153
pmass,n,myc,scavenging,-0.073,<0.001,-0.137,-0.008
pmass,p,photo,c3,0.499,0.034,0.352,0.646
pmass,p,photo,c4,0.257,0.034,0.011,0.502
pmass,p,nfix,n_fixer,0.697,<0.001,0.53,0.864
pmass,p,nfix,non_fixer,0.468,<0.001,0.323,0.613
pmass,p,myc,mining,0.774,<0.001,0.596,0.952
pmass,p,myc,scavenging,0.441,<0.001,0.296,0.586
pmass,np,photo,c3,0.366,0.950,0.232,0.5
pmass,np,photo,c4,0.359,0.950,0.12,0.597
pmass,np,nfix,n_fixer,0.526,0.027,0.333,0.72
pmass,np,nfix,non_fixer,0.356,0.027,0.224,0.488
pmass,np,myc,mining,0.257,<0.001,0.112,0.401
pmass,np,myc,scavenging,0.381,<0.001,0.249,0.512
parea,n,photo,c3,-0.070,0.260,-0.236,0.096
parea,n,photo,c4,0.050,0.260,-0.193,0.294
parea,n,nfix,n_fixer,-0.085,<0.001,-0.249,0.078
parea,n,nfix,non_fixer,0.348,<0.001,0.154,0.542
parea,n,myc,mining,-0.157,0.110,-0.365,0.051
parea,n,myc,scavenging,-0.038,0.110,-0.203,0.126
parea,p,photo,c3,0.566,0.639,0.316,0.816
parea,p,photo,c4,0.510,0.639,0.193,0.828
parea,p,nfix,n_fixer,0.645,0.373,0.373,0.917
parea,p,nfix,non_fixer,0.554,0.373,0.307,0.802
parea,p,myc,mining,1.034,<0.001,0.753,1.314
parea,p,myc,scavenging,0.467,<0.001,0.219,0.715
parea,np,photo,c3,0.420,0.120,0.188,0.651
parea,np,photo,c4,0.235,0.120,-0.068,0.538
parea,np,nfix,n_fixer,0.638,0.001,0.366,0.91
parea,np,nfix,non_fixer,0.385,0.001,0.156,0.614
parea,np,myc,mining,0.376,0.693,0.115,0.637
parea,np,myc,scavenging,0.406,0.693,0.176,0.636
leaf_np,n,photo,c3,0.163,0.153,0.060,0.266
leaf_np,n,photo,c4,0.032,0.153,-0.165,0.228
leaf_np,n,nfix,n_fixer,-0.046,<0.001,-0.196,0.105
leaf_np,n,nfix,non_fixer,0.163,<0.001,0.061,0.265
leaf_np,n,myc,mining,0.061,0.093,-0.089,0.211
leaf_np,n,myc,scavenging,0.167,0.093,0.064,0.270
leaf_np,p,photo,c3,-0.379,0.358,-0.536,-0.221
leaf_np,p,photo,c4,-0.479,0.358,-0.731,-0.228
leaf_np,p,nfix,n_fixer,-0.454,0.235,-0.647,-0.262
leaf_np,p,nfix,non_fixer,-0.383,0.235,-0.539,-0.226
leaf_np,p,myc,mining,-0.651,<0.001,-0.852,-0.450
leaf_np,p,myc,scavenging,-0.347,<0.001,-0.503,-0.190
leaf_np,np,photo,c3,-0.225,0.900,-0.348,-0.103
leaf_np,np,photo,c4,-0.241,0.900,-0.501,0.019
leaf_np,np,nfix,n_fixer,-0.699,<0.001,-0.868,-0.529
leaf_np,np,nfix,non_fixer,-0.203,<0.001,-0.324,-0.083
leaf_np,np,myc,mining,-0.260,0.541,-0.423,-0.096
leaf_np,np,myc,scavenging,-0.221,0.541,-0.343,-0.100
asat,n,photo,c3,0.089,0.893,-0.081,0.259
asat,n,photo,c4,0.106,0.893,-0.175,0.386
asat,n,nfix,n_fixer,-0.143,0.058,-0.445,0.159
asat,n,nfix,non_fixer,0.102,0.058,-0.068,0.272
asat,n,myc,mining,-0.128,<0.001,-0.319,0.064
asat,n,myc,scavenging,0.127,<0.001,-0.045,0.298
asat,p,photo,c3,0.089,0.104,-0.086,0.264
asat,p,photo,c4,-0.068,0.104,-0.315,0.180
asat,p,nfix,n_fixer,0.075,0.980,-0.202,0.353
asat,p,nfix,non_fixer,0.078,0.980,-0.096,0.253
asat,p,myc,mining,0.075,0.958,-0.120,0.271
asat,p,myc,scavenging,0.078,0.958,-0.098,0.255
asat,np,photo,c3,0.216,0.318,0.009,0.424
asat,np,photo,c4,0.149,0.318,-0.091,0.388
asat,np,nfix,n_fixer,-0.183,<0.001,-0.502,0.136
asat,np,nfix,non_fixer,0.231,<0.001,0.024,0.438
asat,np,myc,mining,0.072,0.007,-0.154,0.297
asat,np,myc,scavenging,0.235,0.007,0.026,0.443
vcmax,n,photo,c3,0.041,0.656,-0.123,0.206
vcmax,n,photo,c4,-0.032,0.656,-0.391,0.327
vcmax,n,nfix,n_fixer,-0.207,0.007,-0.440,0.026
vcmax,n,nfix,non_fixer,0.063,0.007,-0.104,0.231
vcmax,n,myc,mining,-0.163,<0.001,-0.347,0.022
vcmax,n,myc,scavenging,0.100,<0.001,-0.067,0.268
vcmax,p,photo,c3,0.128,0.149,-0.001,0.256
vcmax,p,photo,c4,-0.024,0.149,-0.261,0.214
vcmax,p,nfix,n_fixer,-0.075,0.015,-0.271,0.121
vcmax,p,nfix,non_fixer,0.141,0.015,0.010,0.272
vcmax,p,myc,mining,0.136,0.729,-0.019,0.290
vcmax,p,myc,scavenging,0.116,0.729,-0.016,0.247
vcmax,np,photo,c3,0.206,0.274,0.057,0.355
vcmax,np,photo,c4,0.119,0.274,-0.091,0.329
vcmax,np,nfix,n_fixer,-0.173,<0.001,-0.391,0.045
