"trait","nut_add","k","mod","estimate","se","estimate_se","zval","pval","ci.lb","ci.ub","ci_range"
"pmass","p",97,"gs_par",0.001,0.001,"0.001±0.001",1.505,0.132,-0,0.002,"[-0.000, 0.002]"
"pmass","np",97,"intrcpt",0.078,0.484,"0.078±0.484",0.16,0.873,-0.872,1.026,"[-0.872, 1.026]"
"pmass","np",97,"gs_mat",-0.017,0.009,"-0.017±0.009",-1.881,0.06,-0.035,0.001,"[-0.035, 0.001]"
"pmass","np",97,"gs_ai",-0.078,0.096,"-0.078±0.096",-0.808,0.419,-0.267,0.111,"[-0.267, 0.111]"
"pmass","np",97,"gs_par",0.001,0,"0.001±0.000",1.494,0.135,-0,0.002,"[-0.000, 0.002]"
"parea","n",45,"intrcpt",0.425,0.426,"0.425±0.426",0.997,0.319,-0.41,1.26,"[-0.410, 1.260]"
"parea","n",45,"gs_mat",0.008,0.009,"0.008±0.009",0.892,0.372,-0.009,0.025,"[-0.009, 0.025]"
"parea","n",45,"gs_ai",-0.076,0.078,"-0.076±0.078",-0.962,0.336,-0.23,0.078,"[-0.230, 0.078]"
"parea","n",45,"gs_par",-0.001,0,"-0.001±0.000",-1.434,0.152,-0.002,0,"[-0.002, 0.000]"
"parea","p",44,"intrcpt",-0.107,0.553,"-0.107±0.553",-0.194,0.846,-1.192,0.977,"[-1.192, 0.977]"
"parea","p",44,"gs_mat",-0.028,0.012,"-0.028±0.012",-2.257,0.024,-0.052,-0.004,"[-0.052, -0.004]"
"parea","p",44,"gs_ai",-0.304,0.109,"-0.304±0.109",-2.775,0.005,-0.518,-0.089,"[-0.518, -0.089]"
"parea","p",44,"gs_par",0.002,0.001,"0.002±0.001",2.698,0.007,0,0.003,"[0.000, 0.003]"
"parea","np",43,"intrcpt",-0.65,0.589,"-0.650±0.589",-1.102,0.27,-1.805,0.505,"[-1.805, 0.505]"
"parea","np",43,"gs_mat",-0.018,0.012,"-0.018±0.012",-1.493,0.135,-0.043,0.006,"[-0.043, 0.006]"
"parea","np",43,"gs_ai",-0.242,0.108,"-0.242±0.108",-2.228,0.026,-0.454,-0.029,"[-0.454, -0.029]"
"parea","np",43,"gs_par",0.002,0.001,"0.002±0.001",2.781,0.005,0.001,0.003,"[0.001, 0.003]"
"leaf_np","n",84,"intrcpt",0.205,0.276,"0.205±0.276",0.743,0.457,-0.335,0.745,"[-0.335, 0.745]"
