var,middle,ymin,ymax,middle_scaled,ymin_scaled,ymax_scaled,k,sig.level,k_sig,logr_min,logr_max,manip_type,middle_fixed,plot_label,bold_yn,middle_perc,upper_perc,lower_perc
agb_n,0.320788264,-0.038185811,0.679762338,1.378213732,0.962534075,1.973408673,-18,   ,-18,-0.762140052,4.299550413,p,0.321,paste(' 0.321'^'   '),plain,37.82137321,97.34086731,-3.74659252
agb_p,0.776074586,0.448772085,1.103377088,2.172925869,1.566387613,3.014328506,-12,***,(12)***,0.0588405,1.884246782,p,0.776,paste(' 0.776'^'***'),bold,117.2925869,201.4328506,56.63876131
agb,0.191217494,0.125932698,0.256502289,1.210722748,1.134205832,1.292401724,-125,***,(125)***,-0.982982106,4.275276265,p,0.191,paste(' 0.191'^'***'),bold,21.07227478,29.24017239,13.42058316
agb_n_mass,0.05078079,0.022059477,0.079502102,1.052092238,1.022304586,1.082747836,-30,***,(30)***,-0.21928723,0.278842401,p,0.051,paste(' 0.051'^'***'),bold,5.209223848,8.274783574,2.230458629
agb_p_mass,0.477258209,0.254658207,0.699858211,1.611649533,1.290020626,2.0134672,-23,***,(23)***,-0.076961041,1.77070606,p,0.477,paste(' 0.477'^'***'),bold,61.16495333,101.34672,29.0020626
leaf_n_mass,-0.001520786,-0.024945266,0.021903695,0.99848037,0.975363296,1.022145342,-139,   ,-139,-0.499490204,0.456293703,p,-0.002,paste('-0.002'^'   '),plain,-0.151962985,2.214534165,-2.463670386
leaf_p_mass,0.448851705,0.319631407,0.578072004,1.566512335,1.376620259,1.782598272,-133,***,(133)***,-0.726106349,3.290106778,p,0.449,paste(' 0.449'^'***'),bold,56.65123348,78.25982725,37.66202587
asat,0.090541495,-0.047666767,0.228749757,1.094766934,0.953451456,1.257027437,-89,   ,-89,-1.238698039,1.05947686,p,0.091,paste(' 0.091'^'   '),plain,9.47669341,25.70274371,-4.654854412
total_biomass,0.155089091,0.003599109,0.306579072,1.167761993,1.003605593,1.358768904,-42,*  ,(42)*  ,-0.562069,2.899588413,p,0.155,paste(' 0.155'^'*  '),plain,16.7761993,35.87689042,0.36055933
bgb,0.032193881,-0.052533184,0.116920946,1.032717711,0.948822835,1.124030568,-63,   ,-63,-1.084099056,1.444631137,p,0.032,paste(' 0.032'^'   '),plain,3.271771066,12.40305676,-5.117716488
rootshoot,-0.226636252,-0.426168891,-0.027103613,0.797210713,0.653006046,0.973260394,-40,*  ,(40)*  ,-1.970451258,1.003924968,p,-0.227,paste('-0.227'^'*  '),plain,-20.27892866,-2.67396064,-34.69939538
