"trait","nut_add","mod","comp","k","estimate","z","p","lowerCL","upperCL"
"parea","p","nfix","No",82,0.563,0.705,"0.481",0.33,0.796
"parea","p","nfix","Yes",82,0.602,0.705,"0.481",0.35,0.854
"parea","np","photo","C3",82,0.42,-1.893,"0.058",0.203,0.638
"parea","np","photo","C4",82,0.25,-1.893,"0.058",-0.013,0.513
"parea","np","myc_nas","Mining",82,0.382,0.308,"0.758",0.133,0.632
"parea","np","myc_nas","Scavenging",82,0.405,0.308,"0.758",0.189,0.622
"parea","np","nfix","No",82,0.386,3.449,"0.001",0.17,0.602
"parea","np","nfix","Yes",82,0.604,3.449,"0.001",0.359,0.85
"leaf_np","n","photo","C3",115,0.187,-1.392,"0.164",0.085,0.289
"leaf_np","n","photo","C4",115,0.086,-1.392,"0.164",-0.08,0.252
"leaf_np","n","myc_nas","Mining",115,0.119,1.132,"0.258",-0.027,0.265
"leaf_np","n","myc_nas","Scavenging",115,0.189,1.132,"0.258",0.086,0.291
"leaf_np","n","nfix","No",115,0.194,-5.479,"<0.001",0.093,0.295
"leaf_np","n","nfix","Yes",115,-0.091,-5.479,"<0.001",-0.231,0.049
"leaf_np","p","photo","C3",115,-0.379,-0.831,"0.406",-0.524,-0.234
"leaf_np","p","photo","C4",115,-0.445,-0.831,"0.406",-0.648,-0.242
"leaf_np","p","myc_nas","Mining",115,-0.649,4.5,"<0.001",-0.836,-0.461
"leaf_np","p","myc_nas","Scavenging",115,-0.341,4.5,"<0.001",-0.486,-0.196
"leaf_np","p","nfix","No",115,-0.382,-0.519,"0.604",-0.527,-0.238
"leaf_np","p","nfix","Yes",115,-0.41,-0.519,"0.604",-0.584,-0.236
"leaf_np","np","photo","C3",115,-0.197,-1.215,"0.224",-0.306,-0.088
"leaf_np","np","photo","C4",115,-0.303,-1.215,"0.224",-0.493,-0.113
"leaf_np","np","myc_nas","Mining",115,-0.24,0.659,"0.51",-0.389,-0.09
"leaf_np","np","myc_nas","Scavenging",115,-0.2,0.659,"0.51",-0.309,-0.091
"leaf_np","np","nfix","No",115,-0.182,-7.825,"<0.001",-0.29,-0.074
"leaf_np","np","nfix","Yes",115,-0.627,-7.825,"<0.001",-0.777,-0.476
"asat","n","photo","C3",93,0.164,-0.969,"0.332",0.02,0.308
"asat","n","photo","C4",93,0.105,-0.969,"0.332",-0.071,0.281
"asat","n","myc_nas","Mining",93,-0.067,4.718,"<0.001",-0.234,0.1
"asat","n","myc_nas","Scavenging",93,0.199,4.718,"<0.001",0.054,0.344
"asat","n","nfix","No",93,0.172,-3.372,"0.001",0.028,0.316
"asat","n","nfix","Yes",93,-0.026,-3.372,"0.001",-0.201,0.149
"asat","p","photo","C3",93,0.116,-1.655,"0.098",-0.032,0.264
"asat","p","photo","C4",93,0.025,-1.655,"0.098",-0.148,0.199
"asat","p","myc_nas","Mining",93,0.064,0.948,"0.343",-0.106,0.234
"asat","p","myc_nas","Scavenging",93,0.116,0.948,"0.343",-0.033,0.265
"asat","p","nfix","No",93,0.088,5.28,"<0.001",-0.059,0.236
"asat","p","nfix","Yes",93,0.401,5.28,"<0.001",0.221,0.581
"asat","np","photo","C3",93,0.296,-3.121,"0.002",0.123,0.468
"asat","np","photo","C4",93,0.14,-3.121,"0.002",-0.05,0.33
"asat","np","myc_nas","Mining",93,0.11,3.638,"<0.001",-0.082,0.302
"asat","np","myc_nas","Scavenging",93,0.313,3.638,"<0.001",0.139,0.486
"asat","np","nfix","No",93,0.299,-4.792,"<0.001",0.127,0.472
"asat","np","nfix","Yes",93,0.035,-4.792,"<0.001",-0.161,0.231
"gsw","n","photo","C3",47,0.078,1.435,"0.151",-0.107,0.262
"gsw","n","photo","C4",47,0.182,1.435,"0.151",-0.049,0.414
"gsw","n","myc_nas","Mining",47,-0.151,3.27,"0.001",-0.389,0.086
"gsw","n","myc_nas","Scavenging",47,0.148,3.27,"0.001",-0.039,0.335
"gsw","n","nfix","No",47,0.097,-1.701,"0.089",-0.088,0.281
"gsw","n","nfix","Yes",47,-0.045,-1.701,"0.089",-0.288,0.198
"gsw","p","photo","C3",47,0.186,-3.661,"<0.001",0.027,0.345
"gsw","p","photo","C4",47,-0.044,-3.661,"<0.001",-0.24,0.153
"gsw","p","myc_nas","Mining",47,0.106,0.971,"0.331",-0.106,0.318
"gsw","p","myc_nas","Scavenging",47,0.189,0.971,"0.331",0.028,0.35
"gsw","p","nfix","No",47,0.168,0.694,"0.488",0.008,0.327
"gsw","p","nfix","Yes",47,0.211,0.694,"0.488",0.017,0.405
"gsw","np","photo","C3",47,0.203,0.07,"0.944",-0.021,0.428
"gsw","np","photo","C4",47,0.208,0.07,"0.944",-0.044,0.459
"gsw","np","myc_nas","Mining",47,0.09,1.608,"0.108",-0.178,0.358
"gsw","np","myc_nas","Scavenging",47,0.234,1.608,"0.108",0.008,0.461
"gsw","np","nfix","No",47,0.2,0.934,"0.35",-0.025,0.425
"gsw","np","nfix","Yes",47,0.247,0.934,"0.35",0.005,0.488
"rd","n","photo","C3",32,0.272,-2.992,"0.003",0.205,0.339
"rd","n","photo","C4",32,-0.139,-2.992,"0.003",-0.398,0.12
"rd","n","myc_nas","Mining",32,-0.004,4.927,"<0.001",-0.116,0.107
"rd","n","myc_nas","Scavenging",32,0.344,4.927,"<0.001",0.264,0.423
"rd","n","nfix","No",32,0.221,2.131,"0.033",0.155,0.288
"rd","n","nfix","Yes",32,0.485,2.131,"0.033",0.251,0.719
"rd","p","photo","C3",32,0.098,-1.175,"0.24",0.03,0.167
"rd","p","photo","C4",32,-0.04,-1.175,"0.24",-0.257,0.178
"rd","p","myc_nas","Mining",32,-0.011,1.988,"0.047",-0.12,0.097
"rd","p","myc_nas","Scavenging",32,0.129,1.988,"0.047",0.048,0.211
"rd","p","nfix","No",32,0.062,2.425,"0.015",-0.005,0.129
"rd","p","nfix","Yes",32,0.356,2.425,"0.015",0.127,0.586
"rd","np","photo","C3",32,0.48,-5.578,"<0.001",0.413,0.546
"rd","np","photo","C4",32,-0.058,-5.578,"<0.001",-0.235,0.118
"rd","np","myc_nas","Mining",32,0.218,4.42,"<0.001",0.103,0.333
"rd","np","myc_nas","Scavenging",32,0.535,4.42,"<0.001",0.458,0.612
"rd","np","nfix","No",32,0.434,0.974,"0.33",0.369,0.499
"rd","np","nfix","Yes",32,0.563,0.974,"0.33",0.312,0.815
"vcmax","n","photo","C3",42,0.041,-0.445,"0.656",-0.123,0.206
"vcmax","n","photo","C4",42,-0.032,-0.445,"0.656",-0.391,0.327
"vcmax","n","myc_nas","Mining",42,-0.163,4.573,"<0.001",-0.347,0.022
"vcmax","n","myc_nas","Scavenging",42,0.1,4.573,"<0.001",-0.067,0.268
"vcmax","n","nfix","No",42,0.063,-2.688,"0.007",-0.104,0.231
"vcmax","n","nfix","Yes",42,-0.207,-2.688,"0.007",-0.44,0.026
"vcmax","p","photo","C3",42,0.128,-1.444,"0.149",-0.001,0.256
"vcmax","p","photo","C4",42,-0.024,-1.444,"0.149",-0.261,0.214
"vcmax","p","myc_nas","Mining",42,0.136,-0.346,"0.729",-0.019,0.29
"vcmax","p","myc_nas","Scavenging",42,0.116,-0.346,"0.729",-0.016,0.247
"vcmax","p","nfix","No",42,0.141,-2.423,"0.015",0.01,0.272
"vcmax","p","nfix","Yes",42,-0.075,-2.423,"0.015",-0.271,0.121
"vcmax","np","photo","C3",42,0.206,-1.095,"0.274",0.057,0.355
"vcmax","np","photo","C4",42,0.119,-1.095,"0.274",-0.091,0.329
