"exp","citation"
"faejemyr_f3","lund_et_al_2009"
"fengqiuagro_fnp","fan_et_al_2014a"
"flottbek_fn","eller_et_al_2016"
"flottbek_fnfp","eller_et_al_2016"
"gdfr_f","cleveland_and_townsend_2006"
"gusewell_s1_fnp","gusewell_et_al_2003"
"gusewell_s2_fnp","gusewell_et_al_2003"
"gusewell_t1_fnp","gusewell_et_al_2003"
"gusewell_t2_fnp","gusewell_et_al_2003"
"gusewell_v1_fnp","gusewell_et_al_2003"
"gusewell_v2_fnp","gusewell_et_al_2003"
"gusewell_v3_fnp","gusewell_et_al_2003"
"gusewell_w1_fnp","gusewell_et_al_2003"
"gusewell_w2_fnp","gusewell_et_al_2003"
"gusewell_w3_fnp","gusewell_et_al_2003"
"gusewell_w4_fnp","gusewell_et_al_2003"
"haibei_fn1p","fang_et_al_2012b"
"haibei_fn1pp","fang_et_al_2012b"
"haibei_fn2p","fang_et_al_2012b"
"haibei_fn2pp","fang_et_al_2012b"
"haibei_fn3p","fang_et_al_2012b"
"haibei_fn3pp","fang_et_al_2012b"
"hawke_f","scott_et_al_2015"
"heshan_acacia_fnp","cao_et_al_2011"
"heshan_eucalyptus_fnp","cao_et_al_2011"
"ibge_fnp","bustamente_et_al_2012"
"imgers_ng_2006np_fn2","he_et_al_2013"
"imgers_ng_2006np_fn3","he_et_al_2013"
"imgers_ng_2006np_fn4","he_et_al_2013"
"imgers_ng_2006np_fn5","he_et_al_2013"
"imgers_ng_2006np_fn6","he_et_al_2013"
"imgers_ng_2006np_fp2","he_et_al_2013"
"imgers_ng_2006np_fp3","he_et_al_2013"
"imgers_ng_2006np_fp4","he_et_al_2013"
"imgers_ng_2006np_fp5","he_et_al_2013"
"imgers_ng_2006np_fp6","he_et_al_2013"
"jingtai_f","su_et_al_2012"
"jingtai_f2","su_et_al_2012"
"jingtai_f3","su_et_al_2012"
"kansasf_fnp","johnson_et_al_2015"
"kansask_fnp","johnson_et_al_2015"
"katelijne_2016_fnp","verlinden_et_al_2018"
"katelijne_2016_fnp","ven_et_al_2019"
"katelijne_2017_f","ven_et_al_2019"
"katelijne_2017_f","ven_et_al_2019b"
"katelijne_2017_f2","ven_et_al_2019"
"katelijne_2017_f2","ven_et_al_2019b"
"katelijne_2017_f3","ven_et_al_2019"
"katelijne_2017_f3","ven_et_al_2019b"
"laikipia_f","ngatia_et_al_2015"
"laikipia_f2","ngatia_et_al_2015"
"laikipia_f3","ngatia_et_al_2015"
"langrivier_fnp","lu_et_al_2022"
"luneburg_field_2006_fnp","falk_et_al_2010"
"luneburg_field_2008_fnp","falk_et_al_2010"
"luneburg_gh_drought_molinia_fnp","friedrich_et_al_2012"
"luneburg_gh_fert_molinia_fnp","falk_et_al_2010"
"michigan_underc_bog_fnp","iversen_et_al_2010"
"michigan_underc_intermfen_fnp","iversen_et_al_2010"
"michigan_underc_richfen_fnp","iversen_et_al_2010"
"nashfield_fnp","fornara_et_al_2013"
"nashfield_grazed_fnp","fornara_et_al_2013"
"nashfield_limefnp","fornara_et_al_2013"
"nashfield_pooled_fnp","fornara_et_al_2013"
"newyork_tnp_fnp","huff_et_al_2015"
"niwot_ridge2_dm_fnp","bowman_et_al_1993"
